species,scope,required_for_energy_roles,source_record_sha256,qchem_source_input_sha256,elements,spin,orbital_qchem_label,orbital_resolution,orbital_pyscf_name,orbital_definition_sha256,auxiliary_qchem_label,auxiliary_resolution,auxiliary_pyscf_name,auxiliary_definition_sha256,ecp_resolution,ecp_definition_sha256,electron_count,ecp_electrons,orbital_shells,orbital_spherical_aos,auxiliary_shells,auxiliary_spherical_aos,runnable_status
01a_water_monA_3B-69,gscdb137,true,b016eba1add99eb46635050d8b9aba6b95447372d5cfc9c0118897c9f39387f5,ce2b428a44d0e7098d07c9cca1e5083060eec3bd3074340b3828fa4351872c53,H;O,0,DEF2-QZVPPD,named_alias,def2-qzvppd,ef8f71dbe2a6b322929e0475ea6968fc00dfca478f006e34c81f0ba0831c6b40,rimp2-def2-QZVPPD,hash_pinned_qchem_named_library,rimp2-def2-QZVPPD,25028e5807a7b1834406e0ddfb047a8c96ccb7770e819aa83a22c2551da2f7be,not_applicable,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,10,0,42,132,75,287,runnable_basis_metadata_validated
01a_water_monB_3B-69,gscdb137,true,477ea836f582d402e98c733ac7d68284244148f7b5b49cb49fd707b85f8b0077,0f471ef20fb3ef8f3443e8fd37891b0db5724a50ccb40b3a6e3848c51235c9f6,H;O,0,DEF2-QZVPPD,named_alias,def2-qzvppd,ef8f71dbe2a6b322929e0475ea6968fc00dfca478f006e34c81f0ba0831c6b40,rimp2-def2-QZVPPD,hash_pinned_qchem_named_library,rimp2-def2-QZVPPD,25028e5807a7b1834406e0ddfb047a8c96ccb7770e819aa83a22c2551da2f7be,not_applicable,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,10,0,42,132,75,287,runnable_basis_metadata_validated
01a_water_monC_3B-69,gscdb137,true,29ffb90813d19d08e4f794737b3ea3108f4ab0a3d11b549c20ae833085ca5c78,07f1ddd8b3f954223707b52773c39dc2f7de41705a92fed1753453451ac9fbe5,H;O,0,DEF2-QZVPPD,named_alias,def2-qzvppd,ef8f71dbe2a6b322929e0475ea6968fc00dfca478f006e34c81f0ba0831c6b40,rimp2-def2-QZVPPD,hash_pinned_qchem_named_library,rimp2-def2-QZVPPD,25028e5807a7b1834406e0ddfb047a8c96ccb7770e819aa83a22c2551da2f7be,not_applicable,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,10,0,42,132,75,287,runnable_basis_metadata_validated
01a_water_trim_3B-69,gscdb137,true,454f43c6ac2b277c21c7bc13a5cb90d061914df952884f0ee3449140ea57c6cc,597a04f98caf3b843f09258dd8bcf7fd99581f48ee9048635611924494aad466,H;O,0,DEF2-QZVPPD,named_alias,def2-qzvppd,ef8f71dbe2a6b322929e0475ea6968fc00dfca478f006e34c81f0ba0831c6b40,rimp2-def2-QZVPPD,hash_pinned_qchem_named_library,rimp2-def2-QZVPPD,25028e5807a7b1834406e0ddfb047a8c96ccb7770e819aa83a22c2551da2f7be,not_applicable,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,30,0,126,396,225,861,runnable_basis_metadata_validated
01b_water_dimAB_3B-69,gscdb137,true,d6f27d73f4ffb71e1ae98d760d643e4fbc8e40ccefbce2175aa374487c9270f0,0ff4525ec2ceeece4be003f309bc019780025bc86d776ea2c72272d83e341fb1,H;O,0,DEF2-QZVPPD,named_alias,def2-qzvppd,ef8f71dbe2a6b322929e0475ea6968fc00dfca478f006e34c81f0ba0831c6b40,rimp2-def2-QZVPPD,hash_pinned_qchem_named_library,rimp2-def2-QZVPPD,25028e5807a7b1834406e0ddfb047a8c96ccb7770e819aa83a22c2551da2f7be,not_applicable,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,20,0,84,264,150,574,runnable_basis_metadata_validated
01b_water_dimAC_3B-69,gscdb137,true,bcae9515c74b483f0bd74f83926f6522975d8880e335dc1dafebf09fe3b18981,0853546983e506d54591811eb6d85be9f41d535fbcfe97eadda21750f059b298,H;O,0,DEF2-QZVPPD,named_alias,def2-qzvppd,ef8f71dbe2a6b322929e0475ea6968fc00dfca478f006e34c81f0ba0831c6b40,rimp2-def2-QZVPPD,hash_pinned_qchem_named_library,rimp2-def2-QZVPPD,25028e5807a7b1834406e0ddfb047a8c96ccb7770e819aa83a22c2551da2f7be,not_applicable,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,20,0,84,264,150,574,runnable_basis_metadata_validated
01b_water_dimBC_3B-69,gscdb137,true,87ea70bbd183745511cf5768a4ec335f87e796343ead46fc23ac4b6e79d66b72,96219e98485ac6161f464102c5a06acf475e4c0619616214fe3e43e4ec0446ed,H;O,0,DEF2-QZVPPD,named_alias,def2-qzvppd,ef8f71dbe2a6b322929e0475ea6968fc00dfca478f006e34c81f0ba0831c6b40,rimp2-def2-QZVPPD,hash_pinned_qchem_named_library,rimp2-def2-QZVPPD,25028e5807a7b1834406e0ddfb047a8c96ccb7770e819aa83a22c2551da2f7be,not_applicable,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,20,0,84,264,150,574,runnable_basis_metadata_validated
01b_water_monA_3B-69,gscdb137,true,55b16f9124dbda9da769eeec9d6ea22e0560b57bc025cf03125f12454ef11fa0,ce2b428a44d0e7098d07c9cca1e5083060eec3bd3074340b3828fa4351872c53,H;O,0,DEF2-QZVPPD,named_alias,def2-qzvppd,ef8f71dbe2a6b322929e0475ea6968fc00dfca478f006e34c81f0ba0831c6b40,rimp2-def2-QZVPPD,hash_pinned_qchem_named_library,rimp2-def2-QZVPPD,25028e5807a7b1834406e0ddfb047a8c96ccb7770e819aa83a22c2551da2f7be,not_applicable,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,10,0,42,132,75,287,runnable_basis_metadata_validated
01b_water_monB_3B-69,gscdb137,true,5c96f7242f342c102f9f92808bbbc27bd5ca537929a08b8a3f168c524cd909e1,4454ed28c4e8f5cdd6f70c98ce7891f4b6855f898834dd6a1dfa71cc2bbd4050,H;O,0,DEF2-QZVPPD,named_alias,def2-qzvppd,ef8f71dbe2a6b322929e0475ea6968fc00dfca478f006e34c81f0ba0831c6b40,rimp2-def2-QZVPPD,hash_pinned_qchem_named_library,rimp2-def2-QZVPPD,25028e5807a7b1834406e0ddfb047a8c96ccb7770e819aa83a22c2551da2f7be,not_applicable,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,10,0,42,132,75,287,runnable_basis_metadata_validated
01b_water_monC_3B-69,gscdb137,true,6c6f081976f04180f370d6ff664b75292a2be0a6498bc3a2f5a9200d841e154c,c3fe69178a0264971867ed5f13ebbd14592a624f727b09c56c1144d1855a59d1,H;O,0,DEF2-QZVPPD,named_alias,def2-qzvppd,ef8f71dbe2a6b322929e0475ea6968fc00dfca478f006e34c81f0ba0831c6b40,rimp2-def2-QZVPPD,hash_pinned_qchem_named_library,rimp2-def2-QZVPPD,25028e5807a7b1834406e0ddfb047a8c96ccb7770e819aa83a22c2551da2f7be,not_applicable,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,10,0,42,132,75,287,runnable_basis_metadata_validated
01b_water_trim_3B-69,gscdb137,true,da63a181cebeef2c5db726f082a229e246d13da742a52e6f0e8d723fd25e8aa0,0577a596f0b8a94f5abd2569696007dfcfbe43133bdc6ec8a638fac0fc0ffa2e,H;O,0,DEF2-QZVPPD,named_alias,def2-qzvppd,ef8f71dbe2a6b322929e0475ea6968fc00dfca478f006e34c81f0ba0831c6b40,rimp2-def2-QZVPPD,hash_pinned_qchem_named_library,rimp2-def2-QZVPPD,25028e5807a7b1834406e0ddfb047a8c96ccb7770e819aa83a22c2551da2f7be,not_applicable,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,30,0,126,396,225,861,runnable_basis_metadata_validated
01c_water_dimAB_3B-69,gscdb137,true,f4047e7ec989a63ff31ca89d30845e623a2a6b2f88c8d3a3b04f9a0aa2e3b59c,3b8c130b5f2eb3dab2fe9acc4d12efec9c3ef80c90e802167113310997f8bc5f,H;O,0,DEF2-QZVPPD,named_alias,def2-qzvppd,ef8f71dbe2a6b322929e0475ea6968fc00dfca478f006e34c81f0ba0831c6b40,rimp2-def2-QZVPPD,hash_pinned_qchem_named_library,rimp2-def2-QZVPPD,25028e5807a7b1834406e0ddfb047a8c96ccb7770e819aa83a22c2551da2f7be,not_applicable,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,20,0,84,264,150,574,runnable_basis_metadata_validated
01c_water_dimAC_3B-69,gscdb137,true,08692c966d2327a325252c11abfc7d03fd78148a157f73bf2947ca1efc42241c,1498fb75b41211bc653b851d33e46032f907d7cfd6ee886d61d0ef0713d3c9bc,H;O,0,DEF2-QZVPPD,named_alias,def2-qzvppd,ef8f71dbe2a6b322929e0475ea6968fc00dfca478f006e34c81f0ba0831c6b40,rimp2-def2-QZVPPD,hash_pinned_qchem_named_library,rimp2-def2-QZVPPD,25028e5807a7b1834406e0ddfb047a8c96ccb7770e819aa83a22c2551da2f7be,not_applicable,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,20,0,84,264,150,574,runnable_basis_metadata_validated
01c_water_dimBC_3B-69,gscdb137,true,de8f536149c14937d6d8aadd269336c7934bdf15ed67e53efc3bb085bca73bd4,1a9f1d9a57ea7b0ffb0527c364091c01db9d721f4ffd80d810368ed956971b9e,H;O,0,DEF2-QZVPPD,named_alias,def2-qzvppd,ef8f71dbe2a6b322929e0475ea6968fc00dfca478f006e34c81f0ba0831c6b40,rimp2-def2-QZVPPD,hash_pinned_qchem_named_library,rimp2-def2-QZVPPD,25028e5807a7b1834406e0ddfb047a8c96ccb7770e819aa83a22c2551da2f7be,not_applicable,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,20,0,84,264,150,574,runnable_basis_metadata_validated
01c_water_monA_3B-69,gscdb137,true,65abac6916b47e0f51ce3fdc8199a30333ae1d0c1f8e3d62c5d5e8456a9f2333,850d02136cbb5462602e0e07592ec08da62df99b5ba22ffe5314f2df4e23c02d,H;O,0,DEF2-QZVPPD,named_alias,def2-qzvppd,ef8f71dbe2a6b322929e0475ea6968fc00dfca478f006e34c81f0ba0831c6b40,rimp2-def2-QZVPPD,hash_pinned_qchem_named_library,rimp2-def2-QZVPPD,25028e5807a7b1834406e0ddfb047a8c96ccb7770e819aa83a22c2551da2f7be,not_applicable,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,10,0,42,132,75,287,runnable_basis_metadata_validated
01c_water_monB_3B-69,gscdb137,true,9ae6eb1d1bca2756038cdcc86e3cd250bb3dbf1882d57952f1bb3d8d341930c4,7b0cc5405c936029fdf80170158072d0bc4d4a8607b9155ab824150799ae970c,H;O,0,DEF2-QZVPPD,named_alias,def2-qzvppd,ef8f71dbe2a6b322929e0475ea6968fc00dfca478f006e34c81f0ba0831c6b40,rimp2-def2-QZVPPD,hash_pinned_qchem_named_library,rimp2-def2-QZVPPD,25028e5807a7b1834406e0ddfb047a8c96ccb7770e819aa83a22c2551da2f7be,not_applicable,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,10,0,42,132,75,287,runnable_basis_metadata_validated
01c_water_monC_3B-69,gscdb137,true,f61f680b8b0793edaba9e5ca339936dbc99138494651585dbc7de682f818e384,01ff9d6e4e6cd1a475f586b0db75cfa88c99238dd7b048876a1ff0fbd09fdc87,H;O,0,DEF2-QZVPPD,named_alias,def2-qzvppd,ef8f71dbe2a6b322929e0475ea6968fc00dfca478f006e34c81f0ba0831c6b40,rimp2-def2-QZVPPD,hash_pinned_qchem_named_library,rimp2-def2-QZVPPD,25028e5807a7b1834406e0ddfb047a8c96ccb7770e819aa83a22c2551da2f7be,not_applicable,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,10,0,42,132,75,287,runnable_basis_metadata_validated
01c_water_trim_3B-69,gscdb137,true,809e445f1153b3778272b246ff49d78f0c3e3da0671c4bce94665d552d3afbc2,9c1ab9acc67751b856799a56984c8cd17ede3348b8e3f91277d91c7cf201298e,H;O,0,DEF2-QZVPPD,named_alias,def2-qzvppd,ef8f71dbe2a6b322929e0475ea6968fc00dfca478f006e34c81f0ba0831c6b40,rimp2-def2-QZVPPD,hash_pinned_qchem_named_library,rimp2-def2-QZVPPD,25028e5807a7b1834406e0ddfb047a8c96ccb7770e819aa83a22c2551da2f7be,not_applicable,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,30,0,126,396,225,861,runnable_basis_metadata_validated
02a_formaldehyde_dimAB_3B-69,gscdb137,true,e7ff65989e7881e6eef9e8e08ecb4e20a2ebf57ceb44f3a5e4780e46bb387069,7418b9c6f3dc29eb774f8b8a1d03968c67a472e5f9218a28598d9902aa98268f,C;H;O,0,DEF2-QZVPPD,named_alias,def2-qzvppd,09e7bd04c00d04a2aa46c0956da8ab8952a7d25564451eb0c6481df7eaf20ebb,rimp2-def2-QZVPPD,hash_pinned_qchem_named_library,rimp2-def2-QZVPPD,cef5a8cc47adbf769a4c522fb33262952cfb202b2873e63b8e16ddeeffd0150b,not_applicable,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,32,0,122,390,224,888,runnable_basis_metadata_validated
02a_formaldehyde_dimAC_3B-69,gscdb137,true,256ba68c25a5a29eccbc35b667c82cd9eee73931d8032385d72b2d303488d0c1,319464d3f7aaa767cf80261a4729516a2fc4068887f5bda40f9db176415d2086,C;H;O,0,DEF2-QZVPPD,named_alias,def2-qzvppd,09e7bd04c00d04a2aa46c0956da8ab8952a7d25564451eb0c6481df7eaf20ebb,rimp2-def2-QZVPPD,hash_pinned_qchem_named_library,rimp2-def2-QZVPPD,cef5a8cc47adbf769a4c522fb33262952cfb202b2873e63b8e16ddeeffd0150b,not_applicable,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,32,0,122,390,224,888,runnable_basis_metadata_validated
02a_formaldehyde_dimBC_3B-69,gscdb137,true,152931b615facfd9ba8ba4f7bb2b9c104630108ed32a84f8b9aaa579d7e7e4d4,00b4e379761e55cbf287244f77848e3cf808882b10760b2e397479f5045a1e45,C;H;O,0,DEF2-QZVPPD,named_alias,def2-qzvppd,09e7bd04c00d04a2aa46c0956da8ab8952a7d25564451eb0c6481df7eaf20ebb,rimp2-def2-QZVPPD,hash_pinned_qchem_named_library,rimp2-def2-QZVPPD,cef5a8cc47adbf769a4c522fb33262952cfb202b2873e63b8e16ddeeffd0150b,not_applicable,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,32,0,122,390,224,888,runnable_basis_metadata_validated
02a_formaldehyde_monA_3B-69,gscdb137,true,31bd58b83b48810bc7510e32378169223dca5c5b59b52bc690689834bbade460,3cd2edb7fc09cb7dd41a4a829adb15ee8d5f085d8e36a7f91714ea391e0b09e9,C;H;O,0,DEF2-QZVPPD,named_alias,def2-qzvppd,09e7bd04c00d04a2aa46c0956da8ab8952a7d25564451eb0c6481df7eaf20ebb,rimp2-def2-QZVPPD,hash_pinned_qchem_named_library,rimp2-def2-QZVPPD,cef5a8cc47adbf769a4c522fb33262952cfb202b2873e63b8e16ddeeffd0150b,not_applicable,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,16,0,61,195,112,444,runnable_basis_metadata_validated
02a_formaldehyde_monB_3B-69,gscdb137,true,ba41cd4f9af2b2606a5b3e4773baa6bc14f119458e602387c67578e00d8a49d5,4e972b95c00a57158639f97d1d7736d274677e4b185fea4759145fc9505bfbb4,C;H;O,0,DEF2-QZVPPD,named_alias,def2-qzvppd,09e7bd04c00d04a2aa46c0956da8ab8952a7d25564451eb0c6481df7eaf20ebb,rimp2-def2-QZVPPD,hash_pinned_qchem_named_library,rimp2-def2-QZVPPD,cef5a8cc47adbf769a4c522fb33262952cfb202b2873e63b8e16ddeeffd0150b,not_applicable,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,16,0,61,195,112,444,runnable_basis_metadata_validated
02a_formaldehyde_monC_3B-69,gscdb137,true,e0327a6e5685ba5ee3b906707c22037ceab4b14a7e6fb168b6f8217cc00ebe4b,918fbb58ddb9ac93205a35bb4f12e58248838242bc5695677306f39aec3313ca,C;H;O,0,DEF2-QZVPPD,named_alias,def2-qzvppd,09e7bd04c00d04a2aa46c0956da8ab8952a7d25564451eb0c6481df7eaf20ebb,rimp2-def2-QZVPPD,hash_pinned_qchem_named_library,rimp2-def2-QZVPPD,cef5a8cc47adbf769a4c522fb33262952cfb202b2873e63b8e16ddeeffd0150b,not_applicable,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,16,0,61,195,112,444,runnable_basis_metadata_validated
02a_formaldehyde_trim_3B-69,gscdb137,true,73ab9d35f11774473c17ae22559785168fcac5a08070ccf2297896eca7321061,5f330a6ae0624db60acb21b4bac01b2ca7b544a087acc260157981131f71d12f,C;H;O,0,DEF2-QZVPPD,named_alias,def2-qzvppd,09e7bd04c00d04a2aa46c0956da8ab8952a7d25564451eb0c6481df7eaf20ebb,rimp2-def2-QZVPPD,hash_pinned_qchem_named_library,rimp2-def2-QZVPPD,cef5a8cc47adbf769a4c522fb33262952cfb202b2873e63b8e16ddeeffd0150b,not_applicable,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,48,0,183,585,336,1332,runnable_basis_metadata_validated
02b_formaldehyde_dimAB_3B-69,gscdb137,true,8ae289d95b12fc17da6091a0483327f3a8f46f4af54e2c60c1b198c7ea800f65,9468f360b780a3ec30236f797b1978deb71dc28d2b1298ffbe710dff1d7754d8,C;H;O,0,DEF2-QZVPPD,named_alias,def2-qzvppd,09e7bd04c00d04a2aa46c0956da8ab8952a7d25564451eb0c6481df7eaf20ebb,rimp2-def2-QZVPPD,hash_pinned_qchem_named_library,rimp2-def2-QZVPPD,cef5a8cc47adbf769a4c522fb33262952cfb202b2873e63b8e16ddeeffd0150b,not_applicable,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,32,0,122,390,224,888,runnable_basis_metadata_validated
02b_formaldehyde_dimAC_3B-69,gscdb137,true,51507f89cd64fffe6856759dbed7fe8ffb1c5de4da985c3a8d7e72c33ca9df68,f1578e1c62e8fe1375f685aebac7d669c14823987631e361fa970ff9a14e4548,C;H;O,0,DEF2-QZVPPD,named_alias,def2-qzvppd,09e7bd04c00d04a2aa46c0956da8ab8952a7d25564451eb0c6481df7eaf20ebb,rimp2-def2-QZVPPD,hash_pinned_qchem_named_library,rimp2-def2-QZVPPD,cef5a8cc47adbf769a4c522fb33262952cfb202b2873e63b8e16ddeeffd0150b,not_applicable,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,32,0,122,390,224,888,runnable_basis_metadata_validated
02b_formaldehyde_dimBC_3B-69,gscdb137,true,a0b838befb821df266f4a647cf6c0da3a6bb68412e987e3efe23915ee66f3057,448c9c3d8080206987a00c364a3777c44f339ab60e3176a7f2094c9912956d85,C;H;O,0,DEF2-QZVPPD,named_alias,def2-qzvppd,09e7bd04c00d04a2aa46c0956da8ab8952a7d25564451eb0c6481df7eaf20ebb,rimp2-def2-QZVPPD,hash_pinned_qchem_named_library,rimp2-def2-QZVPPD,cef5a8cc47adbf769a4c522fb33262952cfb202b2873e63b8e16ddeeffd0150b,not_applicable,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,32,0,122,390,224,888,runnable_basis_metadata_validated
