species,line_number,byte_offset,byte_length,record_sha256
01b_water_monA_3B-69,18,39463,2177,55b16f9124dbda9da769eeec9d6ea22e0560b57bc025cf03125f12454ef11fa0
01b_water_monB_3B-69,19,41640,2180,5c96f7242f342c102f9f92808bbbc27bd5ca537929a08b8a3f168c524cd909e1
01b_water_monC_3B-69,20,43820,2181,6c6f081976f04180f370d6ff664b75292a2be0a6498bc3a2f5a9200d841e154c
01b_water_trim_3B-69,21,46001,2440,da63a181cebeef2c5db726f082a229e246d13da742a52e6f0e8d723fd25e8aa0
01c_water_dimAB_3B-69,22,48441,2316,f4047e7ec989a63ff31ca89d30845e623a2a6b2f88c8d3a3b04f9a0aa2e3b59c
01c_water_dimAC_3B-69,23,50757,2310,08692c966d2327a325252c11abfc7d03fd78148a157f73bf2947ca1efc42241c
01c_water_dimBC_3B-69,24,53067,2311,de8f536149c14937d6d8aadd269336c7934bdf15ed67e53efc3bb085bca73bd4
01c_water_monA_3B-69,25,55378,2181,65abac6916b47e0f51ce3fdc8199a30333ae1d0c1f8e3d62c5d5e8456a9f2333
01c_water_monB_3B-69,26,57559,2182,9ae6eb1d1bca2756038cdcc86e3cd250bb3dbf1882d57952f1bb3d8d341930c4
01c_water_monC_3B-69,27,59741,2176,f61f680b8b0793edaba9e5ca339936dbc99138494651585dbc7de682f818e384
01c_water_trim_3B-69,28,61917,2441,809e445f1153b3778272b246ff49d78f0c3e3da0671c4bce94665d552d3afbc2
02a_formaldehyde_dimAB_3B-69,29,64358,2407,e7ff65989e7881e6eef9e8e08ecb4e20a2ebf57ceb44f3a5e4780e46bb387069
02a_formaldehyde_dimAC_3B-69,30,66765,2411,256ba68c25a5a29eccbc35b667c82cd9eee73931d8032385d72b2d303488d0c1
02a_formaldehyde_dimBC_3B-69,31,69176,2411,152931b615facfd9ba8ba4f7bb2b9c104630108ed32a84f8b9aaa579d7e7e4d4
02a_formaldehyde_monA_3B-69,32,71587,2236,31bd58b83b48810bc7510e32378169223dca5c5b59b52bc690689834bbade460
02a_formaldehyde_monB_3B-69,33,73823,2236,ba41cd4f9af2b2606a5b3e4773baa6bc14f119458e602387c67578e00d8a49d5
02a_formaldehyde_monC_3B-69,34,76059,2240,e0327a6e5685ba5ee3b906707c22037ceab4b14a7e6fb168b6f8217cc00ebe4b
02a_formaldehyde_trim_3B-69,35,78299,2579,73ab9d35f11774473c17ae22559785168fcac5a08070ccf2297896eca7321061
02b_formaldehyde_dimAB_3B-69,36,80878,2413,8ae289d95b12fc17da6091a0483327f3a8f46f4af54e2c60c1b198c7ea800f65
02b_formaldehyde_dimAC_3B-69,37,83291,2417,51507f89cd64fffe6856759dbed7fe8ffb1c5de4da985c3a8d7e72c33ca9df68
02b_formaldehyde_dimBC_3B-69,38,85708,2417,a0b838befb821df266f4a647cf6c0da3a6bb68412e987e3efe23915ee66f3057
02b_formaldehyde_monA_3B-69,39,88125,2239,ba1a94997eb766b7796b65ee779f109aa0ec5d217edb7cc71e9af35fd1a73c6b
02b_formaldehyde_monB_3B-69,40,90364,2239,49f2ca6510d0e0e77902550e88c9b7fde1ad6e32ed7bed8f23f0c864f52d31e4
02b_formaldehyde_monC_3B-69,41,92603,2243,77e8a826651dd3d400139d78f41dedd5f22a869989257fcef63daeda30415e5a
02b_formaldehyde_trim_3B-69,42,94846,2588,91b86eff467f1078e31ecc750af84e81c666cf364162012044c49bff2e28cb12
02c_formaldehyde_dimAB_3B-69,43,97434,2413,25a4e31a2bdbacc2254957a4525b380f98b28dc3e7cf9d00f460526789865481
02c_formaldehyde_dimAC_3B-69,44,99847,2409,72f5819c0524260617e59a9817fd8851a75f48c3c12f9a021ea646eaf7c82d3c
02c_formaldehyde_dimBC_3B-69,45,102256,2409,efa4c972b662dc612beca17fd8a79f6d6b3ed69c8acd1cd6ff189e7261c3cec7
02c_formaldehyde_monA_3B-69,46,104665,2239,5c68c0a7708ccfbef44ce9e7e8e86f44a7ebae81213fc4eae6b051761040bab8
02c_formaldehyde_monB_3B-69,47,106904,2239,05a566d55512234b416b091706b867c4b447d8f78cfd5e0641e062d0f6aaeda6
02c_formaldehyde_monC_3B-69,48,109143,2235,c25b8e3e3fc664daa9c002a5e65443006e7b35d7b319989d2cee8089a0c5298a
02c_formaldehyde_trim_3B-69,49,111378,2580,2c1d3fead1928f28f789ba49fdfe5c30557b4811a477ab8fcd45e5c0f938f3bf
03_HCN-dimer_0p9_dim_A21x12,50,113958,2324,9529a89d18e89cd08a36c03b93a3eeccb325a5b51db463a79d939004cd38f254
03_HCN-dimer_1p0_dim_A21x12,51,116282,2324,16c5742c89659713bf188e2cb893dae259549e7ffdd238e85b506de34dcd6132
03_HCN-dimer_1p1_dim_A21x12,52,118606,2324,a612196c8f3149df4490de0eb8c98cc0e0c6c461e278f9e43da624d52a891480
03_HCN-dimer_1p2_dim_A21x12,53,120930,2324,7e7c8e9df5d3dd3341ed1d20b8dde46efa16f629e7bd2ae25ae2cd7d51888005
03_HCN-dimer_1p4_dim_A21x12,54,123254,2324,39de570e812ca7f0f61381163c1b590ee6f7f9ec98d33473746fa3b852f7bde4
03_HCN-dimer_1p6_dim_A21x12,55,125578,2324,39fff3b8111d33742a93c638d034178896fe795f08ff440bd0f96c08be3f75ab
03_HCN-dimer_2p0_dim_A21x12,56,127902,2324,efac401142e07078d30158062fe92c17e683015fe6e5b0e1490114b4a5a83833
03a_methanol_ethyne_dimAB_3B-69,57,130226,2604,d0946ed3de0836adfd3247d8d82a9964c48f72105409b3409433fbfc1923f35b
03a_methanol_ethyne_dimAC_3B-69,58,132830,2604,62d10c9b52ec9708221c7ce540338e8a6f78d6ed5b421266d0b90e5dad246629
03a_methanol_ethyne_dimBC_3B-69,59,135434,2604,2ce52a3730647c4e056d99b6c56233c2559ed474c42d4af6efd802fe1bf916c1
03a_methanol_ethyne_monA_3B-69,60,138038,2337,88c094431b1adcf975e7206a284222eecba252d6d9f2d0cedf0794a84c2b412d
03a_methanol_ethyne_monB_3B-69,61,140375,2337,687c30a53ac517e490556d9dbe954169a146bbdc6733b10ce15570ba57c47203
03a_methanol_ethyne_monC_3B-69,62,142712,2337,1f4d72fb6d8b5630a415e553f34391d99ac390673f082b3ed7f883178afdeeb4
03a_methanol_ethyne_trim_3B-69,63,145049,2866,da5ae4ea8b003a20c7029a55fe7e2845cfe329cb2f9e3592cb8332c5c376fb4c
03b_methanol_ethyne_dimAB_3B-69,64,147915,2604,cd4e5454b3073b0da9232b77bdc6baad6e49fa7784494ba5f1bfe008cbc636fb
03b_methanol_ethyne_dimAC_3B-69,65,150519,2516,a0cba964b4841c0a720861a40e5b502823da24ddcfa129d77daa80390d23528b
03b_methanol_ethyne_dimBC_3B-69,66,153035,2516,2a160b8d44dece83df40c1d237d59836ffb203e7274e5669af645454b8ea3fd6
03b_methanol_ethyne_monA_3B-69,67,155551,2337,d22227cb2153aaa1de6467da0cc533578978189b524f19c5ba7f379f59e54afd
03b_methanol_ethyne_monB_3B-69,68,157888,2337,7b54455d5752fef86fb53ed4520e6cef80bf9f9847b47e423fa31fd39e0546e9
03b_methanol_ethyne_monC_3B-69,69,160225,2245,1b09a1564adebff34486202cd939efaf5f9e100e1eeb3c1c654da1e3c646c7dd
03b_methanol_ethyne_trim_3B-69,70,162470,2778,8c11d130f5e01a18075600ba541dea8556b3e9805fd0bcf9a831f6a54b39323e
03c_methanol_ethyne_dimAB_3B-69,71,165248,2592,92e6f76c2b23c5240c52d4a44ddb550f3bd54f46c81610bbf6e181ee474542ee
03c_methanol_ethyne_dimAC_3B-69,72,167840,2506,b781b89333e53d09c4e100da17f7177705bcee9cc4ad3f61c73d5a53848c7bd6
03c_methanol_ethyne_dimBC_3B-69,73,170346,2506,e5f58b55207752fb1cf15c3162c7730a90952ce87d3f1f5a85387ed03fc709e1
03c_methanol_ethyne_monA_3B-69,74,172852,2331,94e26251d93d87eb55cabf8a999d8bdd8171ce9a52cd4edc29c6512eb4492b36
03c_methanol_ethyne_monB_3B-69,75,175183,2331,911e9e010c3211edc121bc1481776a276d6c05e0daee2879c416a675d9915b40
03c_methanol_ethyne_monC_3B-69,76,177514,2241,b0a06c5cfb969cb37a556efbdd818bdc08881498226efc79f13c171b14fa021a
03c_methanol_ethyne_trim_3B-69,77,179755,2762,7da84f812f60f2ccf47069759a42ba55afa85014b111ca3c58fed5abfe034ceb
04_HF-dimer_0p9_dim_A21x12,78,182517,2235,e0d62d496775c68c1cbebce21f89e82a93e6cabd24eeaf7e85a72a3d55c05a02
04_HF-dimer_1p0_dim_A21x12,79,184752,2235,80049cca0bbb6533fab79b08205fd674d72c5a6994fe60d871bceea59c43dc3a
04_HF-dimer_1p1_dim_A21x12,80,186987,2235,d6fb477a117349e8331af0544e1143fa6faae836148b6262e7b9f0659fb0c52b
04_HF-dimer_1p2_dim_A21x12,81,189222,2235,18aa9893996a51f7080d2bb831db16d2d4d00bc3edf8ceecc1fae7097763e114
04_HF-dimer_1p4_dim_A21x12,82,191457,2235,fdb638bf8967e84d986d2b3588357ed70b3fd9df6e29fa73e372ca74ccc430bb
04_HF-dimer_1p6_dim_A21x12,83,193692,2235,055a1a29b57fc2d0f973b6a6c17e5a89aee6aa854ce9e368f680d8c6da34e0ab
04_HF-dimer_2p0_dim_A21x12,84,195927,2235,a65e132bb67695cc8d40f4ab72680007c7f319a578f2eefaac5e0509daa1e759
04a_acetonitrile_dimAB_3B-69,85,198162,2586,68560e157cf59d012f7ae1576b6d9a1e0f83f4dcd97fbf97ed0fde2894ce6ec3
04a_acetonitrile_dimAC_3B-69,86,200748,2586,783aee48976a76e80325d358e1b49e7e60d178c016f0d3def806beb93b09e8b7
04a_acetonitrile_dimBC_3B-69,87,203334,2586,f75daffaf98a847d0206d3cfffb21da19f183140b8611ce1c532c7a82e1f934b
04a_acetonitrile_monA_3B-69,88,205920,2325,6b58576f68487c4ed462947dbf6bf39720935530fe0ccbb162a473806ff90c6f
04a_acetonitrile_monB_3B-69,89,208245,2325,2024609eab864ef2028214a9abdc30848400d7d30cabecb80c99bd675aae3622
04a_acetonitrile_monC_3B-69,90,210570,2325,89601d107e75fee0a6bd88c2f85a4f07326956339913f23d6dcd7e0a9dfed234
04a_acetonitrile_trim_3B-69,91,212895,2842,cedebb9e0bbfe96eb8c8681b6ab95a9df3aac834e2efc354bf2b4587e564a7b3
04b_acetonitrile_dimAB_3B-69,92,215737,2579,cbc6ce740c135ccae204f31b2131b04fd9904b224404417cb934e3612942e9db
04b_acetonitrile_dimAC_3B-69,93,218316,2579,252f76d8516cfe283fba889153999d7af4310758a0575dcabfaa9d75985f20c4
04b_acetonitrile_dimBC_3B-69,94,220895,2578,1e2d3332513b1435ce319a2bde590190b434ee6d3933b4a6a640ae14b5d57d6b
04b_acetonitrile_monA_3B-69,95,223473,2322,57066a2a3c773bcc90f6b9ca8df8d4532058388312c23258e9649d8feed948f8
04b_acetonitrile_monB_3B-69,96,225795,2321,d0dddb2a8136788ee4f3fee9604e81a14691d99b151467e513898b47ad037f72
04b_acetonitrile_monC_3B-69,97,228116,2321,09938904eab291ca0a601f5932063a33e766555fbd61085b37243343b321f270
04b_acetonitrile_trim_3B-69,98,230437,2831,ddea5e3b10939912c58e09302c702bfd800ac0fd72d501fc1329a1e04132bf2c
04c_acetonitrile_dimAB_3B-69,99,233268,2576,a72a9586cd2fdfaef91b737c25611a8cdad7b60c021eac60ce25848aa3cab844
04c_acetonitrile_dimAC_3B-69,100,235844,2586,641d66e0c088a8e5de3d64aefc363b187a08a79ecf8476caf3fc5d1dfdbedc1a
04c_acetonitrile_dimBC_3B-69,101,238430,2586,39fc95b78f222e11efe30b18d802bdf9329985558783b33a2a5adf313329d725
04c_acetonitrile_monA_3B-69,102,241016,2320,8df485d277631d0419b967e8996bae5dc8dd0cc864bbc4d5a6c06d65f3dbdcd8
04c_acetonitrile_monB_3B-69,103,243336,2320,c89f521725098abb2ff2b2878018b05e06fcfbff31e25fa2ddce0f2f8b235f5e
04c_acetonitrile_monC_3B-69,104,245656,2330,896f05eb84113c6925dc6f3d4d62092500238fb530b6965261e187c47ae7e75c
04c_acetonitrile_trim_3B-69,105,247986,2837,659faf1d4996f2ba43a9747ff568f2d71505f918baea7ef500c064970abdb30d
05_ammonia-dimer_0p9_dim_A21x12,106,250823,2419,43ab8eddf1c96ecfaa60f7faf5746584a7f6b6724944ad713ca5cba31fece769
05_ammonia-dimer_1p0_dim_A21x12,107,253242,2419,981c00c71662df3cfb9b7ccad42192678cc49505dc7482b055282f71bb5bbb61
05_ammonia-dimer_1p1_dim_A21x12,108,255661,2419,16866a39b480c0832a9c3ca8e208f13208acdff3f0c72c95731c5003fa203e10
05_ammonia-dimer_1p2_dim_A21x12,109,258080,2419,59c7369ff252c3d84f5aa2d3ebed6e7dadf6ddf8b723b4d8695639b363cbc89b
05_ammonia-dimer_1p4_dim_A21x12,110,260499,2419,71ba2f31f73a5b0c51305945509c83429a79421f3e2a8460e5fb15d2018e2cbc
05_ammonia-dimer_1p6_dim_A21x12,111,262918,2419,89359faa15e25e5fbd7545bc913e0ef98353b6eb4b68d4b2ea3cabbae6e55f0d
05_ammonia-dimer_2p0_dim_A21x12,112,265337,2419,99c36a79805669dfedd0db17bae173acf56540a120f8b89d8a5a68267f9b3efb
05a_nitromethane_dimAB_3B-69,113,267756,2684,1daf84ad7e39819b08374af899f0f39d517daaf68f54776df986da2de94fa0ff
05a_nitromethane_dimAC_3B-69,114,270440,2679,0539c6e0c51bdc894936ea9ec26a16a9415310b1badb673371833e69e14ba29d
05a_nitromethane_dimBC_3B-69,115,273119,2673,5d295d1afcb3fb541ee7d028aa1781ad156f670265818eea0ca090c91f3013e8
05a_nitromethane_monA_3B-69,116,275792,2379,7778491aaea48a2231495c6e7234bb63be293c25c25ac927240e3764ea627f4e
05a_nitromethane_monB_3B-69,117,278171,2373,0d686f1895de8d474d3dfafe7018609fcfe2a1264e64eae640127fe9c5478b0b
05a_nitromethane_monC_3B-69,118,280544,2368,539e6ed9fd0891fdafe004042963c0237dad9a5dbca5138f39dab99210790bb7
05a_nitromethane_trim_3B-69,119,282912,2979,9a7e5c059f0799a427f4c0b57eebc9a454397df1ab15f38a5a5299061dee6940
05b_nitromethane_dimAB_3B-69,120,285891,2664,a67b924dbcbadb48a905d8ace3fc5afd2b9d8d01194a8b0f9f991654ba294433
05b_nitromethane_dimAC_3B-69,121,288555,2665,a173b594fc79ccfb39e9baddb290e3c992d6d13300a1a048329f7777ef2866ba
05b_nitromethane_dimBC_3B-69,122,291220,2667,d220826ad37b01c7b91f2cd7e8f39ad8057f24b276110eed6585e39db0a5fc87
05b_nitromethane_monA_3B-69,123,293887,2365,e501d21d34ed5f625f945f612270a131a48876af4bae14452a7272cd607c4b9e
05b_nitromethane_monB_3B-69,124,296252,2367,6536a7eb9b7c4ab23defff19ccbd351bffd6f33e07d939f1d11f59220a70eb7a
05b_nitromethane_monC_3B-69,125,298619,2368,6defa04d104fc96b49dcc79df7adf320abda05244e666a6b922a7ea4300c4504
05b_nitromethane_trim_3B-69,126,300987,2959,5ba385f01cf39ffc5a132876e4f2ba03e5fe56859fd9945995cfd3ef1d6e0f6c
05c_nitromethane_dimAB_3B-69,127,303946,2672,2ba16243a24f140663bcafd94df4faf50bdc8f22c02442bb949f753221cf7dbb
05c_nitromethane_dimAC_3B-69,128,306618,2673,bb50fd2c15f0a45b34b3cb0705ee59d088a5b4b0f2b8472c207a827c26f5afd5
05c_nitromethane_dimBC_3B-69,129,309291,2667,445b470540982e4e584ed1d8348f97ac30091476990fa5ac9637d8fac69dd86a
05c_nitromethane_monA_3B-69,130,311958,2373,32086c5f0a858ca643f83e1158f206ba33594e75e17ac8e6c1601c9b2674916e
05c_nitromethane_monB_3B-69,131,314331,2367,5240b674bb297d6a61be6141d7cd733c934ce4a4e41d4750eb3a8bd239776886
05c_nitromethane_monC_3B-69,132,316698,2368,ff204f73c9308891190fca724b0195270cd550da379d89a4de079fd275a1faba
05c_nitromethane_trim_3B-69,133,319066,2967,2423599af6f249186b0728f1ccf8f9a46fc4162c3dd942c73eed8c715429d9c4
06_HF-methane_0p9_dim_A21x12,134,322033,2369,ac7bf1c993d1629d07e0eb51abcde4d2446858254933971c00c759661a155503
06_HF-methane_1p0_dim_A21x12,135,324402,2369,443d7ecf67c29b0c08043807f122c5ab657f7fc781644cde88f64567eea886e2
06_HF-methane_1p1_dim_A21x12,136,326771,2369,fa4d9936e49b443199330b17f254c209e9e6909340fdbd8680920efb44260d0e
06_HF-methane_1p2_dim_A21x12,137,329140,2369,5caa544e815416fc14520f4200d06698908155032437c05fee8dc6225634ac73
06_HF-methane_1p4_dim_A21x12,138,331509,2369,ea36379a23aec35cad2134f3a0427c3538d0a326965d613a46c4d44021636662
06_HF-methane_1p6_dim_A21x12,139,333878,2369,a0c8c33f8e7cf057ac850ac774d9739d02d5ef19df985c6745b35655cfb3a37d
06_HF-methane_2p0_dim_A21x12,140,336247,2369,284d378a8d5e33ff7b5d1efbbb074588db0141176de8b96c006c5772973656a7
06a_acetic_acid_dimAB_3B-69,141,338616,2741,362cc7d880aaaf3ebcffca0d175b86365e77c16a6d705b48dc18accdea21629a
06a_acetic_acid_dimAC_3B-69,142,341357,2743,b4daa0973acae413f91044bdf7e4996be68ed60881485dc62859cdd85dc99e37
06a_acetic_acid_dimBC_3B-69,143,344100,2742,8fa51e28fecbfb0466f7e97d8778057a8d8332a15ea7e8aceea1c662e666fc73
06a_acetic_acid_monA_3B-69,144,346842,2402,f6fe716c854d1acdc76c65ca22d060d2d3e6aa8f21604bd00c6a0edba5477d28
06a_acetic_acid_monB_3B-69,145,349244,2401,43968c5ff558b0475bf05494a891dbe7054580e6d0636d4748690d8830085538
06a_acetic_acid_monC_3B-69,146,351645,2403,06275108d304b8f4f5c3db09d0ae79e8e673e91e247742025ccea168cb04166b
06a_acetic_acid_trim_3B-69,147,354048,3077,6c50c2105539e66783459dcacc5d1c455ffcbd9ea2128b6be55d80b2558c039c
06b_acetic_acid_dimAB_3B-69,148,357125,2762,8362f897ab346d341c9436114220f7197df26c8178e4648a617b866452784369
06b_acetic_acid_dimAC_3B-69,149,359887,2762,0b585b03ef91e05942f2d065fa5a16ac389009d6c267ec5b3501fd81f7373b3c
06b_acetic_acid_dimBC_3B-69,150,362649,2756,5ef00bf143b78f55fba4a04427c5afd50489a56761940e57559900eebe7c21b7
06b_acetic_acid_monA_3B-69,151,365405,2415,fc1abbd387fc389d72f5005f73a55273cad42088a3a838669011bb5775d9415b
06b_acetic_acid_monB_3B-69,152,367820,2409,38ba7d0b37f1a015373dc66e601c3c21ffb39324f5d9ef7ca37288224c7a7a4d
06b_acetic_acid_monC_3B-69,153,370229,2409,5e5acefdb440a8aaaad6765166e006b976b27077a1b9af9599d11dccdee8f01a
06b_acetic_acid_trim_3B-69,154,372638,3104,5850683c6aaa05dba52f4427bef791b913c7a616f06cdfeb817f76c6185bcbcf
06c_acetic_acid_dimAB_3B-69,155,375742,2756,4862c144b06f94788ffccbdc3e7806cc866b460b3e9800dc47b748780af8a90b
06c_acetic_acid_dimAC_3B-69,156,378498,2756,386e417e8abac83f30be1b0bebed128afe77077e19b922d4fe11a207ed00ea0d
06c_acetic_acid_dimBC_3B-69,157,381254,2756,cb9583672decc21364d261cd73ecd7248f878e2632b81cbf90a92645e5b89eb6
06c_acetic_acid_monA_3B-69,158,384010,2409,d292d827bea81e76c787848828f487982665920ecc3faedec178357774f0c000
06c_acetic_acid_monB_3B-69,159,386419,2409,3016c7c1b9cf895af0896439442ebb42779f519b62fda9f837b32707a50cf23d
06c_acetic_acid_monC_3B-69,160,388828,2409,ed2e0f5171c811a78229fdc5df5d6ae2ed6a0d857ed08af724b75abf344f44b3
06c_acetic_acid_trim_3B-69,161,391237,3098,98a855da1a93611dfd30eaaa0b4e02eeaa9fadd4196f7ee1fd1e97f8265b1084
07_ammonia-methane_0p9_dim_A21x12,162,394335,2472,aaa014a83624ab538ac4386445adf681a41d10d263f3ea37742ac56af5504b49
07_ammonia-methane_1p0_dim_A21x12,163,396807,2472,7fcade3c58818e411c32eef266cbc3e17759b34a14d3f4148efc56334f90e2db
07_ammonia-methane_1p1_dim_A21x12,164,399279,2472,d98169014b05b690bec72dad419d7ca9dc80bc9fca62f69cef45235108e2cd33
07_ammonia-methane_1p2_dim_A21x12,165,401751,2472,f19f7e627a0bb9d7021f73154e3dbd5557fc468fe38937d228180175717c8a16
07_ammonia-methane_1p4_dim_A21x12,166,404223,2472,b378c502bfb9422b4443ae53c17c7ed9a7027f7358ddf4a90eea5d4554c5169a
07_ammonia-methane_1p6_dim_A21x12,167,406695,2472,5c33e11b1d4f2519a7187870b4654385e3953300ac972604a56ef39d51d5e1f2
07_ammonia-methane_2p0_dim_A21x12,168,409167,2471,1c9d1c4df709981204c3e0bdb2072765e93edb5001c519b355a069f506af9f27
07a_oxalic_acid_dimAB_3B-69,169,411638,2753,67a440becedb6a6815e3896012ad7a247e1a39b3d981cc76d6fdc1f688f5792f
07a_oxalic_acid_dimAC_3B-69,170,414391,2756,8f69fcff8fc4ae54f38829bcf1ee269677769cc12713ac7b3f1d522f838ba7f6
07a_oxalic_acid_dimBC_3B-69,171,417147,2753,35948d0dea7c8337314b052cb0f98677980328539451736569d0f8fc9af9e9c7
07a_oxalic_acid_monA_3B-69,172,419900,2409,6fa2d7aba7b26e58274c27bb5376e6921f8620629cae06bdf56b6aea922642c8
07a_oxalic_acid_monB_3B-69,173,422309,2406,805eb8384ca151de099882e899574f48a455dddc6caee2e9da59e5cad4ded500
07a_oxalic_acid_monC_3B-69,174,424715,2409,b7ce578d047cc4b98c64a3df7299388d791b131278c45e86ba06285c49bf8cc6
07a_oxalic_acid_trim_3B-69,175,427124,3095,6f94daf2ac5348946c7013cf8710ca72276d768b3ab7ec13c745f8d54a2429e4
07b_oxalic_acid_dimAB_3B-69,176,430219,2763,c50e5bdc363f58c21c011bc687dfd9e6ef433ede77a4f3270439f2531a623643
07b_oxalic_acid_dimAC_3B-69,177,432982,2753,7d3ca2e6648e170a2e8e2428ba850abab073d2ded95d05c5d8fa993378fdc70e
07b_oxalic_acid_dimBC_3B-69,178,435735,2760,519094d6637b55256c036feb9d2712727e2436968308797c85bf461d20a5da9d
07b_oxalic_acid_monA_3B-69,179,438495,2409,552387e9c6ef45801ce2f604884e8dd754ab7e0b4019705202a2dc60a2b17069
07b_oxalic_acid_monB_3B-69,180,440904,2416,f3e02ebc4e93c8ca019a9bb1e7edb12b423b23aebcd585ab59dc8d274d2db764
07b_oxalic_acid_monC_3B-69,181,443320,2406,85e05d34714e5219c6304b10bbd371432482b19f57c68b12ac838439e5ab1db4
07b_oxalic_acid_trim_3B-69,182,445726,3102,eb08c7abda98893830dddec47e5cec620f7d3c0e9d8a3af4e825ff24a1011e5b
07c_oxalic_acid_dimAB_3B-69,183,448828,2771,7dfbc052b89b90c27eec42100eb14bd7bf27e5ad431f6fe0ec212abcecac0f71
07c_oxalic_acid_dimAC_3B-69,184,451599,2773,10245069e924f83d843305602261bdb338d222e5500f9522558ecd5bca244e28
07c_oxalic_acid_dimBC_3B-69,185,454372,2772,07203eabe3ea029271dde1596268c11f6c0eb8b3cefadbea8c6627196d661d83
07c_oxalic_acid_monA_3B-69,186,457144,2417,46df4c72947bec688e4d0b96407b082d815ff9034726975e762b3d7bf168945e
07c_oxalic_acid_monB_3B-69,187,459561,2416,157f2b98d02abe32212d55cdab2cbc59901a90ce28c2d35fa8696d57559055b3
07c_oxalic_acid_monC_3B-69,188,461977,2418,85f92e306b78503df7f7c7191fc818be491c44432c3a68ec0d4dcd5331f561e8
07c_oxalic_acid_trim_3B-69,189,464395,3122,699be8945c90052ca3fd25e92b84c0ea3c8f0a43a225f9de5456cb8e60f80ee5
08_water-methane_0p9_dim_A21x12,190,467517,2424,08af0221c919bb876e2dda661af2091c98ce8d703ee4a6e0f81164be5482e9c2
08_water-methane_1p0_dim_A21x12,191,469941,2424,f45194a3921317f950890a00369805b4e33061157b36e78a1e3e66da5f0231f5
08_water-methane_1p1_dim_A21x12,192,472365,2424,73dbfb71bcb4d81607f4133276f382305d7dd77a3335bcc3399543362ab4bd40
08_water-methane_1p2_dim_A21x12,193,474789,2424,f98efc6cd19efdb65dbbd5515e2f3aa71c67f07d9b4c3edfdab26b6242fcd8d6
08_water-methane_1p4_dim_A21x12,194,477213,2424,8b5d7fb2cb81b11137c1fe66432b6b8ba382ffe1aef8d0e359bda90ddb3faccb
08_water-methane_1p6_dim_A21x12,195,479637,2424,1166308d1e2aa6273228d550faf1f261cc223fbaa1b20d328cf3300a02258f03
08_water-methane_2p0_dim_A21x12,196,482061,2424,822dd43ff656d313550ad0197b85a0d406d249f14ed79274879063a81f9ed7f7
08a_vinylene_carbonate_dimAB_3B-69,197,484485,2764,520d6c718965224332e9d70b1e514410caa284574b9c06c8f7c1c36d9a1cac2b
08a_vinylene_carbonate_dimAC_3B-69,198,487249,2770,b8b32dbb2d87842f120e98856276ebd97c20a95e764b5aff8fa8395b28c8706c
08a_vinylene_carbonate_dimBC_3B-69,199,490019,2764,2a5f1cf9f514be7b4e541c7e2f49ddf7ee98fef1c9b5741e4a6936250d287684
08a_vinylene_carbonate_monA_3B-69,200,492783,2423,1102dd35e8229dfac8ab987a817065d4ae2ee9368412d967e139afd563a8c042
