global_index,si_row_index,set_or_subset,property_class,dataset_eval_dataset,reaction,dataset_order,selection_index,weight_spec,objective_weight
74,5,DBH22,BH,DBH22,DBH24_15,14,14,30,30
75,5,DBH22,BH,DBH22,DBH24_17,15,15,30,30
76,5,DBH22,BH,DBH22,DBH24_18,16,16,30,30
77,5,DBH22,BH,DBH22,DBH24_19,17,17,30,30
78,5,DBH22,BH,DBH22,DBH24_20,18,18,30,30
79,5,DBH22,BH,DBH22,DBH24_21,19,19,30,30
80,5,DBH22,BH,DBH22,DBH24_22,20,20,30,30
81,5,DBH22,BH,DBH22,DBH24_23,21,21,30,30
82,5,DBH22,BH,DBH22,DBH24_24,22,22,30,30
83,6,PX9,BH,PX9,PX13_1,1,1,20,20
84,6,PX9,BH,PX9,PX13_2,2,2,20,20
85,6,PX9,BH,PX9,PX13_4,3,3,20,20
86,6,PX9,BH,PX9,PX13_5,4,4,20,20
87,6,PX9,BH,PX9,PX13_7,5,5,20,20
88,6,PX9,BH,PX9,PX13_8,6,6,20,20
89,6,PX9,BH,PX9,PX13_9,7,7,20,20
90,6,PX9,BH,PX9,PX13_10,8,8,20,20
91,6,PX9,BH,PX9,PX13_13,9,9,20,20
92,7,Dip146,EF,Dip146,Dip146_1,1,1,1600,1600
93,7,Dip146,EF,Dip146,Dip146_4,4,2,1600,1600
94,7,Dip146,EF,Dip146,Dip146_7,7,3,1600,1600
95,7,Dip146,EF,Dip146,Dip146_10,10,4,1600,1600
96,7,Dip146,EF,Dip146,Dip146_13,13,5,1600,1600
97,7,Dip146,EF,Dip146,Dip146_16,16,6,1600,1600
98,7,Dip146,EF,Dip146,Dip146_19,19,7,1600,1600
99,7,Dip146,EF,Dip146,Dip146_22,22,8,1600,1600
100,7,Dip146,EF,Dip146,Dip146_25,25,9,1600,1600
101,7,Dip146,EF,Dip146,Dip146_28,28,10,1600,1600
102,7,Dip146,EF,Dip146,Dip146_32,32,11,1600,1600
103,7,Dip146,EF,Dip146,Dip146_35,35,12,1600,1600
104,7,Dip146,EF,Dip146,Dip146_38,38,13,1600,1600
105,7,Dip146,EF,Dip146,Dip146_41,41,14,1600,1600
106,7,Dip146,EF,Dip146,Dip146_44,44,15,1600,1600
107,7,Dip146,EF,Dip146,Dip146_47,47,16,1600,1600
108,7,Dip146,EF,Dip146,Dip146_50,50,17,1600,1600
109,7,Dip146,EF,Dip146,Dip146_53,53,18,1600,1600
110,7,Dip146,EF,Dip146,Dip146_56,56,19,1600,1600
111,7,Dip146,EF,Dip146,Dip146_59,59,20,1600,1600
112,7,Dip146,EF,Dip146,Dip146_62,62,21,1600,1600
113,7,Dip146,EF,Dip146,Dip146_65,65,22,1600,1600
114,7,Dip146,EF,Dip146,Dip146_68,68,23,1600,1600
115,7,Dip146,EF,Dip146,Dip146_71,71,24,1600,1600
116,7,Dip146,EF,Dip146,Dip146_74,74,25,1600,1600
117,7,Dip146,EF,Dip146,Dip146_77,77,26,1600,1600
118,7,Dip146,EF,Dip146,Dip146_80,80,27,1600,1600
119,7,Dip146,EF,Dip146,Dip146_83,83,28,1600,1600
120,7,Dip146,EF,Dip146,Dip146_86,86,29,1600,1600
121,7,Dip146,EF,Dip146,Dip146_89,89,30,1600,1600
122,7,Dip146,EF,Dip146,Dip146_92,92,31,1600,1600
123,7,Dip146,EF,Dip146,Dip146_95,95,32,1600,1600
124,7,Dip146,EF,Dip146,Dip146_98,98,33,1600,1600
125,7,Dip146,EF,Dip146,Dip146_101,101,34,1600,1600
126,7,Dip146,EF,Dip146,Dip146_104,104,35,1600,1600
127,7,Dip146,EF,Dip146,Dip146_107,107,36,1600,1600
128,7,Dip146,EF,Dip146,Dip146_110,110,37,1600,1600
129,7,Dip146,EF,Dip146,Dip146_113,113,38,1600,1600
130,7,Dip146,EF,Dip146,Dip146_116,116,39,1600,1600
131,7,Dip146,EF,Dip146,Dip146_119,119,40,1600,1600
132,7,Dip146,EF,Dip146,Dip146_122,122,41,1600,1600
133,7,Dip146,EF,Dip146,Dip146_125,125,42,1600,1600
134,7,Dip146,EF,Dip146,Dip146_128,128,43,1600,1600
135,7,Dip146,EF,Dip146,Dip146_131,131,44,1600,1600
136,7,Dip146,EF,Dip146,Dip146_134,134,45,1600,1600
137,7,Dip146,EF,Dip146,Dip146_137,137,46,1600,1600
138,7,Dip146,EF,Dip146,Dip146_140,140,47,1600,1600
139,7,Dip146,EF,Dip146,Dip146_143,143,48,1600,1600
140,7,Dip146,EF,Dip146,Dip146_146,146,49,1600,1600
141,7,Dip146,EF,Dip146,Dip146_149,149,50,1600,1600
142,7,Dip146,EF,Dip146,Dip146_152,152,51,1600,1600
143,7,Dip146,EF,Dip146,Dip146_155,155,52,1600,1600
144,7,Dip146,EF,Dip146,Dip146_158,158,53,1600,1600
145,7,Dip146,EF,Dip146,Dip146_161,161,54,1600,1600
146,7,Dip146,EF,Dip146,Dip146_164,164,55,1600,1600
147,7,Dip146,EF,Dip146,Dip146_167,167,56,1600,1600
148,7,Dip146,EF,Dip146,Dip146_170,170,57,1600,1600
149,7,Dip146,EF,Dip146,Dip146_173,173,58,1600,1600
150,7,Dip146,EF,Dip146,Dip146_176,176,59,1600,1600
151,7,Dip146,EF,Dip146,Dip146_179,179,60,1600,1600
152,7,Dip146,EF,Dip146,Dip146_182,182,61,1600,1600
153,7,Dip146,EF,Dip146,Dip146_185,185,62,1600,1600
154,7,Dip146,EF,Dip146,Dip146_188,188,63,1600,1600
155,8,HR46,EF,HR46,HR46_1,1,1,10000,10000
156,8,HR46,EF,HR46,HR46_4,4,2,10000,10000
157,8,HR46,EF,HR46,HR46_5,5,3,10000,10000
158,8,HR46,EF,HR46,HR46_8,8,4,10000,10000
159,8,HR46,EF,HR46,HR46_10,10,5,10000,10000
160,8,HR46,EF,HR46,HR46_12,12,6,10000,10000
161,8,HR46,EF,HR46,HR46_13,13,7,10000,10000
162,8,HR46,EF,HR46,HR46_17,17,8,10000,10000
163,8,HR46,EF,HR46,HR46_20,20,9,10000,10000
164,8,HR46,EF,HR46,HR46_23,23,10,10000,10000
165,8,HR46,EF,HR46,HR46_28,28,11,10000,10000
166,8,HR46,EF,HR46,HR46_30,30,12,10000,10000
167,8,HR46,EF,HR46,HR46_34,34,13,10000,10000
168,8,HR46,EF,HR46,HR46_37,37,14,10000,10000
169,8,HR46,EF,HR46,HR46_38,38,15,10000,10000
170,8,HR46,EF,HR46,HR46_42,42,16,10000,10000
171,8,HR46,EF,HR46,HR46_45,45,17,10000,10000
172,8,HR46,EF,HR46,HR46_48,48,18,10000,10000
173,8,HR46,EF,HR46,HR46_51,51,19,10000,10000
174,8,HR46,EF,HR46,HR46_53,53,20,10000,10000
175,8,HR46,EF,HR46,HR46_57,57,21,10000,10000
176,8,HR46,EF,HR46,HR46_59,59,22,10000,10000
177,8,HR46,EF,HR46,HR46_62,62,23,10000,10000
178,8,HR46,EF,HR46,HR46_66,66,24,10000,10000
179,8,HR46,EF,HR46,HR46_70,70,25,10000,10000
180,8,HR46,EF,HR46,HR46_71,71,26,10000,10000
181,8,HR46,EF,HR46,HR46_75,75,27,10000,10000
182,8,HR46,EF,HR46,HR46_76,76,28,10000,10000
183,8,HR46,EF,HR46,HR46_80,80,29,10000,10000
184,8,HR46,EF,HR46,HR46_82,82,30,10000,10000
185,8,HR46,EF,HR46,HR46_86,86,31,10000,10000
186,8,HR46,EF,HR46,HR46_87,87,32,10000,10000
187,8,HR46,EF,HR46,HR46_91,91,33,10000,10000
188,8,HR46,EF,HR46,HR46_94,94,34,10000,10000
189,8,HR46,EF,HR46,HR46_97,97,35,10000,10000
190,8,HR46,EF,HR46,HR46_99,99,36,10000,10000
191,8,HR46,EF,HR46,HR46_104,104,37,10000,10000
192,8,HR46,EF,HR46,HR46_105,105,38,10000,10000
193,8,HR46,EF,HR46,HR46_110,110,39,10000,10000
194,8,HR46,EF,HR46,HR46_113,113,40,10000,10000
195,8,HR46,EF,HR46,HR46_114,114,41,10000,10000
196,8,HR46,EF,HR46,HR46_119,119,42,10000,10000
197,8,HR46,EF,HR46,HR46_120,120,43,10000,10000
198,8,HR46,EF,HR46,HR46_123,123,44,10000,10000
199,8,HR46,EF,HR46,HR46_126,126,45,10000,10000
200,9,Pol130,EF,Pol130,Pol130_1,1,1,6400,6400
201,9,Pol130,EF,Pol130,Pol130_4,4,2,6400,6400
202,9,Pol130,EF,Pol130,Pol130_11,11,3,6400,6400
203,9,Pol130,EF,Pol130,Pol130_12,12,4,6400,6400
204,9,Pol130,EF,Pol130,Pol130_16,16,5,6400,6400
205,9,Pol130,EF,Pol130,Pol130_20,20,6,6400,6400
206,9,Pol130,EF,Pol130,Pol130_22,22,7,6400,6400
207,9,Pol130,EF,Pol130,Pol130_24,24,8,6400,6400
208,9,Pol130,EF,Pol130,Pol130_26,26,9,6400,6400
209,9,Pol130,EF,Pol130,Pol130_28,28,10,6400,6400
210,9,Pol130,EF,Pol130,Pol130_33,33,11,6400,6400
211,9,Pol130,EF,Pol130,Pol130_36,36,12,6400,6400
212,9,Pol130,EF,Pol130,Pol130_39,39,13,6400,6400
213,9,Pol130,EF,Pol130,Pol130_42,42,14,6400,6400
214,9,Pol130,EF,Pol130,Pol130_44,44,15,6400,6400
215,9,Pol130,EF,Pol130,Pol130_48,48,16,6400,6400
216,9,Pol130,EF,Pol130,Pol130_51,51,17,6400,6400
217,9,Pol130,EF,Pol130,Pol130_54,54,18,6400,6400
218,9,Pol130,EF,Pol130,Pol130_56,56,19,6400,6400
219,9,Pol130,EF,Pol130,Pol130_59,59,20,6400,6400
220,9,Pol130,EF,Pol130,Pol130_62,62,21,6400,6400
221,9,Pol130,EF,Pol130,Pol130_66,66,22,6400,6400
222,9,Pol130,EF,Pol130,Pol130_68,68,23,6400,6400
223,9,Pol130,EF,Pol130,Pol130_70,70,24,6400,6400
224,9,Pol130,EF,Pol130,Pol130_74,74,25,6400,6400
225,9,Pol130,EF,Pol130,Pol130_81,81,26,6400,6400
226,9,Pol130,EF,Pol130,Pol130_85,85,27,6400,6400
227,9,Pol130,EF,Pol130,Pol130_91,91,28,6400,6400
228,9,Pol130,EF,Pol130,Pol130_95,95,29,6400,6400
229,9,Pol130,EF,Pol130,Pol130_98,98,30,6400,6400
230,9,Pol130,EF,Pol130,Pol130_101,101,31,6400,6400
231,9,Pol130,EF,Pol130,Pol130_102,102,32,6400,6400
232,9,Pol130,EF,Pol130,Pol130_105,105,33,6400,6400
233,9,Pol130,EF,Pol130,Pol130_107,107,34,6400,6400
234,9,Pol130,EF,Pol130,Pol130_111,111,35,6400,6400
235,9,Pol130,EF,Pol130,Pol130_115,115,36,6400,6400
236,9,Pol130,EF,Pol130,Pol130_116,116,37,6400,6400
237,9,Pol130,EF,Pol130,Pol130_121,121,38,6400,6400
238,9,Pol130,EF,Pol130,Pol130_123,123,39,6400,6400
239,9,Pol130,EF,Pol130,Pol130_126,126,40,6400,6400
240,9,Pol130,EF,Pol130,Pol130_128,128,41,6400,6400
241,9,Pol130,EF,Pol130,Pol130_130,130,42,6400,6400
242,9,Pol130,EF,Pol130,Pol130_132,132,43,6400,6400
243,9,Pol130,EF,Pol130,Pol130_137,137,44,6400,6400
244,9,Pol130,EF,Pol130,Pol130_142,142,45,6400,6400
245,9,Pol130,EF,Pol130,Pol130_144,144,46,6400,6400
246,9,Pol130,EF,Pol130,Pol130_145,145,47,6400,6400
247,9,Pol130,EF,Pol130,Pol130_147,147,48,6400,6400
248,9,Pol130,EF,Pol130,Pol130_149,149,49,6400,6400
249,9,Pol130,EF,Pol130,Pol130_153,153,50,6400,6400
250,9,Pol130,EF,Pol130,Pol130_157,157,51,6400,6400
251,9,Pol130,EF,Pol130,Pol130_158,158,52,6400,6400
252,9,Pol130,EF,Pol130,Pol130_161,161,53,6400,6400
253,9,Pol130,EF,Pol130,Pol130_165,165,54,6400,6400
254,9,Pol130,EF,Pol130,Pol130_167,167,55,6400,6400
255,9,Pol130,EF,Pol130,Pol130_170,170,56,6400,6400
256,9,Pol130,EF,Pol130,Pol130_171,171,57,6400,6400
257,9,Pol130,EF,Pol130,Pol130_173,173,58,6400,6400
258,9,Pol130,EF,Pol130,Pol130_176,176,59,6400,6400
259,9,Pol130,EF,Pol130,Pol130_180,180,60,6400,6400
260,9,Pol130,EF,Pol130,Pol130_182,182,61,6400,6400
261,9,Pol130,EF,Pol130,Pol130_185,185,62,6400,6400
262,9,Pol130,EF,Pol130,Pol130_188,188,63,6400,6400
263,9,Pol130,EF,Pol130,Pol130_192,192,64,6400,6400
264,9,Pol130,EF,Pol130,Pol130_197,197,65,6400,6400
265,9,Pol130,EF,Pol130,Pol130_200,200,66,6400,6400
266,9,Pol130,EF,Pol130,Pol130_203,203,67,6400,6400
267,9,Pol130,EF,Pol130,Pol130_204,204,68,6400,6400
268,9,Pol130,EF,Pol130,Pol130_209,209,69,6400,6400
269,9,Pol130,EF,Pol130,Pol130_211,211,70,6400,6400
270,9,Pol130,EF,Pol130,Pol130_214,214,71,6400,6400
271,9,Pol130,EF,Pol130,Pol130_217,217,72,6400,6400
272,9,Pol130,EF,Pol130,Pol130_223,223,73,6400,6400
273,9,Pol130,EF,Pol130,Pol130_227,227,74,6400,6400
274,9,Pol130,EF,Pol130,Pol130_229,229,75,6400,6400
275,9,Pol130,EF,Pol130,Pol130_231,231,76,6400,6400
276,9,Pol130,EF,Pol130,Pol130_234,234,77,6400,6400
277,9,Pol130,EF,Pol130,Pol130_237,237,78,6400,6400
278,9,Pol130,EF,Pol130,Pol130_242,242,79,6400,6400
279,9,Pol130,EF,Pol130,Pol130_245,245,80,6400,6400
280,9,Pol130,EF,Pol130,Pol130_248,248,81,6400,6400
281,9,Pol130,EF,Pol130,Pol130_250,250,82,6400,6400
282,9,Pol130,EF,Pol130,Pol130_254,254,83,6400,6400
283,9,Pol130,EF,Pol130,Pol130_257,257,84,6400,6400
284,9,Pol130,EF,Pol130,Pol130_261,261,85,6400,6400
285,9,Pol130,EF,Pol130,Pol130_262,262,86,6400,6400
286,9,Pol130,EF,Pol130,Pol130_267,267,87,6400,6400
287,9,Pol130,EF,Pol130,Pol130_273,273,88,6400,6400
288,9,Pol130,EF,Pol130,Pol130_276,276,89,6400,6400
289,9,Pol130,EF,Pol130,Pol130_279,279,90,6400,6400
290,9,Pol130,EF,Pol130,Pol130_282,282,91,6400,6400
291,9,Pol130,EF,Pol130,Pol130_284,284,92,6400,6400
292,9,Pol130,EF,Pol130,Pol130_290,290,93,6400,6400
293,9,Pol130,EF,Pol130,Pol130_294,294,94,6400,6400
294,9,Pol130,EF,Pol130,Pol130_296,296,95,6400,6400
295,10,EIE22,ISO,EIE22,EIE22_1,1,1,20,20
296,10,EIE22,ISO,EIE22,EIE22_2,2,2,20,20
297,10,EIE22,ISO,EIE22,EIE22_3,3,3,20,20
298,10,EIE22,ISO,EIE22,EIE22_4,4,4,20,20
299,10,EIE22,ISO,EIE22,EIE22_5,5,5,20,20
300,10,EIE22,ISO,EIE22,EIE22_6,6,6,20,20
301,10,EIE22,ISO,EIE22,EIE22_7,7,7,20,20
302,10,EIE22,ISO,EIE22,EIE22_8,8,8,20,20
303,10,EIE22,ISO,EIE22,EIE22_9,9,9,20,20
304,10,EIE22,ISO,EIE22,EIE22_10,10,10,20,20
305,10,EIE22,ISO,EIE22,EIE22_11,11,11,20,20
306,10,EIE22,ISO,EIE22,EIE22_12,12,12,20,20
307,10,EIE22,ISO,EIE22,EIE22_13,13,13,20,20
308,10,EIE22,ISO,EIE22,EIE22_14,14,14,20,20
309,10,EIE22,ISO,EIE22,EIE22_15,15,15,20,20
310,10,EIE22,ISO,EIE22,EIE22_16,16,16,20,20
311,10,EIE22,ISO,EIE22,EIE22_17,17,17,20,20
312,10,EIE22,ISO,EIE22,EIE22_18,18,18,20,20
313,10,EIE22,ISO,EIE22,EIE22_19,19,19,20,20
314,10,EIE22,ISO,EIE22,EIE22_20,20,20,20,20
315,10,EIE22,ISO,EIE22,EIE22_21,21,21,20,20
316,10,EIE22,ISO,EIE22,EIE22_22,22,22,20,20
317,11,PCONF21,INC,PCONF21,PCONF21_1,1,1,50,50
318,11,PCONF21,INC,PCONF21,PCONF21_2,2,2,50,50
319,11,PCONF21,INC,PCONF21,PCONF21_3,3,3,50,50
320,11,PCONF21,INC,PCONF21,PCONF21_4,4,4,50,50
321,11,PCONF21,INC,PCONF21,PCONF21_5,5,5,50,50
322,11,PCONF21,INC,PCONF21,PCONF21_6,6,6,50,50
323,11,PCONF21,INC,PCONF21,PCONF21_7,7,7,50,50
324,11,PCONF21,INC,PCONF21,PCONF21_8,8,8,50,50
325,11,PCONF21,INC,PCONF21,PCONF21_9,9,9,50,50
326,11,PCONF21,INC,PCONF21,PCONF21_10,10,10,50,50
327,11,PCONF21,INC,PCONF21,PCONF21_11,11,11,50,50
328,11,PCONF21,INC,PCONF21,PCONF21_12,12,12,50,50
329,11,PCONF21,INC,PCONF21,PCONF21_13,13,13,50,50
330,11,PCONF21,INC,PCONF21,PCONF21_14,14,14,50,50
331,11,PCONF21,INC,PCONF21,PCONF21_15,15,15,50,50
332,11,PCONF21,INC,PCONF21,PCONF21_16,16,16,50,50
333,11,PCONF21,INC,PCONF21,PCONF21_17,17,17,50,50
334,11,PCONF21,INC,PCONF21,PCONF21_18,18,18,50,50
335,12,Styrene42,ISO,Styrene42,Styrene45_2,1,1,5,5
336,12,Styrene42,ISO,Styrene42,Styrene45_3,2,2,5,5
337,12,Styrene42,ISO,Styrene42,Styrene45_4,3,3,5,5
338,12,Styrene42,ISO,Styrene42,Styrene45_5,4,4,5,5
339,12,Styrene42,ISO,Styrene42,Styrene45_6,5,5,5,5
340,12,Styrene42,ISO,Styrene42,Styrene45_7,6,6,5,5
341,12,Styrene42,ISO,Styrene42,Styrene45_8,7,7,5,5
342,12,Styrene42,ISO,Styrene42,Styrene45_9,8,8,5,5
343,12,Styrene42,ISO,Styrene42,Styrene45_10,9,9,5,5
344,12,Styrene42,ISO,Styrene42,Styrene45_11,10,10,5,5
345,12,Styrene42,ISO,Styrene42,Styrene45_12,11,11,5,5
346,12,Styrene42,ISO,Styrene42,Styrene45_13,12,12,5,5
347,12,Styrene42,ISO,Styrene42,Styrene45_14,13,13,5,5
348,12,Styrene42,ISO,Styrene42,Styrene45_15,14,14,5,5
349,12,Styrene42,ISO,Styrene42,Styrene45_16,15,15,5,5
350,12,Styrene42,ISO,Styrene42,Styrene45_17,16,16,5,5
351,12,Styrene42,ISO,Styrene42,Styrene45_18,17,17,5,5
352,12,Styrene42,ISO,Styrene42,Styrene45_19,18,18,5,5
353,12,Styrene42,ISO,Styrene42,Styrene45_20,19,19,5,5
354,12,Styrene42,ISO,Styrene42,Styrene45_21,20,20,5,5
355,12,Styrene42,ISO,Styrene42,Styrene45_22,21,21,5,5
356,12,Styrene42,ISO,Styrene42,Styrene45_23,22,22,5,5
357,12,Styrene42,ISO,Styrene42,Styrene45_24,23,23,5,5
358,12,Styrene42,ISO,Styrene42,Styrene45_25,24,24,5,5
359,12,Styrene42,ISO,Styrene42,Styrene45_26,25,25,5,5
360,12,Styrene42,ISO,Styrene42,Styrene45_27,26,26,5,5
361,12,Styrene42,ISO,Styrene42,Styrene45_28,27,27,5,5
362,12,Styrene42,ISO,Styrene42,Styrene45_29,28,28,5,5
363,12,Styrene42,ISO,Styrene42,Styrene45_30,29,29,5,5
364,12,Styrene42,ISO,Styrene42,Styrene45_31,30,30,5,5
365,12,Styrene42,ISO,Styrene42,Styrene45_32,31,31,5,5
366,12,Styrene42,ISO,Styrene42,Styrene45_33,32,32,5,5
367,12,Styrene42,ISO,Styrene42,Styrene45_34,33,33,5,5
368,12,Styrene42,ISO,Styrene42,Styrene45_35,34,34,5,5
369,12,Styrene42,ISO,Styrene42,Styrene45_36,35,35,5,5
370,12,Styrene42,ISO,Styrene42,Styrene45_37,36,36,5,5
371,12,Styrene42,ISO,Styrene42,Styrene45_39,37,37,5,5
372,12,Styrene42,ISO,Styrene42,Styrene45_40,38,38,5,5
373,12,Styrene42,ISO,Styrene42,Styrene45_42,39,39,5,5
374,12,Styrene42,ISO,Styrene42,Styrene45_43,40,40,5,5
375,12,Styrene42,ISO,Styrene42,Styrene45_44,41,41,5,5
376,12,Styrene42,ISO,Styrene42,Styrene45_45,42,42,5,5
377,13,AlkIsomer11,ISO,AlkIsomer11,AlkIsomer11_1,1,1,50,50
378,13,AlkIsomer11,ISO,AlkIsomer11,AlkIsomer11_2,2,2,50,50
379,13,AlkIsomer11,ISO,AlkIsomer11,AlkIsomer11_3,3,3,50,50
380,13,AlkIsomer11,ISO,AlkIsomer11,AlkIsomer11_4,4,4,50,50
381,13,AlkIsomer11,ISO,AlkIsomer11,AlkIsomer11_5,5,5,50,50
382,13,AlkIsomer11,ISO,AlkIsomer11,AlkIsomer11_6,6,6,50,50
383,13,AlkIsomer11,ISO,AlkIsomer11,AlkIsomer11_7,7,7,50,50
384,13,AlkIsomer11,ISO,AlkIsomer11,AlkIsomer11_8,8,8,50,50
385,13,AlkIsomer11,ISO,AlkIsomer11,AlkIsomer11_9,9,9,50,50
386,13,AlkIsomer11,ISO,AlkIsomer11,AlkIsomer11_10,10,10,50,50
387,13,AlkIsomer11,ISO,AlkIsomer11,AlkIsomer11_11,11,11,50,50
388,14,BUT14DIOL,INC,BUT14DIOL,BUT14DIOL_3,3,1,200,200
389,14,BUT14DIOL,INC,BUT14DIOL,BUT14DIOL_4,4,2,200,200
390,14,BUT14DIOL,INC,BUT14DIOL,BUT14DIOL_9,9,3,200,200
391,14,BUT14DIOL,INC,BUT14DIOL,BUT14DIOL_14,14,4,200,200
392,14,BUT14DIOL,INC,BUT14DIOL,BUT14DIOL_17,17,5,200,200
393,14,BUT14DIOL,INC,BUT14DIOL,BUT14DIOL_25,25,6,200,200
394,14,BUT14DIOL,INC,BUT14DIOL,BUT14DIOL_37,37,7,200,200
395,14,BUT14DIOL,INC,BUT14DIOL,BUT14DIOL_38,38,8,200,200
396,14,BUT14DIOL,INC,BUT14DIOL,BUT14DIOL_40,40,9,200,200
397,14,BUT14DIOL,INC,BUT14DIOL,BUT14DIOL_43,43,10,200,200
398,14,BUT14DIOL,INC,BUT14DIOL,BUT14DIOL_46,46,11,200,200
399,14,BUT14DIOL,INC,BUT14DIOL,BUT14DIOL_47,47,12,200,200
400,14,BUT14DIOL,INC,BUT14DIOL,BUT14DIOL_58,58,13,200,200
401,14,BUT14DIOL,INC,BUT14DIOL,BUT14DIOL_60,60,14,200,200
402,15,S66Rel7,NC,S66Rel7,S66Rel7_1,1,1,60,60
