Dataset,datapoints,weights,set_or_subset,property_class,published_count,selection_mode
PCONF21,All,50,PCONF21,INC,18,All
Styrene42,All,5,Styrene42,ISO,42,All
AlkIsomer11,All,50,AlkIsomer11,ISO,11,All
BUT14DIOL,"BUT14DIOL_3,BUT14DIOL_4,BUT14DIOL_9,BUT14DIOL_14,BUT14DIOL_17,BUT14DIOL_25,BUT14DIOL_37,BUT14DIOL_38,BUT14DIOL_40,BUT14DIOL_43,BUT14DIOL_46,BUT14DIOL_47,BUT14DIOL_58,BUT14DIOL_60",200,BUT14DIOL,INC,14,explicit
S66Rel7,"S66Rel7_1,S66Rel7_8,S66Rel7_15,S66Rel7_22,S66Rel7_29,S66Rel7_36,S66Rel7_43,S66Rel7_50,S66Rel7_57,S66Rel7_64,S66Rel7_71,S66Rel7_78,S66Rel7_85,S66Rel7_92,S66Rel7_97,S66Rel7_99,S66Rel7_113,S66Rel7_118,S66Rel7_120,S66Rel7_127,S66Rel7_134,S66Rel7_139,S66Rel7_141,S66Rel7_146,S66Rel7_148,S66Rel7_153,S66Rel7_155,S66Rel7_160,S66Rel7_162,S66Rel7_167,S66Rel7_169,S66Rel7_176,S66Rel7_183,S66Rel7_188,S66Rel7_190,S66Rel7_197,S66Rel7_204,S66Rel7_209,S66Rel7_211,S66Rel7_218,S66Rel7_223,S66Rel7_225,S66Rel7_230,S66Rel7_232,S66Rel7_239,S66Rel7_246,S66Rel7_253,S66Rel7_267,S66Rel7_274,S66Rel7_279,S66Rel7_281,S66Rel7_288,S66Rel7_295,S66Rel7_309,S66Rel7_316,S66Rel7_323,S66Rel7_330,S66Rel7_337,S66Rel7_344,S66Rel7_351,S66Rel7_358,S66Rel7_365,S66Rel7_372,S66Rel7_377,S66Rel7_379,S66Rel7_393,S66Rel7_405,S66Rel7_407,S66Rel7_414,S66Rel7_419,S66Rel7_421,S66Rel7_435,S66Rel7_442,S66Rel7_449",60,S66Rel7,NC,74,explicit
Bauza30,All,20,Bauza30,NC,30,All
CT20,All,400,CT20,NC,20,All
HCP32,All,60,HCP32,NC,32,All
TA13,All,8,TA13,NC,13,All
XB25,"XB25_1,XB25_2,XB25_3,XB25_4,XB25_5,XB25_6,XB25_7,XB25_8",200,XB25,NC,8,explicit
HW6Cl5,All,120,HW6Cl5,NC,5,All
Shields38,"Shields38_14,Shields38_15,Shields38_16,Shields38_17,Shields38_18,Shields38_19,Shields38_20,Shields38_21",100,Shields38,NC,8,explicit
A24,All,400,A24,NC,24,All
DS14,All,60,DS14,NC,14,All
HSG,All,150,HSG,NC,21,All
IHB100,All,80,IHB100,NC,100,All
IL16,All,120,IL16,NC,16,All
RG10N,"RG10N_1,RG10N_8,RG10N_31,RG10N_33,RG10N_58,RG10N_59,RG10N_61,RG10N_63,RG10N_92,RG10N_93,RG10N_95,RG10N_125,RG10N_147,RG10N_149,RG10N_176,RG10N_177,RG10N_179,RG10N_181,RG10N_210,RG10N_212,RG10N_240,RG10N_242,RG10N_244",25,RG10N1,NC,23,explicit
RG10N,"RG10N_3,RG10N_9,RG10N_11,RG10N_40,RG10N_71,RG10N_102,RG10N_105,RG10N_128,RG10N_131,RG10N_151,RG10N_153,RG10N_184,RG10N_189,RG10N_216,RG10N_218,RG10N_249,RG10N_253",800,RG10N2,NC,17,explicit
S22,All,120,S22,NC,22,All
MB16-43,All,0.05,MB16-43,TC,43,All
MX34,All,0.02,MX34,TC,34,All
AE18,All,Shrink,AE18,TC,18,All
ALK8,All,2,ALK8,TC,8,All
AlkAtom19,All,1,AlkAtom19,TC,19,All
BDE99nonMR,All,1.2,BDE99nonMR,TC,83,All
BSR36,All,8,BSR36,TC,36,All
CR20,All,15,CR20,TC,20,All
DIPCS9,All,0.6,DIPCS9,TC,9,All
G21EA,All,9,G21EA,TC,25,All
G21IP,All,1.4,G21IP,TC,36,All
HEAVYSB11,All,0.8,HEAVYSB11,TC,11,All
RSE43,All,2,RSE43,TC,43,All
TAE_W4-17nonMR,All,0.8,TAE_W4-17nonMR,TC,183,All
3d4dIPSS,All,1.5,3d4dIPSS,TM,32,All
CUAGAU83,"CUAGAU_1,CUAGAU_2,CUAGAU_3,CUAGAU_4,CUAGAU_5,CUAGAU_8,CUAGAU_9,CUAGAU_10,CUAGAU_11,CUAGAU_12,CUAGAU_13,CUAGAU_14,CUAGAU_15,CUAGAU_16,CUAGAU_17,CUAGAU_18,CUAGAU_19,CUAGAU_22,CUAGAU_23,CUAGAU_24,CUAGAU_25,CUAGAU_26,CUAGAU_27,CUAGAU_28,CUAGAU_29,CUAGAU_30,CUAGAU_31,CUAGAU_32,CUAGAU_33,CUAGAU_36,CUAGAU_37,CUAGAU_38,CUAGAU_39,CUAGAU_40,CUAGAU_41,CUAGAU_42",1.5,CUAGAU83,TM,36,explicit
MOR13,All,10,MOR13,TM,13,All
TMB11,All,10,TMB11,TM,11,All
TMD10,All,10,TMD10,TM,10,All
