species,scope,gscdb137_dataset_count,gscdb137_datasets,gscdb137_reaction_uses,auxiliary_dataset_count,auxiliary_datasets,auxiliary_reaction_uses,charge,multiplicity,atom_count,basis,aux_basis_corr,scf_algorithm,xc_grid,num_basis,num_pairs,qchem_input,primary_orbital_dir,primary_qarchive,working_orbital_dir,working_qarchive,working_staged_ok
03c_methanol_ethyne_dimBC_3B-69,gscdb137,1,3B-69,1,0,,0,0,1,10,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,453,82227,qchem_inputs/03c_methanol_ethyne_dimBC_3B-69.in,True,True,True,True,True
03c_methanol_ethyne_monA_3B-69,gscdb137,1,3B-69,1,0,,0,0,1,6,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,261,34660,qchem_inputs/03c_methanol_ethyne_monA_3B-69.in,True,True,True,True,True
03c_methanol_ethyne_monB_3B-69,gscdb137,1,3B-69,1,0,,0,0,1,6,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,261,34660,qchem_inputs/03c_methanol_ethyne_monB_3B-69.in,True,True,True,True,True
03c_methanol_ethyne_monC_3B-69,gscdb137,1,3B-69,1,0,,0,0,1,4,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,192,18800,qchem_inputs/03c_methanol_ethyne_monC_3B-69.in,True,True,True,True,True
03c_methanol_ethyne_trim_3B-69,gscdb137,1,3B-69,1,0,,0,0,1,16,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,714,200693,qchem_inputs/03c_methanol_ethyne_trim_3B-69.in,True,True,True,True,True
04_HF-dimer_0p9_dim_A21x12,gscdb137,1,A19Rel6,1,0,,0,0,1,4,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,198,19505,qchem_inputs/04_HF-dimer_0p9_dim_A21x12.in,True,True,True,True,True
04_HF-dimer_1p0_dim_A21x12,gscdb137,1,A19Rel6,6,0,,0,0,1,4,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,198,19004,qchem_inputs/04_HF-dimer_1p0_dim_A21x12.in,True,True,True,True,True
04_HF-dimer_1p1_dim_A21x12,gscdb137,1,A19Rel6,1,0,,0,0,1,4,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,198,18561,qchem_inputs/04_HF-dimer_1p1_dim_A21x12.in,True,True,True,True,True
04_HF-dimer_1p2_dim_A21x12,gscdb137,1,A19Rel6,1,0,,0,0,1,4,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,198,18206,qchem_inputs/04_HF-dimer_1p2_dim_A21x12.in,True,True,True,True,True
04_HF-dimer_1p4_dim_A21x12,gscdb137,1,A19Rel6,1,0,,0,0,1,4,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,198,17018,qchem_inputs/04_HF-dimer_1p4_dim_A21x12.in,True,True,True,True,True
04_HF-dimer_1p6_dim_A21x12,gscdb137,1,A19Rel6,1,0,,0,0,1,4,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,198,16014,qchem_inputs/04_HF-dimer_1p6_dim_A21x12.in,True,True,True,True,True
04_HF-dimer_2p0_dim_A21x12,gscdb137,1,A19Rel6,1,0,,0,0,1,4,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,198,14312,qchem_inputs/04_HF-dimer_2p0_dim_A21x12.in,True,True,True,True,True
04a_acetonitrile_dimAB_3B-69,gscdb137,1,3B-69,1,0,,0,0,1,12,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,576,140736,qchem_inputs/04a_acetonitrile_dimAB_3B-69.in,True,True,True,True,True
04a_acetonitrile_dimAC_3B-69,gscdb137,1,3B-69,1,0,,0,0,1,12,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,576,143727,qchem_inputs/04a_acetonitrile_dimAC_3B-69.in,True,True,True,True,True
04a_acetonitrile_dimBC_3B-69,gscdb137,1,3B-69,1,0,,0,0,1,12,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,576,141810,qchem_inputs/04a_acetonitrile_dimBC_3B-69.in,True,True,True,True,True
04a_acetonitrile_monA_3B-69,gscdb137,1,3B-69,1,0,,0,0,1,6,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,288,41619,qchem_inputs/04a_acetonitrile_monA_3B-69.in,True,True,True,True,True
04a_acetonitrile_monB_3B-69,gscdb137,1,3B-69,1,0,,0,0,1,6,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,288,41619,qchem_inputs/04a_acetonitrile_monB_3B-69.in,True,True,True,True,True
04a_acetonitrile_monC_3B-69,gscdb137,1,3B-69,1,0,,0,0,1,6,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,288,41619,qchem_inputs/04a_acetonitrile_monC_3B-69.in,True,True,True,True,True
04a_acetonitrile_trim_3B-69,gscdb137,1,3B-69,1,0,,0,0,1,18,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,864,301416,qchem_inputs/04a_acetonitrile_trim_3B-69.in,True,True,True,True,True
04b_acetonitrile_dimAB_3B-69,gscdb137,1,3B-69,1,0,,0,0,1,12,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,576,124381,qchem_inputs/04b_acetonitrile_dimAB_3B-69.in,True,True,True,True,True
04b_acetonitrile_dimAC_3B-69,gscdb137,1,3B-69,1,0,,0,0,1,12,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,576,133343,qchem_inputs/04b_acetonitrile_dimAC_3B-69.in,True,True,True,True,True
04b_acetonitrile_dimBC_3B-69,gscdb137,1,3B-69,1,0,,0,0,1,12,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,576,141810,qchem_inputs/04b_acetonitrile_dimBC_3B-69.in,True,True,True,True,True
04b_acetonitrile_monA_3B-69,gscdb137,1,3B-69,1,0,,0,0,1,6,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,288,41619,qchem_inputs/04b_acetonitrile_monA_3B-69.in,True,True,True,True,True
04b_acetonitrile_monB_3B-69,gscdb137,1,3B-69,1,0,,0,0,1,6,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,288,41619,qchem_inputs/04b_acetonitrile_monB_3B-69.in,True,True,True,True,True
04b_acetonitrile_monC_3B-69,gscdb137,1,3B-69,1,0,,0,0,1,6,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,288,41619,qchem_inputs/04b_acetonitrile_monC_3B-69.in,True,True,True,True,True
04b_acetonitrile_trim_3B-69,gscdb137,1,3B-69,1,0,,0,0,1,18,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,864,274677,qchem_inputs/04b_acetonitrile_trim_3B-69.in,True,True,True,True,True
04c_acetonitrile_dimAB_3B-69,gscdb137,1,3B-69,1,0,,0,0,1,12,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,576,139852,qchem_inputs/04c_acetonitrile_dimAB_3B-69.in,True,True,True,True,True
04c_acetonitrile_dimAC_3B-69,gscdb137,1,3B-69,1,0,,0,0,1,12,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,576,129637,qchem_inputs/04c_acetonitrile_dimAC_3B-69.in,True,True,True,True,True
04c_acetonitrile_dimBC_3B-69,gscdb137,1,3B-69,1,0,,0,0,1,12,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,576,100153,qchem_inputs/04c_acetonitrile_dimBC_3B-69.in,True,True,True,True,True
04c_acetonitrile_monA_3B-69,gscdb137,1,3B-69,1,0,,0,0,1,6,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,288,41626,qchem_inputs/04c_acetonitrile_monA_3B-69.in,True,True,True,True,True
04c_acetonitrile_monB_3B-69,gscdb137,1,3B-69,1,0,,0,0,1,6,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,288,41626,qchem_inputs/04c_acetonitrile_monB_3B-69.in,True,True,True,True,True
04c_acetonitrile_monC_3B-69,gscdb137,1,3B-69,1,0,,0,0,1,6,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,288,41626,qchem_inputs/04c_acetonitrile_monC_3B-69.in,True,True,True,True,True
04c_acetonitrile_trim_3B-69,gscdb137,1,3B-69,1,0,,0,0,1,18,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,864,244764,qchem_inputs/04c_acetonitrile_trim_3B-69.in,True,True,True,True,True
05_ammonia-dimer_0p9_dim_A21x12,gscdb137,1,A19Rel6,1,0,,0,0,1,8,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,324,50087,qchem_inputs/05_ammonia-dimer_0p9_dim_A21x12.in,True,True,True,True,True
05_ammonia-dimer_1p0_dim_A21x12,gscdb137,1,A19Rel6,6,0,,0,0,1,8,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,324,48544,qchem_inputs/05_ammonia-dimer_1p0_dim_A21x12.in,True,True,True,True,True
05_ammonia-dimer_1p1_dim_A21x12,gscdb137,1,A19Rel6,1,0,,0,0,1,8,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,324,46843,qchem_inputs/05_ammonia-dimer_1p1_dim_A21x12.in,True,True,True,True,True
05_ammonia-dimer_1p2_dim_A21x12,gscdb137,1,A19Rel6,1,0,,0,0,1,8,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,324,45232,qchem_inputs/05_ammonia-dimer_1p2_dim_A21x12.in,True,True,True,True,True
05_ammonia-dimer_1p4_dim_A21x12,gscdb137,1,A19Rel6,1,0,,0,0,1,8,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,324,42057,qchem_inputs/05_ammonia-dimer_1p4_dim_A21x12.in,True,True,True,True,True
