reaction,dataset,scope,coefficient_fitting,model_selection,overfitting_diagnostic,final_assessment,objective_weight,stoichiometric_species_count
A19Rel6_60,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_61,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_62,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_63,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_64,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_65,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_66,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_67,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_68,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_69,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_70,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_71,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_72,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_73,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_74,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_75,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_76,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_77,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_78,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_79,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_80,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_81,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_82,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_83,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_84,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_85,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_86,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_87,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_88,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_89,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_90,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_91,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_92,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_93,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_94,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_95,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_96,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_97,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_98,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_99,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_100,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_101,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_102,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_103,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_104,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_105,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_106,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_107,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_108,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_109,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_110,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_111,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_112,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_113,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_114,A19Rel6,gscdb137,false,true,false,false,,2
A24_1,A24,gscdb137,true,true,false,false,400,3
A24_2,A24,gscdb137,true,true,false,false,400,3
A24_3,A24,gscdb137,true,true,false,false,400,3
A24_4,A24,gscdb137,true,true,false,false,400,3
A24_5,A24,gscdb137,true,true,false,false,400,3
A24_6,A24,gscdb137,true,true,false,false,400,3
A24_7,A24,gscdb137,true,true,false,false,400,3
A24_8,A24,gscdb137,true,true,false,false,400,3
A24_9,A24,gscdb137,true,true,false,false,400,3
A24_10,A24,gscdb137,true,true,false,false,400,3
A24_11,A24,gscdb137,true,true,false,false,400,3
A24_12,A24,gscdb137,true,true,false,false,400,3
A24_13,A24,gscdb137,true,true,false,false,400,3
A24_14,A24,gscdb137,true,true,false,false,400,3
A24_15,A24,gscdb137,true,true,false,false,400,3
A24_16,A24,gscdb137,true,true,false,false,400,3
A24_17,A24,gscdb137,true,true,false,false,400,3
A24_18,A24,gscdb137,true,true,false,false,400,3
A24_19,A24,gscdb137,true,true,false,false,400,3
A24_20,A24,gscdb137,true,true,false,false,400,3
A24_21,A24,gscdb137,true,true,false,false,400,3
A24_22,A24,gscdb137,true,true,false,false,400,3
A24_23,A24,gscdb137,true,true,false,false,400,3
A24_24,A24,gscdb137,true,true,false,false,400,3
ACONF_1,ACONF,gscdb137,false,true,false,false,,2
ACONF_2,ACONF,gscdb137,false,true,false,false,,2
ACONF_3,ACONF,gscdb137,false,true,false,false,,2
ACONF_4,ACONF,gscdb137,false,true,false,false,,2
ACONF_5,ACONF,gscdb137,false,true,false,false,,2
ACONF_6,ACONF,gscdb137,false,true,false,false,,2
ACONF_7,ACONF,gscdb137,false,true,false,false,,2
ACONF_8,ACONF,gscdb137,false,true,false,false,,2
ACONF_9,ACONF,gscdb137,false,true,false,false,,2
ACONF_10,ACONF,gscdb137,false,true,false,false,,2
ACONF_11,ACONF,gscdb137,false,true,false,false,,2
ACONF_12,ACONF,gscdb137,false,true,false,false,,2
ACONF_13,ACONF,gscdb137,false,true,false,false,,2
ACONF_14,ACONF,gscdb137,false,true,false,false,,2
ACONF_15,ACONF,gscdb137,false,true,false,false,,2
ADIM6_1,ADIM6,gscdb137,false,true,false,false,,2
ADIM6_2,ADIM6,gscdb137,false,true,false,false,,2
ADIM6_3,ADIM6,gscdb137,false,true,false,false,,2
ADIM6_4,ADIM6,gscdb137,false,true,false,false,,2
ADIM6_5,ADIM6,gscdb137,false,true,false,false,,2
ADIM6_6,ADIM6,gscdb137,false,true,false,false,,2
AE11_1,AE11,gscdb137,false,true,true,false,,1
AE11_2,AE11,gscdb137,false,true,true,false,,1
AE11_3,AE11,gscdb137,false,true,true,false,,1
AE11_4,AE11,gscdb137,false,true,true,false,,1
AE11_5,AE11,gscdb137,false,true,true,false,,1
AE11_6,AE11,gscdb137,false,true,true,false,,1
AE11_7,AE11,gscdb137,false,true,true,false,,1
AE11_8,AE11,gscdb137,false,true,true,false,,1
AE11_9,AE11,gscdb137,false,true,true,false,,1
AE11_10,AE11,gscdb137,false,true,true,false,,1
AE11_11,AE11,gscdb137,false,true,true,false,,1
AE18_1,AE18,gscdb137,true,true,false,false,1,1
AE18_2,AE18,gscdb137,true,true,false,false,0.70710678118654746,1
AE18_3,AE18,gscdb137,true,true,false,false,0.57735026918962584,1
AE18_4,AE18,gscdb137,true,true,false,false,0.5,1
AE18_5,AE18,gscdb137,true,true,false,false,0.44721359549995793,1
AE18_6,AE18,gscdb137,true,true,false,false,0.40824829046386307,1
AE18_7,AE18,gscdb137,true,true,false,false,0.3779644730092272,1
AE18_8,AE18,gscdb137,true,true,false,false,0.35355339059327373,1
AE18_9,AE18,gscdb137,true,true,false,false,0.33333333333333331,1
AE18_10,AE18,gscdb137,true,true,false,false,0.31622776601683794,1
AE18_11,AE18,gscdb137,true,true,false,false,0.30151134457776363,1
AE18_12,AE18,gscdb137,true,true,false,false,0.28867513459481292,1
AE18_13,AE18,gscdb137,true,true,false,false,0.27735009811261457,1
AE18_14,AE18,gscdb137,true,true,false,false,0.2672612419124244,1
AE18_15,AE18,gscdb137,true,true,false,false,0.2581988897471611,1
AE18_16,AE18,gscdb137,true,true,false,false,0.25,1
AE18_17,AE18,gscdb137,true,true,false,false,0.24253562503633297,1
AE18_18,AE18,gscdb137,true,true,false,false,0.23570226039551587,1
AHB21_1,AHB21,gscdb137,false,true,false,false,,3
AHB21_2,AHB21,gscdb137,false,true,false,false,,3
AHB21_3,AHB21,gscdb137,false,true,false,false,,3
AHB21_4,AHB21,gscdb137,false,true,false,false,,3
AHB21_5,AHB21,gscdb137,false,true,false,false,,3
AHB21_6,AHB21,gscdb137,false,true,false,false,,3
AHB21_7,AHB21,gscdb137,false,true,false,false,,3
AHB21_8,AHB21,gscdb137,false,true,false,false,,3
AHB21_9,AHB21,gscdb137,false,true,false,false,,3
AHB21_10,AHB21,gscdb137,false,true,false,false,,3
AHB21_11,AHB21,gscdb137,false,true,false,false,,3
AHB21_12,AHB21,gscdb137,false,true,false,false,,3
AHB21_13,AHB21,gscdb137,false,true,false,false,,3
AHB21_14,AHB21,gscdb137,false,true,false,false,,3
AHB21_15,AHB21,gscdb137,false,true,false,false,,3
AHB21_16,AHB21,gscdb137,false,true,false,false,,3
AHB21_17,AHB21,gscdb137,false,true,false,false,,3
AHB21_18,AHB21,gscdb137,false,true,false,false,,3
AHB21_19,AHB21,gscdb137,false,true,false,false,,3
AHB21_20,AHB21,gscdb137,false,true,false,false,,3
AHB21_21,AHB21,gscdb137,false,true,false,false,,3
AL2X6_1,AL2X6,gscdb137,false,true,false,false,,2
AL2X6_2,AL2X6,gscdb137,false,true,false,false,,2
AL2X6_3,AL2X6,gscdb137,false,true,false,false,,2
AL2X6_4,AL2X6,gscdb137,false,true,false,false,,2
AL2X6_5,AL2X6,gscdb137,false,true,false,false,,3
AL2X6_6,AL2X6,gscdb137,false,true,false,false,,2
ALK8_1,ALK8,gscdb137,true,true,false,false,2,2
ALK8_2,ALK8,gscdb137,true,true,false,false,2,2
ALK8_3,ALK8,gscdb137,true,true,false,false,2,2
ALK8_4,ALK8,gscdb137,true,true,false,false,2,3
ALK8_5,ALK8,gscdb137,true,true,false,false,2,3
ALK8_6,ALK8,gscdb137,true,true,false,false,2,3
ALK8_7,ALK8,gscdb137,true,true,false,false,2,2
ALK8_8,ALK8,gscdb137,true,true,false,false,2,4
ALKBDE10_1,ALKBDE10,gscdb137,false,true,false,false,,3
ALKBDE10_2,ALKBDE10,gscdb137,false,true,false,false,,3
ALKBDE10_3,ALKBDE10,gscdb137,false,true,false,false,,3
ALKBDE10_4,ALKBDE10,gscdb137,false,true,false,false,,3
ALKBDE10_5,ALKBDE10,gscdb137,false,true,false,false,,3
ALKBDE10_6,ALKBDE10,gscdb137,false,true,false,false,,3
ALKBDE10_7,ALKBDE10,gscdb137,false,true,false,false,,3
ALKBDE10_8,ALKBDE10,gscdb137,false,true,false,false,,3
ALKBDE10_9,ALKBDE10,gscdb137,false,true,false,false,,3
ALKBDE10_10,ALKBDE10,gscdb137,false,true,false,false,,3
AlkAtom19_1,AlkAtom19,gscdb137,true,true,false,false,1,3
AlkAtom19_2,AlkAtom19,gscdb137,true,true,false,false,1,3
AlkAtom19_3,AlkAtom19,gscdb137,true,true,false,false,1,3
AlkAtom19_4,AlkAtom19,gscdb137,true,true,false,false,1,3
AlkAtom19_5,AlkAtom19,gscdb137,true,true,false,false,1,3
AlkAtom19_6,AlkAtom19,gscdb137,true,true,false,false,1,3
AlkAtom19_7,AlkAtom19,gscdb137,true,true,false,false,1,3
AlkAtom19_8,AlkAtom19,gscdb137,true,true,false,false,1,3
AlkAtom19_9,AlkAtom19,gscdb137,true,true,false,false,1,3
AlkAtom19_10,AlkAtom19,gscdb137,true,true,false,false,1,3
AlkAtom19_11,AlkAtom19,gscdb137,true,true,false,false,1,3
AlkAtom19_12,AlkAtom19,gscdb137,true,true,false,false,1,3
AlkAtom19_13,AlkAtom19,gscdb137,true,true,false,false,1,3
AlkAtom19_14,AlkAtom19,gscdb137,true,true,false,false,1,3
AlkAtom19_15,AlkAtom19,gscdb137,true,true,false,false,1,3
AlkAtom19_16,AlkAtom19,gscdb137,true,true,false,false,1,3
AlkAtom19_17,AlkAtom19,gscdb137,true,true,false,false,1,3
AlkAtom19_18,AlkAtom19,gscdb137,true,true,false,false,1,3
AlkAtom19_19,AlkAtom19,gscdb137,true,true,false,false,1,3
AlkIsod14_1,AlkIsod14,gscdb137,false,true,false,false,,3
AlkIsod14_2,AlkIsod14,gscdb137,false,true,false,false,,3
AlkIsod14_3,AlkIsod14,gscdb137,false,true,false,false,,3
AlkIsod14_4,AlkIsod14,gscdb137,false,true,false,false,,3
AlkIsod14_5,AlkIsod14,gscdb137,false,true,false,false,,3
AlkIsod14_6,AlkIsod14,gscdb137,false,true,false,false,,3
AlkIsod14_7,AlkIsod14,gscdb137,false,true,false,false,,3
AlkIsod14_8,AlkIsod14,gscdb137,false,true,false,false,,3
AlkIsod14_9,AlkIsod14,gscdb137,false,true,false,false,,3
AlkIsod14_10,AlkIsod14,gscdb137,false,true,false,false,,3
AlkIsod14_11,AlkIsod14,gscdb137,false,true,false,false,,3
AlkIsod14_12,AlkIsod14,gscdb137,false,true,false,false,,3
AlkIsod14_13,AlkIsod14,gscdb137,false,true,false,false,,3
AlkIsod14_14,AlkIsod14,gscdb137,false,true,false,false,,3
AlkIsomer11_1,AlkIsomer11,gscdb137,true,true,false,false,50,2
AlkIsomer11_2,AlkIsomer11,gscdb137,true,true,false,false,50,2
AlkIsomer11_3,AlkIsomer11,gscdb137,true,true,false,false,50,2
AlkIsomer11_4,AlkIsomer11,gscdb137,true,true,false,false,50,2
AlkIsomer11_5,AlkIsomer11,gscdb137,true,true,false,false,50,2
AlkIsomer11_6,AlkIsomer11,gscdb137,true,true,false,false,50,2
AlkIsomer11_7,AlkIsomer11,gscdb137,true,true,false,false,50,2
AlkIsomer11_8,AlkIsomer11,gscdb137,true,true,false,false,50,2
AlkIsomer11_9,AlkIsomer11,gscdb137,true,true,false,false,50,2
AlkIsomer11_10,AlkIsomer11,gscdb137,true,true,false,false,50,2
AlkIsomer11_11,AlkIsomer11,gscdb137,true,true,false,false,50,2
Amino20x4_1,Amino20x4,gscdb137,false,true,false,false,,2
Amino20x4_2,Amino20x4,gscdb137,false,true,false,false,,2
Amino20x4_3,Amino20x4,gscdb137,false,true,false,false,,2
Amino20x4_4,Amino20x4,gscdb137,false,true,false,false,,2
Amino20x4_5,Amino20x4,gscdb137,false,true,false,false,,2
Amino20x4_6,Amino20x4,gscdb137,false,true,false,false,,2
Amino20x4_7,Amino20x4,gscdb137,false,true,false,false,,2
Amino20x4_8,Amino20x4,gscdb137,false,true,false,false,,2
Amino20x4_9,Amino20x4,gscdb137,false,true,false,false,,2
Amino20x4_10,Amino20x4,gscdb137,false,true,false,false,,2
Amino20x4_11,Amino20x4,gscdb137,false,true,false,false,,2
Amino20x4_12,Amino20x4,gscdb137,false,true,false,false,,2
Amino20x4_13,Amino20x4,gscdb137,false,true,false,false,,2
Amino20x4_14,Amino20x4,gscdb137,false,true,false,false,,2
Amino20x4_15,Amino20x4,gscdb137,false,true,false,false,,2
Amino20x4_16,Amino20x4,gscdb137,false,true,false,false,,2
Amino20x4_17,Amino20x4,gscdb137,false,true,false,false,,2
Amino20x4_18,Amino20x4,gscdb137,false,true,false,false,,2
Amino20x4_19,Amino20x4,gscdb137,false,true,false,false,,2
Amino20x4_20,Amino20x4,gscdb137,false,true,false,false,,2
Amino20x4_21,Amino20x4,gscdb137,false,true,false,false,,2
Amino20x4_22,Amino20x4,gscdb137,false,true,false,false,,2
Amino20x4_23,Amino20x4,gscdb137,false,true,false,false,,2
Amino20x4_24,Amino20x4,gscdb137,false,true,false,false,,2
Amino20x4_25,Amino20x4,gscdb137,false,true,false,false,,2
Amino20x4_26,Amino20x4,gscdb137,false,true,false,false,,2
Amino20x4_27,Amino20x4,gscdb137,false,true,false,false,,2
Amino20x4_28,Amino20x4,gscdb137,false,true,false,false,,2
Amino20x4_29,Amino20x4,gscdb137,false,true,false,false,,2
Amino20x4_30,Amino20x4,gscdb137,false,true,false,false,,2
Amino20x4_31,Amino20x4,gscdb137,false,true,false,false,,2
Amino20x4_32,Amino20x4,gscdb137,false,true,false,false,,2
Amino20x4_33,Amino20x4,gscdb137,false,true,false,false,,2
Amino20x4_34,Amino20x4,gscdb137,false,true,false,false,,2
