dataset,scope,category,reaction_count,coefficient_fitting_count,coefficient_fitting,model_selection,overfitting_diagnostic,final_assessment,geometry_status,notes
EA50,gscdb137,TC,50,0,false,true,false,false,verified_qchem_input_snapshot,
EIE22,gscdb137,ISO,22,22,true,true,false,false,verified_qchem_input_snapshot,
FH51,gscdb137,TC,51,0,false,true,false,false,verified_qchem_input_snapshot,
FmH2O10,gscdb137,NC,10,0,false,true,false,false,verified_qchem_input_snapshot,
G21EA,gscdb137,TC,25,25,true,true,false,false,verified_qchem_input_snapshot,
G21IP,gscdb137,TC,36,36,true,true,false,false,verified_qchem_input_snapshot,
G2RC24,gscdb137,TC,24,0,false,true,false,false,verified_qchem_input_snapshot,
H2O16Rel4,gscdb137,NC,4,0,false,true,false,false,verified_qchem_input_snapshot,
H2O20Rel9,gscdb137,NC,9,0,false,true,false,false,verified_qchem_input_snapshot,
HAT707MR,gscdb137,TC,202,0,false,true,false,false,verified_qchem_input_snapshot,
HAT707nonMR,gscdb137,TC,505,0,false,true,false,false,verified_qchem_input_snapshot,
HB262,gscdb137,NC,262,0,false,true,false,false,verified_qchem_input_snapshot,
HB49,gscdb137,NC,49,0,false,true,false,false,verified_qchem_input_snapshot,
HCP32,gscdb137,NC,32,32,true,true,false,false,verified_qchem_input_snapshot,
HEAVY28,gscdb137,NC,28,0,false,true,false,false,verified_qchem_input_snapshot,
HEAVYSB11,gscdb137,TC,11,11,true,true,false,false,verified_qchem_input_snapshot,
HNBrBDE18,gscdb137,TC,18,0,false,true,false,false,verified_qchem_input_snapshot,
HR46,gscdb137,EF,128,45,true,true,false,false,verified_qchem_input_snapshot,
HSG,gscdb137,NC,21,21,true,true,false,false,verified_qchem_input_snapshot,
HW30,gscdb137,NC,30,0,false,true,false,false,verified_qchem_input_snapshot,
HW6Cl5,gscdb137,NC,5,5,true,true,false,false,verified_qchem_input_snapshot,
HW6F,gscdb137,NC,6,0,false,true,false,false,verified_qchem_input_snapshot,
He3,gscdb137,NC,49,0,false,true,false,false,verified_qchem_input_snapshot,
ICONF,gscdb137,INC,17,0,false,true,false,false,verified_qchem_input_snapshot,
IDISP,gscdb137,INC,6,0,false,true,false,false,verified_qchem_input_snapshot,
IHB100,gscdb137,NC,100,100,true,true,false,false,verified_qchem_input_snapshot,
IHB100x2,gscdb137,NC,200,0,false,true,false,false,verified_qchem_input_snapshot,
IL16,gscdb137,NC,16,16,true,true,false,false,verified_qchem_input_snapshot,
INV23,gscdb137,BH,23,0,false,true,false,false,verified_qchem_input_snapshot,
IP23,gscdb137,TC,23,0,false,true,false,false,verified_qchem_input_snapshot,
IP30,gscdb137,TC,30,0,false,true,false,false,verified_qchem_input_snapshot,
ISO34,gscdb137,ISO,34,0,false,true,false,false,verified_qchem_input_snapshot,
ISOL23,gscdb137,ISO,23,0,false,true,false,false,verified_qchem_input_snapshot,
ISOMERIZATION20,gscdb137,ISO,20,0,false,true,false,false,verified_qchem_input_snapshot,
MB08-165,gscdb137,TC,165,0,false,true,true,false,verified_qchem_input_snapshot,
MB16-43,gscdb137,TC,43,43,true,true,true,false,verified_qchem_input_snapshot,MB16-43 also fits coefficients; diagnostic is not independent
MCONF,gscdb137,INC,51,0,false,true,false,false,verified_qchem_input_snapshot,
MME52,gscdb137,TM,52,0,false,true,false,false,verified_qchem_input_snapshot,
MOBH28,gscdb137,TM,56,0,false,true,false,false,verified_qchem_input_snapshot,
MOR13,gscdb137,TM,13,13,true,true,false,false,verified_qchem_input_snapshot,
MX34,gscdb137,TC,34,34,true,true,false,false,verified_qchem_input_snapshot,
NBC10,gscdb137,NC,184,0,false,true,false,false,verified_qchem_input_snapshot,
NBPRC,gscdb137,TC,12,0,false,true,false,false,verified_qchem_input_snapshot,
NC11,gscdb137,NC,11,0,false,true,false,false,verified_qchem_input_snapshot,
O24,gscdb137,NC,24,0,false,true,false,false,verified_qchem_input_snapshot,
O24x4,gscdb137,NC,96,0,false,true,false,false,verified_qchem_input_snapshot,
OEEF,gscdb137,EF,136,0,false,true,false,false,verified_qchem_input_snapshot,
ORBH35,gscdb137,BH,35,0,false,true,false,false,verified_qchem_input_snapshot,
P34AE,gscdb137,TC,44,0,false,true,false,false,verified_qchem_input_snapshot,
P34EA,gscdb137,TC,9,0,false,true,false,false,verified_qchem_input_snapshot,
P34IP,gscdb137,TC,15,0,false,true,false,false,verified_qchem_input_snapshot,
PA26,gscdb137,TC,26,0,false,true,false,false,verified_qchem_input_snapshot,
PArel,gscdb137,ISO,20,0,false,true,false,false,verified_qchem_input_snapshot,
PCONF21,gscdb137,INC,18,18,true,true,false,false,verified_qchem_input_snapshot,
PNICO23,gscdb137,NC,23,0,false,true,false,false,verified_qchem_input_snapshot,
PX9,gscdb137,BH,9,9,true,true,false,false,verified_qchem_input_snapshot,
Pentane13,gscdb137,INC,13,0,false,true,false,false,verified_qchem_input_snapshot,
PlatonicRE18,gscdb137,TC,18,0,false,true,false,false,verified_qchem_input_snapshot,
PlatonicTAE6,gscdb137,TC,6,0,false,true,false,false,verified_qchem_input_snapshot,
Pol130,gscdb137,EF,296,95,true,true,false,false,verified_qchem_input_snapshot,
RC21,gscdb137,TC,21,0,false,true,false,false,verified_qchem_input_snapshot,
RG10N,gscdb137,NC,275,40,true,true,false,false,verified_qchem_input_snapshot,
RG18,gscdb137,NC,18,0,false,true,false,false,verified_qchem_input_snapshot,
ROST61,gscdb137,TM,61,0,false,true,false,false,verified_qchem_input_snapshot,
RSE43,gscdb137,TC,43,43,true,true,false,false,verified_qchem_input_snapshot,
S22,gscdb137,NC,22,22,true,true,false,false,verified_qchem_input_snapshot,
S66,gscdb137,NC,66,0,false,true,false,false,verified_qchem_input_snapshot,
S66Rel7,gscdb137,NC,462,74,true,true,false,false,verified_qchem_input_snapshot,
SCONF,gscdb137,INC,17,0,false,true,false,false,verified_qchem_input_snapshot,
SIE4x4,gscdb137,TC,16,0,false,true,false,false,verified_qchem_input_snapshot,
SN13,gscdb137,TC,13,0,false,true,false,false,verified_qchem_input_snapshot,
SW49Bind22,gscdb137,NC,22,0,false,true,false,false,verified_qchem_input_snapshot,
SW49Rel28,gscdb137,NC,28,0,false,true,false,false,verified_qchem_input_snapshot,
Shields38,gscdb137,NC,38,8,true,true,false,false,verified_qchem_input_snapshot,
Styrene42,gscdb137,ISO,42,42,true,true,false,false,verified_qchem_input_snapshot,
T144,gscdb137,EF,421,0,false,true,false,false,verified_qchem_input_snapshot,
TA13,gscdb137,NC,13,13,true,true,false,false,verified_qchem_input_snapshot,
TAE_W4-17MR,gscdb137,TC,17,0,false,true,false,false,verified_qchem_input_snapshot,
TAE_W4-17nonMR,gscdb137,TC,183,183,true,true,false,false,verified_qchem_input_snapshot,
TAUT15,gscdb137,ISO,15,0,false,true,false,false,verified_qchem_input_snapshot,
TMB11,gscdb137,TM,11,11,true,true,false,false,verified_qchem_input_snapshot,
TMD10,gscdb137,TM,10,10,true,true,false,false,verified_qchem_input_snapshot,
UPU23,gscdb137,INC,23,0,false,true,false,false,verified_qchem_input_snapshot,
V30,gscdb137,FREQ,275,0,false,true,false,false,verified_qchem_input_snapshot,
WATER27,gscdb137,NC,27,0,false,true,false,false,verified_qchem_input_snapshot,
WCPT26,gscdb137,BH,26,0,false,true,false,false,verified_qchem_input_snapshot,
WCPT6,gscdb137,TC,6,0,false,true,false,false,verified_qchem_input_snapshot,
X40,gscdb137,NC,40,0,false,true,false,false,verified_qchem_input_snapshot,
X40x5,gscdb137,NC,200,0,false,true,false,false,verified_qchem_input_snapshot,
XB25,gscdb137,NC,25,8,true,true,false,false,verified_qchem_input_snapshot,
YBDE18,gscdb137,TC,18,0,false,true,false,false,verified_qchem_input_snapshot,
OEEFD,appended_external,EF,3,0,false,false,false,true,verified_qchem_input_snapshot,evaluate once after model and sparsity are frozen
SC74,appended_external,MIXED,68,0,false,false,false,true,verified_qchem_input_snapshot,evaluate once after model and sparsity are frozen
L14,BigNC_external,NC,14,0,false,false,false,true,verified_pinned_official_qchem_input_snapshot,"post-freeze only; COACH itself tuned D4-ATM on L14/vL11, so BigNC is untouched here only if no revwb97m2 parameter uses it"
vL11,BigNC_external,NC,11,0,false,false,false,true,verified_pinned_official_qchem_input_snapshot,"post-freeze only; COACH itself tuned D4-ATM on L14/vL11, so BigNC is untouched here only if no revwb97m2 parameter uses it"
GDB_W1-F12,GDB9_W1_F12_external,TC,3366,0,false,false,false,true,verified_pinned_official_qchem_input_snapshot,"untouched post-freeze robustness test; MAE, MSE, and SD"
