species,scope,snapshot_input,input_sha256,molecule_block_sha256,geometry_payload_sha256,charge,multiplicity,atom_count,real_atom_count,ghost_atom_count,elements,manifest_orbital_basis,qchem_rem_basis,basis_block_sha256,basis_block_bytes,manifest_auxiliary_basis,qchem_rem_auxiliary_basis,auxiliary_basis_block_sha256,auxiliary_basis_block_bytes,qchem_rem_ecp,ecp_block_sha256,ecp_block_bytes,coefficient_fitting,model_selection,overfitting_diagnostic,final_assessment,qchem_unrestricted,orbital_files_used
01b_water_dimBC_3B-69,gscdb137,species/01b_water_dimBC_3B-69/input0,96219e98485ac6161f464102c5a06acf475e4c0619616214fe3e43e4ec0446ed,55e4a27757d50eb885ee341b47f6c4a37a85348ef33ae6a613f61d9d6c7d797d,7179e06ed468b9d5fe0bb0362e4f8d9a158ad1e4fc94a3eae5a06ea48bf5f8bb,0,1,6,6,0,H;O,def2-QZVPPD,DEF2-QZVPPD,,0,rimp2-def2-QZVPPD,rimp2-def2-QZVPPD,,0,,,0,false,true,false,false,True,false
01b_water_monA_3B-69,gscdb137,species/01b_water_monA_3B-69/input0,ce2b428a44d0e7098d07c9cca1e5083060eec3bd3074340b3828fa4351872c53,68d458f267a0961339347b89356df1bd9ab5412610e8af309c4f47348dff2cc1,f959a6ba244254619fbe5689abeda195b3218f6bbb76a8ca40e8e691c1236f56,0,1,3,3,0,H;O,def2-QZVPPD,DEF2-QZVPPD,,0,rimp2-def2-QZVPPD,rimp2-def2-QZVPPD,,0,,,0,false,true,false,false,True,false
01b_water_monB_3B-69,gscdb137,species/01b_water_monB_3B-69/input0,4454ed28c4e8f5cdd6f70c98ce7891f4b6855f898834dd6a1dfa71cc2bbd4050,ca1f87cf40cc1cdf3c44bbda3f4a6d2111c63517260c6e1220fd2c23699e9eb5,df8124e3a1e4b82c2bee56ca4fd5d10b0c7a89e99d8d400dcb4854c59c24c383,0,1,3,3,0,H;O,def2-QZVPPD,DEF2-QZVPPD,,0,rimp2-def2-QZVPPD,rimp2-def2-QZVPPD,,0,,,0,false,true,false,false,True,false
01b_water_monC_3B-69,gscdb137,species/01b_water_monC_3B-69/input0,c3fe69178a0264971867ed5f13ebbd14592a624f727b09c56c1144d1855a59d1,29a1ba45515506e98c542516298900279118c1222e98c0a70706c0bf85a06ca4,6c4d907e4990b20b3d8067f79e05fe7fed1544bd40732134439fcd3e388b12e8,0,1,3,3,0,H;O,def2-QZVPPD,DEF2-QZVPPD,,0,rimp2-def2-QZVPPD,rimp2-def2-QZVPPD,,0,,,0,false,true,false,false,True,false
01b_water_trim_3B-69,gscdb137,species/01b_water_trim_3B-69/input0,0577a596f0b8a94f5abd2569696007dfcfbe43133bdc6ec8a638fac0fc0ffa2e,eb64ad7cc85afbf2a7f8ca89ac2c1b698901d5ba6c8f2809228ea328036b5672,2bd5b2921e261d028d34272b9b74f84708f657d15384602671cc7fec6630a43f,0,1,9,9,0,H;O,def2-QZVPPD,DEF2-QZVPPD,,0,rimp2-def2-QZVPPD,rimp2-def2-QZVPPD,,0,,,0,false,true,false,false,True,false
01c_water_dimAB_3B-69,gscdb137,species/01c_water_dimAB_3B-69/input0,3b8c130b5f2eb3dab2fe9acc4d12efec9c3ef80c90e802167113310997f8bc5f,d98eec3eba47ce36dd8b448e20445693c2104d60044fb68d2293ead6b9ede555,ae0afe929a644bd311f86449c332392d584af2c450250403009b5e9b86026956,0,1,6,6,0,H;O,def2-QZVPPD,DEF2-QZVPPD,,0,rimp2-def2-QZVPPD,rimp2-def2-QZVPPD,,0,,,0,false,true,false,false,True,false
01c_water_dimAC_3B-69,gscdb137,species/01c_water_dimAC_3B-69/input0,1498fb75b41211bc653b851d33e46032f907d7cfd6ee886d61d0ef0713d3c9bc,3961c6223f64a584aadde7c0edfe49499c27c6ff976385a2fa0cb20427ca4a78,b2b0ea9e4951a3597de3624b860e84415be44b8f8475bf9b9673a8f9e4e63e0d,0,1,6,6,0,H;O,def2-QZVPPD,DEF2-QZVPPD,,0,rimp2-def2-QZVPPD,rimp2-def2-QZVPPD,,0,,,0,false,true,false,false,True,false
01c_water_dimBC_3B-69,gscdb137,species/01c_water_dimBC_3B-69/input0,1a9f1d9a57ea7b0ffb0527c364091c01db9d721f4ffd80d810368ed956971b9e,97bae6d0dea045e347a025c0a68817d346b52780bef97d2a21ef09c7e07a134f,be1faf237b32ecb1dbeda7249646fb5d1d069cfbbe105c5192b8eee831f80ba6,0,1,6,6,0,H;O,def2-QZVPPD,DEF2-QZVPPD,,0,rimp2-def2-QZVPPD,rimp2-def2-QZVPPD,,0,,,0,false,true,false,false,True,false
01c_water_monA_3B-69,gscdb137,species/01c_water_monA_3B-69/input0,850d02136cbb5462602e0e07592ec08da62df99b5ba22ffe5314f2df4e23c02d,7e588fb825d2917846302dc3a148acd4389a246a1544f702b8878248549ea95d,562d6d729d97952d57f67b9fe8945b1931ee7b09f6bf108972311f5fa5e1bb69,0,1,3,3,0,H;O,def2-QZVPPD,DEF2-QZVPPD,,0,rimp2-def2-QZVPPD,rimp2-def2-QZVPPD,,0,,,0,false,true,false,false,True,false
01c_water_monB_3B-69,gscdb137,species/01c_water_monB_3B-69/input0,7b0cc5405c936029fdf80170158072d0bc4d4a8607b9155ab824150799ae970c,969d3da214894bffbcfa90686cc14647351992f9afe92d4ed689649966fdafec,f6a61f4addbb4520ae6da48db2de65f4eca3b6ab68d1ba6d13b4567c224aefa1,0,1,3,3,0,H;O,def2-QZVPPD,DEF2-QZVPPD,,0,rimp2-def2-QZVPPD,rimp2-def2-QZVPPD,,0,,,0,false,true,false,false,True,false
01c_water_monC_3B-69,gscdb137,species/01c_water_monC_3B-69/input0,01ff9d6e4e6cd1a475f586b0db75cfa88c99238dd7b048876a1ff0fbd09fdc87,271dac03d4a4f2f83a4f3e7280b52ab153cabb9b72ed04e1d309961e768ca9bf,f74b3c1e91838cd6ab21cf2ebf2554bfa145d644fb9a495d3bd2a70fa4e28892,0,1,3,3,0,H;O,def2-QZVPPD,DEF2-QZVPPD,,0,rimp2-def2-QZVPPD,rimp2-def2-QZVPPD,,0,,,0,false,true,false,false,True,false
01c_water_trim_3B-69,gscdb137,species/01c_water_trim_3B-69/input0,9c1ab9acc67751b856799a56984c8cd17ede3348b8e3f91277d91c7cf201298e,5a3ad748008517943d506669d6942c0bd09b1e048ae7b4f1f58dbc0b1ed634b0,3bf4f36e639d8fe938407741548849b888e2bc3c0b7e0ce256211afb9bfc1d33,0,1,9,9,0,H;O,def2-QZVPPD,DEF2-QZVPPD,,0,rimp2-def2-QZVPPD,rimp2-def2-QZVPPD,,0,,,0,false,true,false,false,True,false
02a_formaldehyde_dimAB_3B-69,gscdb137,species/02a_formaldehyde_dimAB_3B-69/input0,7418b9c6f3dc29eb774f8b8a1d03968c67a472e5f9218a28598d9902aa98268f,52169248764b7bf0b50f6668154c3f963422f5164e2bf2dedc489d77625b04e8,6b8031e8e744416ba8ec61021ee330b443de01b230b5a6965439f156a64d2009,0,1,8,8,0,C;H;O,def2-QZVPPD,DEF2-QZVPPD,,0,rimp2-def2-QZVPPD,rimp2-def2-QZVPPD,,0,,,0,false,true,false,false,True,false
02a_formaldehyde_dimAC_3B-69,gscdb137,species/02a_formaldehyde_dimAC_3B-69/input0,319464d3f7aaa767cf80261a4729516a2fc4068887f5bda40f9db176415d2086,4f46ad228a6de229eda77755db67e96eca909a034f68a622c73753dfe0d01b5a,9c06c2fb0b1de1718cca679487ad0adda63b9ffb5859bded300f39ff5695acdc,0,1,8,8,0,C;H;O,def2-QZVPPD,DEF2-QZVPPD,,0,rimp2-def2-QZVPPD,rimp2-def2-QZVPPD,,0,,,0,false,true,false,false,True,false
02a_formaldehyde_dimBC_3B-69,gscdb137,species/02a_formaldehyde_dimBC_3B-69/input0,00b4e379761e55cbf287244f77848e3cf808882b10760b2e397479f5045a1e45,4f9050bfc4567605669f4e50d9183513c54fdd4b2c706a9ee06f108a7b956320,5b0d020268224b19a60125e67b103a424759ea6a6adfe5f72037a2889d76ac30,0,1,8,8,0,C;H;O,def2-QZVPPD,DEF2-QZVPPD,,0,rimp2-def2-QZVPPD,rimp2-def2-QZVPPD,,0,,,0,false,true,false,false,True,false
02a_formaldehyde_monA_3B-69,gscdb137,species/02a_formaldehyde_monA_3B-69/input0,3cd2edb7fc09cb7dd41a4a829adb15ee8d5f085d8e36a7f91714ea391e0b09e9,493a518ec88ab8a8f3fcba5c7663016c3d19dcabe0d48a39112f1c57aa260621,5c939c60847081570c2d6bcdb5f72143d209230b3375c490a113d2db661d9061,0,1,4,4,0,C;H;O,def2-QZVPPD,DEF2-QZVPPD,,0,rimp2-def2-QZVPPD,rimp2-def2-QZVPPD,,0,,,0,false,true,false,false,True,false
02a_formaldehyde_monB_3B-69,gscdb137,species/02a_formaldehyde_monB_3B-69/input0,4e972b95c00a57158639f97d1d7736d274677e4b185fea4759145fc9505bfbb4,7e6ddfb9c4874af7ff0b3434525e914063943e3986bf9210bed3e2083ce17267,f4df8b48cd5fbaf11eaa16b6255c5a4180dd40c16afe91d9b9d97ee4fb7de0f1,0,1,4,4,0,C;H;O,def2-QZVPPD,DEF2-QZVPPD,,0,rimp2-def2-QZVPPD,rimp2-def2-QZVPPD,,0,,,0,false,true,false,false,True,false
02a_formaldehyde_monC_3B-69,gscdb137,species/02a_formaldehyde_monC_3B-69/input0,918fbb58ddb9ac93205a35bb4f12e58248838242bc5695677306f39aec3313ca,c5c55358c39718ace6807cec41787e9e35084f22bd319832553b29f246f9ed9a,eadfbcd362aca7c252cb4d1a1321c1ef1d172d3e988d54804ccdc3b67861933f,0,1,4,4,0,C;H;O,def2-QZVPPD,DEF2-QZVPPD,,0,rimp2-def2-QZVPPD,rimp2-def2-QZVPPD,,0,,,0,false,true,false,false,True,false
02a_formaldehyde_trim_3B-69,gscdb137,species/02a_formaldehyde_trim_3B-69/input0,5f330a6ae0624db60acb21b4bac01b2ca7b544a087acc260157981131f71d12f,c0f2b5e24d57f06a017b0cd9dcecc28d8998d6c33b57f62c703212d54aa288f6,a8ddab0780dad41982821b43d110ca998e6b4365790951ff3ef882dd4b16feca,0,1,12,12,0,C;H;O,def2-QZVPPD,DEF2-QZVPPD,,0,rimp2-def2-QZVPPD,rimp2-def2-QZVPPD,,0,,,0,false,true,false,false,True,false
02b_formaldehyde_dimAB_3B-69,gscdb137,species/02b_formaldehyde_dimAB_3B-69/input0,9468f360b780a3ec30236f797b1978deb71dc28d2b1298ffbe710dff1d7754d8,093f8f40f6951b578e29c31125b51fddac3d2692d428673b8081220b4866b8c2,82b56fb105f0d7c5ce10188db0812a37f3f0cf22f441aa2517fabdaa73603528,0,1,8,8,0,C;H;O,def2-QZVPPD,DEF2-QZVPPD,,0,rimp2-def2-QZVPPD,rimp2-def2-QZVPPD,,0,,,0,false,true,false,false,True,false
02b_formaldehyde_dimAC_3B-69,gscdb137,species/02b_formaldehyde_dimAC_3B-69/input0,f1578e1c62e8fe1375f685aebac7d669c14823987631e361fa970ff9a14e4548,83be88062f95ccae2519e50da420635a4162b31b55bff9431d73b44adcb793af,11e47d929eac98f37cd625970a98711f2eb885f5a639724b17eb9a691eae49ee,0,1,8,8,0,C;H;O,def2-QZVPPD,DEF2-QZVPPD,,0,rimp2-def2-QZVPPD,rimp2-def2-QZVPPD,,0,,,0,false,true,false,false,True,false
02b_formaldehyde_dimBC_3B-69,gscdb137,species/02b_formaldehyde_dimBC_3B-69/input0,448c9c3d8080206987a00c364a3777c44f339ab60e3176a7f2094c9912956d85,20a465598bb7e7c75080665ef0770893665cf149e85e0139bb4fd1ff3fcd47da,1d5d5dd52af2983af238f646977b40925187f67212f1923b0568903561f539e9,0,1,8,8,0,C;H;O,def2-QZVPPD,DEF2-QZVPPD,,0,rimp2-def2-QZVPPD,rimp2-def2-QZVPPD,,0,,,0,false,true,false,false,True,false
02b_formaldehyde_monA_3B-69,gscdb137,species/02b_formaldehyde_monA_3B-69/input0,0e45b2dbeb1c2a63e61b13f90e991e7089005ec2e0a45ea58698fb1dc1b727bb,36005a30fcd8b88a9cf6b8a8778d3d05c51e337a71e4ca1a4793c0642b08830e,5c377109324f1cb296722b9b7b8133284a17ab88a11e7c4593654c4a514ca84d,0,1,4,4,0,C;H;O,def2-QZVPPD,DEF2-QZVPPD,,0,rimp2-def2-QZVPPD,rimp2-def2-QZVPPD,,0,,,0,false,true,false,false,True,false
02b_formaldehyde_monB_3B-69,gscdb137,species/02b_formaldehyde_monB_3B-69/input0,e375910f256540d16d476ac1f947a568f0703e4a98969fbaec56439573ed523c,bf7c6e56d71d968d33fe48907000b1032e6de2a125e01013a4ecd5262f83c950,74f0dc22869cb2cc48b42c62235644e78b48d85970278c8545a460a8d2cc32bf,0,1,4,4,0,C;H;O,def2-QZVPPD,DEF2-QZVPPD,,0,rimp2-def2-QZVPPD,rimp2-def2-QZVPPD,,0,,,0,false,true,false,false,True,false
02b_formaldehyde_monC_3B-69,gscdb137,species/02b_formaldehyde_monC_3B-69/input0,40566bd30df5b404b5035aa002f25f3edae4ecc8050a0901126e93ebf7895116,20ec5dc03b00a4783b83584c2552f784bf8d8d4e902d659ef376544eddd35ac3,7cf058cc01c48eb2b77086acc490881c4fe9add454f5bc99e8a9bcbabd495a0c,0,1,4,4,0,C;H;O,def2-QZVPPD,DEF2-QZVPPD,,0,rimp2-def2-QZVPPD,rimp2-def2-QZVPPD,,0,,,0,false,true,false,false,True,false
02b_formaldehyde_trim_3B-69,gscdb137,species/02b_formaldehyde_trim_3B-69/input0,009514744494bbc329271c770ce1f7b3c585e975d4741649e5f8e88304c0fec2,c87393b2049e2dfd8d6c27dd640ed231b6f54aa8ef8e60c586689ef618b98332,c45d3bef4f156fd8b9291263322ed0561c51ceea5cafc041751a6bcd36a31266,0,1,12,12,0,C;H;O,def2-QZVPPD,DEF2-QZVPPD,,0,rimp2-def2-QZVPPD,rimp2-def2-QZVPPD,,0,,,0,false,true,false,false,True,false
02c_formaldehyde_dimAB_3B-69,gscdb137,species/02c_formaldehyde_dimAB_3B-69/input0,0b978b27de562dbbcfa60a37222a7567312a8cb15a5e2933ef0bcc2befa03e30,ce2bde29c94e0cda463d0c4a81436756f15833d646040ab1e35cfd3719cf6fd4,e48c1d18d32a918ed91d4099b804e773cf711efa31a3c10d1c92e44c0cc70f00,0,1,8,8,0,C;H;O,def2-QZVPPD,DEF2-QZVPPD,,0,rimp2-def2-QZVPPD,rimp2-def2-QZVPPD,,0,,,0,false,true,false,false,True,false
02c_formaldehyde_dimAC_3B-69,gscdb137,species/02c_formaldehyde_dimAC_3B-69/input0,0d7cb55d5109c4681d5d795a4115794b228df8b3b4e6afc51bd2d0bef00ae463,a09fff887707364f956dfe7042035a09f9790e78d9a44c3f4d083037c8088beb,62655e889f3bfd2a9ad2916be0a402300a81319a578976be479de5bf1b920748,0,1,8,8,0,C;H;O,def2-QZVPPD,DEF2-QZVPPD,,0,rimp2-def2-QZVPPD,rimp2-def2-QZVPPD,,0,,,0,false,true,false,false,True,false
02c_formaldehyde_dimBC_3B-69,gscdb137,species/02c_formaldehyde_dimBC_3B-69/input0,9956488417d6038af7925a7dfea4c4491d4b07f3a036dae4e9b6a7ce6a19aa53,2ab45b68ecc0371dd7f4a501e21f8e3621771899e3b2f42fcf01ccbeff5b5c12,293e5fef93ca84c5e456ea900f7debccbcedf17439c4e5df12e9d4dc9ae52320,0,1,8,8,0,C;H;O,def2-QZVPPD,DEF2-QZVPPD,,0,rimp2-def2-QZVPPD,rimp2-def2-QZVPPD,,0,,,0,false,true,false,false,True,false
02c_formaldehyde_monA_3B-69,gscdb137,species/02c_formaldehyde_monA_3B-69/input0,6f072bce1a32e95d6b66cca6664b249a82aeec0aa545955a9fca878e175cb47a,0f46b49b62aa6d60ad2afa3af30b9b426af4bea823108c6b6234d6a07c4f502e,094bcb0eac3ef89cd1292ac4733a4c9c9c465296c7ca0ac82e2388a3c7cea12b,0,1,4,4,0,C;H;O,def2-QZVPPD,DEF2-QZVPPD,,0,rimp2-def2-QZVPPD,rimp2-def2-QZVPPD,,0,,,0,false,true,false,false,True,false
02c_formaldehyde_monB_3B-69,gscdb137,species/02c_formaldehyde_monB_3B-69/input0,0cc20d71f297d112ab0752b00db84ef4caaabdeba31e63aefb3dff3157a1a24f,d964a26e868df16a178def48c85248eea5d4fdcf76c46d4331720f3f2dd1aa47,9e367758dcc200a9bd3aa36761a3a90fc541d4de648d88b3450c5f6f90d5c258,0,1,4,4,0,C;H;O,def2-QZVPPD,DEF2-QZVPPD,,0,rimp2-def2-QZVPPD,rimp2-def2-QZVPPD,,0,,,0,false,true,false,false,True,false
02c_formaldehyde_monC_3B-69,gscdb137,species/02c_formaldehyde_monC_3B-69/input0,1d62a01c95c94480aaf084031db461d1de847879d8b5f137b3133c7f8a3e029d,db4b4c56591f73f118ae9c3141a9d8f84a43e78e22be933123ec3ed70d36824a,c666ac13ebcc7ff973ac5464aa6350f22c9e8b1b1de09d260e1d3f66120e2a3f,0,1,4,4,0,C;H;O,def2-QZVPPD,DEF2-QZVPPD,,0,rimp2-def2-QZVPPD,rimp2-def2-QZVPPD,,0,,,0,false,true,false,false,True,false
02c_formaldehyde_trim_3B-69,gscdb137,species/02c_formaldehyde_trim_3B-69/input0,230a5e25ac2f6b71fbb2cadd5ad0ebf1fdd64a64e444838bb2b567a5d2769bd6,6456b825c61b3d71ad7042a627cab97ca96e8bda0fd02126112e1a0a2aaa58d9,18ba37fc4403d8c49e787e02b661b95103dc6cdab3116d23afa7f9d4b1b7c06c,0,1,12,12,0,C;H;O,def2-QZVPPD,DEF2-QZVPPD,,0,rimp2-def2-QZVPPD,rimp2-def2-QZVPPD,,0,,,0,false,true,false,false,True,false
03_HCN-dimer_0p9_dim_A21x12,gscdb137,species/03_HCN-dimer_0p9_dim_A21x12/input0,3b9faf57bb9d02ded70a0f112519c16589f2c821fb19d0cb306b477ae8e5489d,286c462d11345ff633c5872a2a3f3c78dbbc3c86f6f80cbe8e6a2240d1c858d7,c1a5358c22be463e160d8638c579ceac89bd124f608fe6d79105bce56552cea9,0,1,6,6,0,C;H;N,def2-QZVPPD,DEF2-QZVPPD,,0,rimp2-def2-QZVPPD,rimp2-def2-QZVPPD,,0,,,0,false,true,false,false,True,false
03_HCN-dimer_1p0_dim_A21x12,gscdb137,species/03_HCN-dimer_1p0_dim_A21x12/input0,f544ff2908774a90151ec9541a128558c877c2915e80cf47321cc640598c7b52,9a4a265fa913588429cea5c8b7f7cdb2ce0d0058852ac5cc4f142e745ddf898d,7c3dc6f1a69a2a830be954c80b2802f0f2b5ae824b257f23ee634a97613ab7ab,0,1,6,6,0,C;H;N,def2-QZVPPD,DEF2-QZVPPD,,0,rimp2-def2-QZVPPD,rimp2-def2-QZVPPD,,0,,,0,false,true,false,false,True,false
