species,scope,coefficient_fitting,model_selection,overfitting_diagnostic,final_assessment,qchem_input_metadata_available,geometry_status
03a_methanol_ethyne_monA_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
03a_methanol_ethyne_monB_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
03a_methanol_ethyne_monC_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
03a_methanol_ethyne_trim_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
03b_methanol_ethyne_dimAB_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
03b_methanol_ethyne_dimAC_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
03b_methanol_ethyne_dimBC_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
03b_methanol_ethyne_monA_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
03b_methanol_ethyne_monB_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
03b_methanol_ethyne_monC_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
03b_methanol_ethyne_trim_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
03c_methanol_ethyne_dimAB_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
03c_methanol_ethyne_dimAC_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
03c_methanol_ethyne_dimBC_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
03c_methanol_ethyne_monA_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
03c_methanol_ethyne_monB_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
03c_methanol_ethyne_monC_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
03c_methanol_ethyne_trim_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
04_HF-dimer_0p9_dim_A21x12,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
04_HF-dimer_1p0_dim_A21x12,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
04_HF-dimer_1p1_dim_A21x12,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
04_HF-dimer_1p2_dim_A21x12,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
04_HF-dimer_1p4_dim_A21x12,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
04_HF-dimer_1p6_dim_A21x12,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
04_HF-dimer_2p0_dim_A21x12,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
04a_acetonitrile_dimAB_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
04a_acetonitrile_dimAC_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
04a_acetonitrile_dimBC_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
04a_acetonitrile_monA_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
04a_acetonitrile_monB_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
04a_acetonitrile_monC_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
04a_acetonitrile_trim_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
04b_acetonitrile_dimAB_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
04b_acetonitrile_dimAC_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
04b_acetonitrile_dimBC_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
04b_acetonitrile_monA_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
04b_acetonitrile_monB_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
04b_acetonitrile_monC_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
04b_acetonitrile_trim_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
04c_acetonitrile_dimAB_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
04c_acetonitrile_dimAC_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
04c_acetonitrile_dimBC_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
04c_acetonitrile_monA_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
04c_acetonitrile_monB_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
04c_acetonitrile_monC_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
04c_acetonitrile_trim_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
05_ammonia-dimer_0p9_dim_A21x12,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
05_ammonia-dimer_1p0_dim_A21x12,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
05_ammonia-dimer_1p1_dim_A21x12,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
05_ammonia-dimer_1p2_dim_A21x12,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
05_ammonia-dimer_1p4_dim_A21x12,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
05_ammonia-dimer_1p6_dim_A21x12,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
05_ammonia-dimer_2p0_dim_A21x12,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
05a_nitromethane_dimAB_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
05a_nitromethane_dimAC_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
05a_nitromethane_dimBC_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
05a_nitromethane_monA_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
05a_nitromethane_monB_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
05a_nitromethane_monC_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
05a_nitromethane_trim_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
05b_nitromethane_dimAB_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
05b_nitromethane_dimAC_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
05b_nitromethane_dimBC_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
05b_nitromethane_monA_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
05b_nitromethane_monB_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
05b_nitromethane_monC_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
05b_nitromethane_trim_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
05c_nitromethane_dimAB_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
05c_nitromethane_dimAC_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
05c_nitromethane_dimBC_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
05c_nitromethane_monA_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
05c_nitromethane_monB_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
05c_nitromethane_monC_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
05c_nitromethane_trim_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
06_HF-methane_0p9_dim_A21x12,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
06_HF-methane_1p0_dim_A21x12,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
06_HF-methane_1p1_dim_A21x12,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
06_HF-methane_1p2_dim_A21x12,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
06_HF-methane_1p4_dim_A21x12,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
06_HF-methane_1p6_dim_A21x12,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
06_HF-methane_2p0_dim_A21x12,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
06a_acetic_acid_dimAB_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
06a_acetic_acid_dimAC_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
06a_acetic_acid_dimBC_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
06a_acetic_acid_monA_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
06a_acetic_acid_monB_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
06a_acetic_acid_monC_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
06a_acetic_acid_trim_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
06b_acetic_acid_dimAB_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
06b_acetic_acid_dimAC_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
06b_acetic_acid_dimBC_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
06b_acetic_acid_monA_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
06b_acetic_acid_monB_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
06b_acetic_acid_monC_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
06b_acetic_acid_trim_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
06c_acetic_acid_dimAB_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
06c_acetic_acid_dimAC_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
06c_acetic_acid_dimBC_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
06c_acetic_acid_monA_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
06c_acetic_acid_monB_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
06c_acetic_acid_monC_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
06c_acetic_acid_trim_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
07_ammonia-methane_0p9_dim_A21x12,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
07_ammonia-methane_1p0_dim_A21x12,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
07_ammonia-methane_1p1_dim_A21x12,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
07_ammonia-methane_1p2_dim_A21x12,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
07_ammonia-methane_1p4_dim_A21x12,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
07_ammonia-methane_1p6_dim_A21x12,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
07_ammonia-methane_2p0_dim_A21x12,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
07a_oxalic_acid_dimAB_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
07a_oxalic_acid_dimAC_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
07a_oxalic_acid_dimBC_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
07a_oxalic_acid_monA_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
07a_oxalic_acid_monB_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
07a_oxalic_acid_monC_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
07a_oxalic_acid_trim_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
07b_oxalic_acid_dimAB_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
07b_oxalic_acid_dimAC_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
07b_oxalic_acid_dimBC_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
07b_oxalic_acid_monA_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
07b_oxalic_acid_monB_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
07b_oxalic_acid_monC_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
07b_oxalic_acid_trim_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
07c_oxalic_acid_dimAB_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
07c_oxalic_acid_dimAC_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
07c_oxalic_acid_dimBC_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
07c_oxalic_acid_monA_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
07c_oxalic_acid_monB_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
07c_oxalic_acid_monC_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
07c_oxalic_acid_trim_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
08_water-methane_0p9_dim_A21x12,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
08_water-methane_1p0_dim_A21x12,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
08_water-methane_1p1_dim_A21x12,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
08_water-methane_1p2_dim_A21x12,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
08_water-methane_1p4_dim_A21x12,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
08_water-methane_1p6_dim_A21x12,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
08_water-methane_2p0_dim_A21x12,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
08a_vinylene_carbonate_dimAB_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
08a_vinylene_carbonate_dimAC_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
08a_vinylene_carbonate_dimBC_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
08a_vinylene_carbonate_monA_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
08a_vinylene_carbonate_monB_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
08a_vinylene_carbonate_monC_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
08a_vinylene_carbonate_trim_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
08b_vinylene_carbonate_dimAB_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
08b_vinylene_carbonate_dimAC_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
08b_vinylene_carbonate_dimBC_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
08b_vinylene_carbonate_monA_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
08b_vinylene_carbonate_monB_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
08b_vinylene_carbonate_monC_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
08b_vinylene_carbonate_trim_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
08c_vinylene_carbonate_dimAB_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
08c_vinylene_carbonate_dimAC_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
08c_vinylene_carbonate_dimBC_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
08c_vinylene_carbonate_monA_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
08c_vinylene_carbonate_monB_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
08c_vinylene_carbonate_monC_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
08c_vinylene_carbonate_trim_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
09_formaldehyde-dimer_0p9_dim_A21x12,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
09_formaldehyde-dimer_1p0_dim_A21x12,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
09_formaldehyde-dimer_1p1_dim_A21x12,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
09_formaldehyde-dimer_1p2_dim_A21x12,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
09_formaldehyde-dimer_1p4_dim_A21x12,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
09_formaldehyde-dimer_1p6_dim_A21x12,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
09_formaldehyde-dimer_2p0_dim_A21x12,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
09a_acetamide_dimAB_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
09a_acetamide_dimAC_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
09a_acetamide_dimBC_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
09a_acetamide_monA_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
09a_acetamide_monB_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
09a_acetamide_monC_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
09a_acetamide_trim_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
09b_acetamide_dimAB_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
09b_acetamide_dimAC_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
09b_acetamide_dimBC_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
09b_acetamide_monA_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
09b_acetamide_monB_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
09b_acetamide_monC_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
09b_acetamide_trim_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
09c_acetamide_dimAB_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
09c_acetamide_dimAC_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
09c_acetamide_dimBC_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
09c_acetamide_monA_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
09c_acetamide_monB_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
09c_acetamide_monC_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
09c_acetamide_trim_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
101_BzBz_PD32-0p2_dim_NBC10,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
101_BzBz_PD32-0p2_monA_NBC10,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
101_BzBz_PD32-0p2_monB_NBC10,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
102_BzBz_PD32-0p4_dim_NBC10,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
103_BzBz_PD32-0p6_dim_NBC10,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
104_BzBz_PD32-0p8_dim_NBC10,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
105_BzBz_PD32-1p0_dim_NBC10,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
106_BzBz_PD32-1p2_dim_NBC10,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
107_BzBz_PD32-1p4_dim_NBC10,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
108_BzBz_PD32-1p5_dim_NBC10,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
109_BzBz_PD32-1p6_dim_NBC10,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
10_water-ethene_0p9_dim_A21x12,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
10_water-ethene_1p0_dim_A21x12,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
10_water-ethene_1p1_dim_A21x12,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
10_water-ethene_1p2_dim_A21x12,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
10_water-ethene_1p4_dim_A21x12,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
10_water-ethene_1p6_dim_A21x12,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
10_water-ethene_2p0_dim_A21x12,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
10a_imidazole_dimAB_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
10a_imidazole_dimAC_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
10a_imidazole_dimBC_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
10a_imidazole_monA_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
10a_imidazole_monB_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
10a_imidazole_monC_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
10a_imidazole_trim_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
10b_imidazole_dimAB_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
10b_imidazole_dimAC_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
10b_imidazole_dimBC_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
10b_imidazole_monA_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
10b_imidazole_monB_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
10b_imidazole_monC_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
10b_imidazole_trim_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
10c_imidazole_dimAB_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
10c_imidazole_dimAC_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
10c_imidazole_dimBC_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
10c_imidazole_monA_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
