species,receipt_sha256,files,bytes
05a_nitromethane_monA_3B-69,e8d36f5fe48704b426a1d7704f1447c5f66cb96b31e25219c526f7afd7dc3b3d,9,6120024
05a_nitromethane_monB_3B-69,da664433c13ef74796796e73fdd423d641e0aa6f5d329e4f7f9893b2abb7ba60,9,6120024
05a_nitromethane_monC_3B-69,c65df0ced57d21ceafcf12f40de0ba785527f321258a5c82d7939032a91d5199,9,6120024
05a_nitromethane_trim_3B-69,5d5926b0c53216fb5a8c49956b6cf388375d4af4927b330c9e6fe3f093fbc36a,9,54975618
05b_nitromethane_dimAB_3B-69,f069f93cbefc037d5ccc11b3cfa3251df5d0cb94fbba851569ccdff9c593d975,9,24450269
05b_nitromethane_dimAC_3B-69,474e5ace8bbed6ae21839d8bf1a16c00f7ac09763392d50a4b05c9f848e7106c,9,24450269
05b_nitromethane_dimBC_3B-69,9ced1091a8c47381277a00626c656fc16698fe66a8f913b350037f36e6aa3bfa,9,24450269
05b_nitromethane_monA_3B-69,70814f7d54dbb145d72dfda874e95c335d51e001e3279818f0f6b92fa797e185,9,6120024
05b_nitromethane_monB_3B-69,22503dc68f89f57f22279ca6a0d4371345318d192ee794e1065a591349399f6b,9,6120024
05b_nitromethane_monC_3B-69,75eac8eaee40e3c5ee4cc3ff0dcb0dcd0cbb65f5515a27fe67631e488d038f5b,9,6120024
05b_nitromethane_trim_3B-69,40401faa15e59955d95972d53083d682b1663556fee9a0ba4608ed104a55931f,9,54992770
05c_nitromethane_dimAB_3B-69,86c11683a34cbf2d175a0ab831cec1570956f9f748f8cd455e906da3d2d37bb8,9,24450269
05c_nitromethane_dimAC_3B-69,1c3105642b8abea8afa2160076fc44a46ae6180bfba37c3787af552ffabca070,9,24461709
05c_nitromethane_dimBC_3B-69,aa428578d1a913b1d6cd855566aa1bce8fd7beb2c1a84a1502f89444c82bb0eb,9,24450269
05c_nitromethane_monA_3B-69,fdd1a1ac8e88e8094ab18d65b6a31645cb9e908e2bef1fceef33da6fedf5319b,9,6120024
05c_nitromethane_monB_3B-69,2f6653d7954f8dc792f66d0ad7b98ee259036acae406546fb5091978190faab3,9,6120024
05c_nitromethane_monC_3B-69,9efaae118d36f8e048f1775c465bcd8fe8b3290aef26d56cce23463bcf8866b3,9,6120024
05c_nitromethane_trim_3B-69,c007c37c812652ca1560c7f1b99619613ba872679f95a1892a0f7952291ab054,9,55009922
06_HF-methane_0p9_dim_A21x12,395a4c1922630cd6d19299f39044265126efe801cfb3f10351ca8f1f6e8951dc,9,4156120
06_HF-methane_1p0_dim_A21x12,147af5cdf14efd3365f67dabaf84ceb1dcf6c425d6127e1c8bc2ae643fd0095a,9,4156120
06_HF-methane_1p1_dim_A21x12,bf28577c1d4aa5842a7edc8f740bf6eb2feef55574e70e009fb57414f5f398f3,9,4156120
06_HF-methane_1p2_dim_A21x12,02dad3de135cd74eb95a7696a5c0ca120769e22f211670e9e3e98274286e98dd,9,4156120
06_HF-methane_1p4_dim_A21x12,c935e7b13bf0f56269f91eb639ea37b1bdb7e012e10590f5d57abbc5eeff48ac,9,4156120
06_HF-methane_1p6_dim_A21x12,27b11ae6b66a8be916a4ccc93c947a6af1871ad6d915fe99b42a330593234015,9,4156120
06_HF-methane_2p0_dim_A21x12,b70c8469507beba3768b003d0ab443cb7efe055242f27479efba49e7a3d1db45,9,4156120
06a_acetic_acid_dimAB_3B-69,d99b94b3d243c7e199a032a503ee83f52e26e3fea05ccce4ab7b51457157a0d2,9,29168787
06a_acetic_acid_dimAC_3B-69,ff21b9d81a64edf439bfbbbc4560c269cc6d59277643ac0ba639b4c0ff8bcb87,9,29168787
06a_acetic_acid_dimBC_3B-69,92e84a716708ad9112147b80b9e51d2943a43cdd60e73a5782654c87accd7c51,9,29168787
06a_acetic_acid_monA_3B-69,f0cdafc031c0f5f045dc5d8ef86b57703f6e74a79eac84d8b5abcb29c749c4f8,9,7297083
06a_acetic_acid_monB_3B-69,4ebb7ee581f7eb3243f881eb0a62801defed03fa927da045b2fd841e6df98cb5,9,7297083
06a_acetic_acid_monC_3B-69,8291bb3579e87f5edc3df62197f7bb79148fc165c16feaa9f6d25fb3367577e9,9,7297083
06a_acetic_acid_trim_3B-69,d80e03aed8c375b911d416350a490c5cf673ac8036af41e92e875d025f388d89,9,65617131
06b_acetic_acid_dimAB_3B-69,5a9a58d4e9301778088de35e6a81b033a2a4e28c3afcd4554f12a1631a693881,9,29168787
06b_acetic_acid_dimAC_3B-69,4b9323511f018f76a1e008b5a1b12d70957e9e53d0b4d79eff3facaa056afd87,9,29168787
06b_acetic_acid_dimBC_3B-69,1c2df71740b27cc8657b8c1db9246014116ff5b9e068095a350df6cd9965c3a6,9,29168787
06b_acetic_acid_monA_3B-69,cf2c768f9dc604a98ed274eaaaf1565e9a08064c6bec08c8fedd3bbb06760728,9,7297083
06b_acetic_acid_monB_3B-69,7513600c4d64d99b9ecccbb3f3d83c6e34cba568d132bbe3c65a1a1df7302dba,9,7297083
06b_acetic_acid_monC_3B-69,a1355c36bb538d35f7e31b43db79e1f521c1a77ce9f682a71f2c941987156a51,9,7297083
06b_acetic_acid_trim_3B-69,0cf143bed2437bcee8b72de9bbfda7f0053da41dcbb7bd766f1fa70d5b77b360,9,65617131
06c_acetic_acid_dimAB_3B-69,516021aec1c13689e9ec0b01b4cc3c7b56c6c3b3cd9906bd47acbcf75624b1f8,9,29168787
06c_acetic_acid_dimAC_3B-69,2a5a006607737d86930434d8d347afee4076c72e18a728ee51a4c8948e2730ff,9,29168787
06c_acetic_acid_dimBC_3B-69,c8cc87c9019c67c167f3efc2a0f0a9dab77327b8fde75f5497cb94b6de5b66d6,9,29168787
06c_acetic_acid_monA_3B-69,484c227197827335682b0f9d790b04aa31513836ea687d02242c00c1243e3591,9,7297083
06c_acetic_acid_monB_3B-69,232317157ee1772358cd3a2de7f0d54f62ac81b8f08bf24052735b997742f082,9,7297083
06c_acetic_acid_monC_3B-69,3dcc5380af88407c6153ea268c25dc280abc977a8b456ea6dd72a0d4d2e83d54,9,7297083
06c_acetic_acid_trim_3B-69,7b677039ba0db60b26638c400de82e243e785df92d8f6800614c5c6ac4f11383,9,65617131
07_ammonia-methane_0p9_dim_A21x12,390ddb11c3921b120f78f3d9b1cc6765e71ca3a6ddf9e5273c0eb01844b341ec,9,6125886
07_ammonia-methane_1p0_dim_A21x12,ea74d5389ac91a135cf56a70cc20281615e9e95c1ee1914d80445d59c311419d,9,6125886
07_ammonia-methane_1p1_dim_A21x12,6a4961f44ed765da4fb205aa8a56aa703bf608084b06fddd8b0a958af9394f82,9,6125886
07_ammonia-methane_1p2_dim_A21x12,51e4f2ee3599d1a127fb79ab4e74bae642e524584276a1e1f34becc09a3dfae0,9,6125886
07_ammonia-methane_1p4_dim_A21x12,b884341997e3246c7e27cf2bf668c1b7552bff9bf1f5ef0366cd4523f8da36be,9,6125886
07_ammonia-methane_1p6_dim_A21x12,cf536bb40ff6d23a36dccfaeacd3fcb60e05fe23c8f0e7958389c24195b5d3ae,9,6125886
07_ammonia-methane_2p0_dim_A21x12,e3594657516a1ba02a1ecc0b18d20a955b203fea4033a050773635d29cdd5784,9,6125886
07a_oxalic_acid_dimAB_3B-69,be02abb1f4ee17088de6cf9274938f0f9ac9eb4cdc582d72469b19a605df829b,9,39941395
07a_oxalic_acid_dimAC_3B-69,f4c894b76b8585950cff5bfec81f140a73acffab6d500a133a98960d018f8db0,9,39941395
07a_oxalic_acid_dimBC_3B-69,14cfccd31b4c0f8efc3e3b61931dc1880e13fa04cb3c80a7c025a918d6820fd5,9,39941395
07a_oxalic_acid_monA_3B-69,d870dac1eb386258f8851badb69748a1fc43477bdf5236c1950c31df814ab7c1,9,9990779
07a_oxalic_acid_monB_3B-69,98e207211782eb378c0524c67a6875abb9327b73e2ed38d6c538aa56c4de0840,9,9990779
07a_oxalic_acid_monC_3B-69,b8dab53bb33df7f74ea2b9ded079aa94b16e0e0de7a092b16a595bb9a6339dae,9,9990779
07a_oxalic_acid_trim_3B-69,b136beeb7586089c39baa3f1b68e341bc940be0d6c6f3b407eda7d07179706df,9,89853867
07b_oxalic_acid_dimAB_3B-69,758d85e2edce7652a9d5089d955418cd4b064a0bbf49b27e3ab3b886081c0131,9,39941395
07b_oxalic_acid_dimAC_3B-69,5390adc219130a9006b56f659b98bf4d5aefe3b50e65e1e79f8b2753dc8e65e1,9,39941395
07b_oxalic_acid_dimBC_3B-69,9a9f40bef46bad1197db1e738b06c6cb4e3230aae022592a6a268a7d9305d169,9,39941395
07b_oxalic_acid_monA_3B-69,8ffea8d96914459ba666a9a47e0f839e30150daf9df357054b18937e05ac8f1f,9,9990779
07b_oxalic_acid_monB_3B-69,d619e6b4d50f9736ac50d41c0ac2ff7ae3be35473d143178058bc25d0a715d4f,9,9990779
07b_oxalic_acid_monC_3B-69,aad1459823f7d4c8e1064841473b1df608dff9e19d87e8dd3ec07fc6605f8fba,9,9990779
07b_oxalic_acid_trim_3B-69,c8a566498e3495d9a133ebec133d1b4338d3d122b81e35ef99de9794ec879fd0,9,89853867
07c_oxalic_acid_dimAB_3B-69,0a27e093d1e29377ee6e941d227d944042a04c8d19bbc55a462a08a01a69aabe,9,39941395
07c_oxalic_acid_dimAC_3B-69,7066fe3710277716b82b4204b9c47d86217fcf648c3042ad9f9762d8c861420e,9,39941395
07c_oxalic_acid_dimBC_3B-69,df3f0b72c70fcac1dbe7b17e8cb6deb1f0ae0eacbe4a07fe60690e4565a05413,9,39941395
07c_oxalic_acid_monA_3B-69,d15abbbcabbd181748b10da75ed2aa2e7ca9cdfd3104bcc5ed6fc3c23fcf24e5,9,9990779
07c_oxalic_acid_monB_3B-69,7525c226f0cffc33e72c3708ce820fb93c6ee1e7825143743b700dad3ed3801a,9,9990779
07c_oxalic_acid_monC_3B-69,8639d757c58b8cd28c485e86e11c75f434e7e742e38b8f9540475d5363a7bfbc,9,9990779
07c_oxalic_acid_trim_3B-69,a5b5fb7eb531988562b297cffaa0abe8b0e088f0ba23d88cb5e8293c62f66004,9,89853867
08_water-methane_0p9_dim_A21x12,ad916d3400a9b70fdbb5dc8acde2678ecea6a3616ea6fe1359e83b6daa4c2fca,9,5140379
08_water-methane_1p0_dim_A21x12,8f407c562df2bb58c17d4b388afd51a8cd63019150f00b54bffa0b7d258499b0,9,5140379
08_water-methane_1p1_dim_A21x12,39a25fd8d6351cdb870345297e2cf640237e64dc26e72d5d2435e1dfda15d76c,9,5140379
08_water-methane_1p2_dim_A21x12,8cd34d073d1b790eec0173e17b28da13067be895b3766691a7c9d09e018ba6e6,9,5140379
08_water-methane_1p4_dim_A21x12,7c5f27544496544c3dfa4b6c5efe235d0269b5ac4f2db5c143398d4f70f9e27e,9,5140379
08_water-methane_1p6_dim_A21x12,cd3c48dc72e9ea978dec336990e9d0fba2cef59ff63160bf30ca1bdb5fa38813,9,5140379
08_water-methane_2p0_dim_A21x12,741b20f377a00b096d028a61c2c27fb54c47800643ead589eaca57236e1d26fb,9,5140379
08a_vinylene_carbonate_dimAB_3B-69,50a48a09e2c7d515fdda797770da7dfbbe8395ed3864e5d4bf5295847a6b6055,9,39388691
08a_vinylene_carbonate_dimAC_3B-69,de99bb06d4c6a543e57cf11f93b231593a7319d21c7aa2f353b86c018ef98f0a,9,39388691
08a_vinylene_carbonate_dimBC_3B-69,f1c9079c93c8236546bb1d5804be0669db38230da848d506a5435832bc357127,9,39388691
08a_vinylene_carbonate_monA_3B-69,246f59eba234510f6c31b18d5e0687d37c45ae7d4492316fa87211c32fb41b86,9,9852571
08a_vinylene_carbonate_monB_3B-69,4839f1de27f747804797c904dcf37813983e8674dfa32208caacf30d0462cd54,9,9852571
08a_vinylene_carbonate_monC_3B-69,3321078d9040a8351f5289d40aa642107e24d1286700b17e36ce6489c4e25b7b,9,9852571
08a_vinylene_carbonate_trim_3B-69,2c3e60844377c66b3491d02af2395ee385d7c8f47cb183bf3e5af98aa9e09209,9,88610379
08b_vinylene_carbonate_dimAB_3B-69,d3192aa28692137bdb01af85253c88049f5d6de47797b9846e4a71aa89e78516,9,39388691
