species,scope,source,status,issues,bytes,nbasis,nmo,files,geometry_max_error
02a_formaldehyde_monA_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/02a_formaldehyde_monA_3B-69,structural_pass,,1830607,195,195,9,4.440892098500626e-16
02a_formaldehyde_monB_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/02a_formaldehyde_monB_3B-69,structural_pass,,1830607,195,195,9,1.7763568394002505e-15
02a_formaldehyde_monC_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/02a_formaldehyde_monC_3B-69,structural_pass,,1830607,195,195,9,1.7763568394002505e-15
02a_formaldehyde_trim_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/02a_formaldehyde_trim_3B-69,structural_pass,,16438983,585,585,9,1.7763568394002505e-15
02b_formaldehyde_dimAB_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/02b_formaldehyde_dimAB_3B-69,structural_pass,,7309595,390,390,9,3.552713678800501e-15
02b_formaldehyde_dimAC_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/02b_formaldehyde_dimAC_3B-69,structural_pass,,7309595,390,390,9,3.552713678800501e-15
02b_formaldehyde_dimBC_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/02b_formaldehyde_dimBC_3B-69,structural_pass,,7309595,390,390,9,3.552713678800501e-15
02b_formaldehyde_monA_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/02b_formaldehyde_monA_3B-69,structural_pass,,1830607,195,195,9,3.552713678800501e-15
02b_formaldehyde_monB_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/02b_formaldehyde_monB_3B-69,structural_pass,,1830607,195,195,9,3.552713678800501e-15
02b_formaldehyde_monC_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/02b_formaldehyde_monC_3B-69,structural_pass,,1830607,195,195,9,1.7763568394002505e-15
02b_formaldehyde_trim_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/02b_formaldehyde_trim_3B-69,structural_pass,,16438983,585,585,9,3.552713678800501e-15
02c_formaldehyde_dimAB_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/02c_formaldehyde_dimAB_3B-69,structural_pass,,7309595,390,390,9,1.7763568394002505e-15
02c_formaldehyde_dimAC_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/02c_formaldehyde_dimAC_3B-69,structural_pass,,7309595,390,390,9,1.7763568394002505e-15
02c_formaldehyde_dimBC_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/02c_formaldehyde_dimBC_3B-69,structural_pass,,7309595,390,390,9,1.7763568394002505e-15
02c_formaldehyde_monA_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/02c_formaldehyde_monA_3B-69,structural_pass,,1830607,195,195,9,1.7763568394002505e-15
02c_formaldehyde_monB_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/02c_formaldehyde_monB_3B-69,structural_pass,,1830607,195,195,9,1.7763568394002505e-15
02c_formaldehyde_monC_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/02c_formaldehyde_monC_3B-69,structural_pass,,1830607,195,195,9,1.7763568394002505e-15
02c_formaldehyde_trim_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/02c_formaldehyde_trim_3B-69,structural_pass,,16438983,585,585,9,1.7763568394002505e-15
03_HCN-dimer_0p9_dim_A21x12,gscdb137,/global/scratch/users/jsliang/COACH3/03_HCN-dimer_0p9_dim_A21x12,structural_pass,,4861461,318,318,9,8.881784197001252e-16
03_HCN-dimer_1p0_dim_A21x12,gscdb137,/global/scratch/users/jsliang/COACH3/03_HCN-dimer_1p0_dim_A21x12,structural_pass,,4861461,318,318,9,4.440892098500626e-16
03_HCN-dimer_1p1_dim_A21x12,gscdb137,/global/scratch/users/jsliang/COACH3/03_HCN-dimer_1p1_dim_A21x12,structural_pass,,4861461,318,318,9,8.881784197001252e-16
03_HCN-dimer_1p2_dim_A21x12,gscdb137,/global/scratch/users/jsliang/COACH3/03_HCN-dimer_1p2_dim_A21x12,structural_pass,,4861461,318,318,9,4.440892098500626e-16
03_HCN-dimer_1p4_dim_A21x12,gscdb137,/global/scratch/users/jsliang/COACH3/03_HCN-dimer_1p4_dim_A21x12,structural_pass,,4861461,318,318,9,8.881784197001252e-16
03_HCN-dimer_1p6_dim_A21x12,gscdb137,/global/scratch/users/jsliang/COACH3/03_HCN-dimer_1p6_dim_A21x12,structural_pass,,4861461,318,318,9,8.881784197001252e-16
03_HCN-dimer_2p0_dim_A21x12,gscdb137,/global/scratch/users/jsliang/COACH3/03_HCN-dimer_2p0_dim_A21x12,structural_pass,,4861461,318,318,9,1.7763568394002505e-15
03a_methanol_ethyne_dimAB_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/03a_methanol_ethyne_dimAB_3B-69,structural_pass,,13073671,522,520,9,3.552713678800501e-15
03a_methanol_ethyne_dimAC_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/03a_methanol_ethyne_dimAC_3B-69,structural_pass,,13073671,522,520,9,3.552713678800501e-15
03a_methanol_ethyne_dimBC_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/03a_methanol_ethyne_dimBC_3B-69,structural_pass,,13082039,522,521,9,3.552713678800501e-15
03a_methanol_ethyne_monA_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/03a_methanol_ethyne_monA_3B-69,structural_pass,,3276405,261,261,9,3.552713678800501e-15
03a_methanol_ethyne_monB_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/03a_methanol_ethyne_monB_3B-69,structural_pass,,3276405,261,261,9,3.552713678800501e-15
03a_methanol_ethyne_monC_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/03a_methanol_ethyne_monC_3B-69,structural_pass,,3276405,261,261,9,3.552713678800501e-15
03a_methanol_ethyne_trim_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/03a_methanol_ethyne_trim_3B-69,structural_pass,,29381305,783,778,9,3.552713678800501e-15
03b_methanol_ethyne_dimAB_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/03b_methanol_ethyne_dimAB_3B-69,structural_pass,,13082039,522,521,9,3.552713678800501e-15
03b_methanol_ethyne_dimAC_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/03b_methanol_ethyne_dimAC_3B-69,structural_pass,,9845441,453,451,9,3.552713678800501e-15
03b_methanol_ethyne_dimBC_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/03b_methanol_ethyne_dimBC_3B-69,structural_pass,,9845441,453,451,9,3.552713678800501e-15
03b_methanol_ethyne_monA_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/03b_methanol_ethyne_monA_3B-69,structural_pass,,3276405,261,261,9,3.552713678800501e-15
03b_methanol_ethyne_monB_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/03b_methanol_ethyne_monB_3B-69,structural_pass,,3276405,261,261,9,3.552713678800501e-15
03b_methanol_ethyne_monC_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/03b_methanol_ethyne_monC_3B-69,structural_pass,,1771743,192,191,9,3.552713678800501e-15
03b_methanol_ethyne_trim_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/03b_methanol_ethyne_trim_3B-69,structural_pass,,24438963,714,710,9,3.552713678800501e-15
03c_methanol_ethyne_dimAB_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/03c_methanol_ethyne_dimAB_3B-69,structural_pass,,13073671,522,520,9,3.552713678800501e-15
03c_methanol_ethyne_dimAC_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/03c_methanol_ethyne_dimAC_3B-69,structural_pass,,9845441,453,451,9,3.552713678800501e-15
03c_methanol_ethyne_dimBC_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/03c_methanol_ethyne_dimBC_3B-69,structural_pass,,9852705,453,452,9,3.552713678800501e-15
03c_methanol_ethyne_monA_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/03c_methanol_ethyne_monA_3B-69,structural_pass,,3276405,261,261,9,3.552713678800501e-15
03c_methanol_ethyne_monB_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/03c_methanol_ethyne_monB_3B-69,structural_pass,,3276405,261,261,9,3.552713678800501e-15
03c_methanol_ethyne_monC_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/03c_methanol_ethyne_monC_3B-69,structural_pass,,1771743,192,191,9,3.552713678800501e-15
03c_methanol_ethyne_trim_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/03c_methanol_ethyne_trim_3B-69,structural_pass,,24438963,714,710,9,3.552713678800501e-15
04_HF-dimer_0p9_dim_A21x12,gscdb137,/global/scratch/users/jsliang/COACH3/04_HF-dimer_0p9_dim_A21x12,structural_pass,,1887247,198,198,9,4.440892098500626e-16
04_HF-dimer_1p0_dim_A21x12,gscdb137,/global/scratch/users/jsliang/COACH3/04_HF-dimer_1p0_dim_A21x12,structural_pass,,1887247,198,198,9,2.220446049250313e-16
04_HF-dimer_1p1_dim_A21x12,gscdb137,/global/scratch/users/jsliang/COACH3/04_HF-dimer_1p1_dim_A21x12,structural_pass,,1887247,198,198,9,4.440892098500626e-16
04_HF-dimer_1p2_dim_A21x12,gscdb137,/global/scratch/users/jsliang/COACH3/04_HF-dimer_1p2_dim_A21x12,structural_pass,,1887247,198,198,9,2.220446049250313e-16
04_HF-dimer_1p4_dim_A21x12,gscdb137,/global/scratch/users/jsliang/COACH3/04_HF-dimer_1p4_dim_A21x12,structural_pass,,1887247,198,198,9,4.440892098500626e-16
04_HF-dimer_1p6_dim_A21x12,gscdb137,/global/scratch/users/jsliang/COACH3/04_HF-dimer_1p6_dim_A21x12,structural_pass,,1887247,198,198,9,4.440892098500626e-16
04_HF-dimer_2p0_dim_A21x12,gscdb137,/global/scratch/users/jsliang/COACH3/04_HF-dimer_2p0_dim_A21x12,structural_pass,,1887247,198,198,9,4.440892098500626e-16
04a_acetonitrile_dimAB_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/04a_acetonitrile_dimAB_3B-69,structural_pass,,15900359,576,572,9,3.552713678800501e-15
04a_acetonitrile_dimAC_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/04a_acetonitrile_dimAC_3B-69,structural_pass,,15909591,576,573,9,3.552713678800501e-15
04a_acetonitrile_dimBC_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/04a_acetonitrile_dimBC_3B-69,structural_pass,,15900359,576,572,9,3.552713678800501e-15
04a_acetonitrile_monA_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/04a_acetonitrile_monA_3B-69,structural_pass,,3988341,288,288,9,3.552713678800501e-15
04a_acetonitrile_monB_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/04a_acetonitrile_monB_3B-69,structural_pass,,3988341,288,288,9,3.552713678800501e-15
04a_acetonitrile_monC_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/04a_acetonitrile_monC_3B-69,structural_pass,,3988341,288,288,9,3.552713678800501e-15
04a_acetonitrile_trim_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/04a_acetonitrile_trim_3B-69,structural_pass,,35765817,864,858,9,3.552713678800501e-15
04b_acetonitrile_dimAB_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/04b_acetonitrile_dimAB_3B-69,structural_pass,,15909591,576,573,9,1.7763568394002505e-15
04b_acetonitrile_dimAC_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/04b_acetonitrile_dimAC_3B-69,structural_pass,,15909591,576,573,9,1.7763568394002505e-15
04b_acetonitrile_dimBC_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/04b_acetonitrile_dimBC_3B-69,structural_pass,,15900359,576,572,9,1.7763568394002505e-15
04b_acetonitrile_monA_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/04b_acetonitrile_monA_3B-69,structural_pass,,3988341,288,288,9,1.7763568394002505e-15
04b_acetonitrile_monB_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/04b_acetonitrile_monB_3B-69,structural_pass,,3988341,288,288,9,8.881784197001252e-16
04b_acetonitrile_monC_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/04b_acetonitrile_monC_3B-69,structural_pass,,3988341,288,288,9,1.7763568394002505e-15
04b_acetonitrile_trim_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/04b_acetonitrile_trim_3B-69,structural_pass,,35765817,864,858,9,1.7763568394002505e-15
04c_acetonitrile_dimAB_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/04c_acetonitrile_dimAB_3B-69,structural_pass,,15900359,576,572,9,1.7763568394002505e-15
04c_acetonitrile_dimAC_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/04c_acetonitrile_dimAC_3B-69,structural_pass,,15918823,576,574,9,1.7763568394002505e-15
04c_acetonitrile_dimBC_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/04c_acetonitrile_dimBC_3B-69,structural_pass,,15937287,576,576,9,1.7763568394002505e-15
04c_acetonitrile_monA_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/04c_acetonitrile_monA_3B-69,structural_pass,,3988341,288,288,9,1.7763568394002505e-15
04c_acetonitrile_monB_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/04c_acetonitrile_monB_3B-69,structural_pass,,3988341,288,288,9,8.881784197001252e-16
04c_acetonitrile_monC_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/04c_acetonitrile_monC_3B-69,structural_pass,,3988341,288,288,9,1.7763568394002505e-15
04c_acetonitrile_trim_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/04c_acetonitrile_trim_3B-69,structural_pass,,35765817,864,858,9,1.7763568394002505e-15
05_ammonia-dimer_0p9_dim_A21x12,gscdb137,/global/scratch/users/jsliang/COACH3/05_ammonia-dimer_0p9_dim_A21x12,structural_pass,,5046587,324,324,9,4.440892098500626e-16
05_ammonia-dimer_1p0_dim_A21x12,gscdb137,/global/scratch/users/jsliang/COACH3/05_ammonia-dimer_1p0_dim_A21x12,structural_pass,,5046587,324,324,9,2.220446049250313e-16
05_ammonia-dimer_1p1_dim_A21x12,gscdb137,/global/scratch/users/jsliang/COACH3/05_ammonia-dimer_1p1_dim_A21x12,structural_pass,,5046587,324,324,9,4.440892098500626e-16
05_ammonia-dimer_1p2_dim_A21x12,gscdb137,/global/scratch/users/jsliang/COACH3/05_ammonia-dimer_1p2_dim_A21x12,structural_pass,,5046587,324,324,9,4.440892098500626e-16
05_ammonia-dimer_1p4_dim_A21x12,gscdb137,/global/scratch/users/jsliang/COACH3/05_ammonia-dimer_1p4_dim_A21x12,structural_pass,,5046587,324,324,9,4.440892098500626e-16
05_ammonia-dimer_1p6_dim_A21x12,gscdb137,/global/scratch/users/jsliang/COACH3/05_ammonia-dimer_1p6_dim_A21x12,structural_pass,,5046587,324,324,9,4.440892098500626e-16
05_ammonia-dimer_2p0_dim_A21x12,gscdb137,/global/scratch/users/jsliang/COACH3/05_ammonia-dimer_2p0_dim_A21x12,structural_pass,,5046587,324,324,9,8.881784197001252e-16
05a_nitromethane_dimAB_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/05a_nitromethane_dimAB_3B-69,structural_pass,,24450269,714,711,9,3.552713678800501e-15
05a_nitromethane_dimAC_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/05a_nitromethane_dimAC_3B-69,structural_pass,,24450269,714,711,9,1.7763568394002505e-15
05a_nitromethane_dimBC_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/05a_nitromethane_dimBC_3B-69,structural_pass,,24450269,714,711,9,3.552713678800501e-15
05a_nitromethane_monA_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/05a_nitromethane_monA_3B-69,structural_pass,,6120024,357,356,9,1.7763568394002505e-15
05a_nitromethane_monB_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/05a_nitromethane_monB_3B-69,structural_pass,,6120024,357,356,9,3.552713678800501e-15
05a_nitromethane_monC_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/05a_nitromethane_monC_3B-69,structural_pass,,6120024,357,356,9,1.7763568394002505e-15
05a_nitromethane_trim_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/05a_nitromethane_trim_3B-69,structural_pass,,54975618,1071,1065,9,3.552713678800501e-15
05b_nitromethane_dimAB_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/05b_nitromethane_dimAB_3B-69,structural_pass,,24450269,714,711,9,1.7763568394002505e-15
05b_nitromethane_dimAC_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/05b_nitromethane_dimAC_3B-69,structural_pass,,24450269,714,711,9,1.7763568394002505e-15
05b_nitromethane_dimBC_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/05b_nitromethane_dimBC_3B-69,structural_pass,,24450269,714,711,9,1.7763568394002505e-15
05b_nitromethane_monA_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/05b_nitromethane_monA_3B-69,structural_pass,,6120024,357,356,9,8.881784197001252e-16
05b_nitromethane_monB_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/05b_nitromethane_monB_3B-69,structural_pass,,6120024,357,356,9,1.7763568394002505e-15
05b_nitromethane_monC_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/05b_nitromethane_monC_3B-69,structural_pass,,6120024,357,356,9,1.7763568394002505e-15
05b_nitromethane_trim_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/05b_nitromethane_trim_3B-69,structural_pass,,54992770,1071,1066,9,1.7763568394002505e-15
05c_nitromethane_dimAB_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/05c_nitromethane_dimAB_3B-69,structural_pass,,24450269,714,711,9,1.7763568394002505e-15
05c_nitromethane_dimAC_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/05c_nitromethane_dimAC_3B-69,structural_pass,,24461709,714,712,9,1.7763568394002505e-15
05c_nitromethane_dimBC_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/05c_nitromethane_dimBC_3B-69,structural_pass,,24450269,714,711,9,1.7763568394002505e-15
05c_nitromethane_monA_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/05c_nitromethane_monA_3B-69,structural_pass,,6120024,357,356,9,1.7763568394002505e-15
05c_nitromethane_monB_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/05c_nitromethane_monB_3B-69,structural_pass,,6120024,357,356,9,1.7763568394002505e-15
05c_nitromethane_monC_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/05c_nitromethane_monC_3B-69,structural_pass,,6120024,357,356,9,1.7763568394002505e-15
05c_nitromethane_trim_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/05c_nitromethane_trim_3B-69,structural_pass,,55009922,1071,1067,9,1.7763568394002505e-15
06_HF-methane_0p9_dim_A21x12,gscdb137,/global/scratch/users/jsliang/COACH3/06_HF-methane_0p9_dim_A21x12,structural_pass,,4156120,294,294,9,4.440892098500626e-16
06_HF-methane_1p0_dim_A21x12,gscdb137,/global/scratch/users/jsliang/COACH3/06_HF-methane_1p0_dim_A21x12,structural_pass,,4156120,294,294,9,4.440892098500626e-16
06_HF-methane_1p1_dim_A21x12,gscdb137,/global/scratch/users/jsliang/COACH3/06_HF-methane_1p1_dim_A21x12,structural_pass,,4156120,294,294,9,4.440892098500626e-16
06_HF-methane_1p2_dim_A21x12,gscdb137,/global/scratch/users/jsliang/COACH3/06_HF-methane_1p2_dim_A21x12,structural_pass,,4156120,294,294,9,4.440892098500626e-16
06_HF-methane_1p4_dim_A21x12,gscdb137,/global/scratch/users/jsliang/COACH3/06_HF-methane_1p4_dim_A21x12,structural_pass,,4156120,294,294,9,4.440892098500626e-16
06_HF-methane_1p6_dim_A21x12,gscdb137,/global/scratch/users/jsliang/COACH3/06_HF-methane_1p6_dim_A21x12,structural_pass,,4156120,294,294,9,4.440892098500626e-16
06_HF-methane_2p0_dim_A21x12,gscdb137,/global/scratch/users/jsliang/COACH3/06_HF-methane_2p0_dim_A21x12,structural_pass,,4156120,294,294,9,8.881784197001252e-16
06a_acetic_acid_dimAB_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/06a_acetic_acid_dimAB_3B-69,structural_pass,,29168787,780,776,9,1.7763568394002505e-15
06a_acetic_acid_dimAC_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/06a_acetic_acid_dimAC_3B-69,structural_pass,,29168787,780,776,9,8.881784197001252e-16
06a_acetic_acid_dimBC_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/06a_acetic_acid_dimBC_3B-69,structural_pass,,29168787,780,776,9,1.7763568394002505e-15
06a_acetic_acid_monA_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/06a_acetic_acid_monA_3B-69,structural_pass,,7297083,390,388,9,8.881784197001252e-16
06a_acetic_acid_monB_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/06a_acetic_acid_monB_3B-69,structural_pass,,7297083,390,388,9,1.7763568394002505e-15
06a_acetic_acid_monC_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/06a_acetic_acid_monC_3B-69,structural_pass,,7297083,390,388,9,8.881784197001252e-16
06a_acetic_acid_trim_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/06a_acetic_acid_trim_3B-69,structural_pass,,65617131,1170,1164,9,1.7763568394002505e-15
06b_acetic_acid_dimAB_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/06b_acetic_acid_dimAB_3B-69,structural_pass,,29168787,780,776,9,3.552713678800501e-15
06b_acetic_acid_dimAC_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/06b_acetic_acid_dimAC_3B-69,structural_pass,,29168787,780,776,9,3.552713678800501e-15
06b_acetic_acid_dimBC_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/06b_acetic_acid_dimBC_3B-69,structural_pass,,29168787,780,776,9,3.552713678800501e-15
06b_acetic_acid_monA_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/06b_acetic_acid_monA_3B-69,structural_pass,,7297083,390,388,9,3.552713678800501e-15
06b_acetic_acid_monB_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/06b_acetic_acid_monB_3B-69,structural_pass,,7297083,390,388,9,3.552713678800501e-15
