species,scope,source,source_sha256,derived_sha256,orbital_basis,auxiliary_basis,ecp_label,charge,multiplicity,atom_count,ghost_atom_count,electron_count,ecp_electrons,orbital_shells,orbital_spherical_aos,auxiliary_shells,auxiliary_spherical_aos,ecp_resolution
01a_water_monA_3B-69,gscdb137,/clusterfs/mhg-data/yaoshen/GSCDB/qchem_inputs/01a_water_monA_3B-69.in,e4080924036cf729d9cf5718835d1aa1ff178a0ef9dc209854dc475b31c84bc5,07454f5ba0a9cb480e015d284fa6e7191d187f02658fadd49ed28e807375f301,DEF2-QZVPPD,rimp2-def2-QZVPPD,,0,1,3,0,10,0,42,132,75,287,not_applicable
01a_water_monB_3B-69,gscdb137,/clusterfs/mhg-data/yaoshen/GSCDB/qchem_inputs/01a_water_monB_3B-69.in,205edc9891c13955450ecb67d3f688888bb9788d22d765076e93e6f90991edf5,0f1064c4adce5698f3625ac9ef662b603a1514f4a4203baecd94ea8d83f952e1,DEF2-QZVPPD,rimp2-def2-QZVPPD,,0,1,3,0,10,0,42,132,75,287,not_applicable
01a_water_monC_3B-69,gscdb137,/clusterfs/mhg-data/yaoshen/GSCDB/qchem_inputs/01a_water_monC_3B-69.in,6d9b7d11bf656eddfe3462de6c4cedb15cf77f485e8d7086b8b1f350a7ccb141,169219bbe719d9c2518169d34a8c44aa605567dc32bd6b80a1aac4e158cd761e,DEF2-QZVPPD,rimp2-def2-QZVPPD,,0,1,3,0,10,0,42,132,75,287,not_applicable
01a_water_trim_3B-69,gscdb137,/clusterfs/mhg-data/yaoshen/GSCDB/qchem_inputs/01a_water_trim_3B-69.in,6717033d4a1f8cb1314767699df69328506b882e58562307c7145dce81952aca,d7ecb0977be1572e24fc8cae0b22fd579e390ffde18e5bf2bead7e4df95b975c,DEF2-QZVPPD,rimp2-def2-QZVPPD,,0,1,9,0,30,0,126,396,225,861,not_applicable
01b_water_dimAB_3B-69,gscdb137,/clusterfs/mhg-data/yaoshen/GSCDB/qchem_inputs/01b_water_dimAB_3B-69.in,878e7f46c0100d11485502055b8e0631eb0b1add40f232b8d5c0d379efbecd6f,eade76a05c8a91b3bcd0dc05cc5c6d5c8a4e5f23fd4d5fc12609919657119852,DEF2-QZVPPD,rimp2-def2-QZVPPD,,0,1,6,0,20,0,84,264,150,574,not_applicable
01b_water_dimAC_3B-69,gscdb137,/clusterfs/mhg-data/yaoshen/GSCDB/qchem_inputs/01b_water_dimAC_3B-69.in,d510aa2d2285b74b820ea60e95d30ed20e663882a873d0d8f0c6ee65a8840afb,2c943d1c6f9f61ee4b450c30a49b5939484501908366e36d904cd387544eed7a,DEF2-QZVPPD,rimp2-def2-QZVPPD,,0,1,6,0,20,0,84,264,150,574,not_applicable
01b_water_dimBC_3B-69,gscdb137,/clusterfs/mhg-data/yaoshen/GSCDB/qchem_inputs/01b_water_dimBC_3B-69.in,d18e59de7a9746669a87ca30596b88999a77c889119db405086477bf65875117,69f4a98a69a00e34d83cba1241f4da29d02c40761b1a56a69501ccd7a72051c3,DEF2-QZVPPD,rimp2-def2-QZVPPD,,0,1,6,0,20,0,84,264,150,574,not_applicable
01b_water_monA_3B-69,gscdb137,/clusterfs/mhg-data/yaoshen/GSCDB/qchem_inputs/01b_water_monA_3B-69.in,e4080924036cf729d9cf5718835d1aa1ff178a0ef9dc209854dc475b31c84bc5,07454f5ba0a9cb480e015d284fa6e7191d187f02658fadd49ed28e807375f301,DEF2-QZVPPD,rimp2-def2-QZVPPD,,0,1,3,0,10,0,42,132,75,287,not_applicable
01b_water_monB_3B-69,gscdb137,/clusterfs/mhg-data/yaoshen/GSCDB/qchem_inputs/01b_water_monB_3B-69.in,0e8f397e865532a1a15729dccd32236e44329d726caf8ecef17c00dc25afe577,250617da1ba4e7539ad225800e8d33d9289d7b235e23a0c07dcadfd2b0199259,DEF2-QZVPPD,rimp2-def2-QZVPPD,,0,1,3,0,10,0,42,132,75,287,not_applicable
01b_water_monC_3B-69,gscdb137,/clusterfs/mhg-data/yaoshen/GSCDB/qchem_inputs/01b_water_monC_3B-69.in,c62d866e99f192fde7ac6bf409e45bb569c801e0b8e773f304c1fe9c407de747,24e575501fe86016a31651764827f0b5d315f1ffe06c50915d732219950fcf5a,DEF2-QZVPPD,rimp2-def2-QZVPPD,,0,1,3,0,10,0,42,132,75,287,not_applicable
01b_water_trim_3B-69,gscdb137,/clusterfs/mhg-data/yaoshen/GSCDB/qchem_inputs/01b_water_trim_3B-69.in,2c3d7855c1d0f48ef6d2c2094cf1a40c05f45dc7904f88e0a812e958e247eee4,c653d7bf0221a79d64d12e1d868502b620b39cdc0a25aeab38f91d98b0daeb59,DEF2-QZVPPD,rimp2-def2-QZVPPD,,0,1,9,0,30,0,126,396,225,861,not_applicable
01c_water_dimAB_3B-69,gscdb137,/clusterfs/mhg-data/yaoshen/GSCDB/qchem_inputs/01c_water_dimAB_3B-69.in,51ef68211486596cd44e5eefc4b90a7210f81767fdf25101f2395b90a3e7c267,9ef6d0b6e4983f68ea490693cd66ea023b30000147bf35508d9579d69b2216a9,DEF2-QZVPPD,rimp2-def2-QZVPPD,,0,1,6,0,20,0,84,264,150,574,not_applicable
01c_water_dimAC_3B-69,gscdb137,/clusterfs/mhg-data/yaoshen/GSCDB/qchem_inputs/01c_water_dimAC_3B-69.in,63688cce22869b6630bb6a4aad8f83a449eb0ab95a18d882975ed29d31f0a3a2,7e6963d76ea9a2e958757da11dfeb82e2b299dbbed571b765ae9dec00bd21a91,DEF2-QZVPPD,rimp2-def2-QZVPPD,,0,1,6,0,20,0,84,264,150,574,not_applicable
01c_water_dimBC_3B-69,gscdb137,/clusterfs/mhg-data/yaoshen/GSCDB/qchem_inputs/01c_water_dimBC_3B-69.in,5f170e71c010cb30a1eca5c8e18ae457dc5ee751f401ed4a1eae7c87cee56af0,b88c6f627223f3f4c5a0b0881295b813631f3766adc4b8caba8a184dabe7a1b3,DEF2-QZVPPD,rimp2-def2-QZVPPD,,0,1,6,0,20,0,84,264,150,574,not_applicable
01c_water_monA_3B-69,gscdb137,/clusterfs/mhg-data/yaoshen/GSCDB/qchem_inputs/01c_water_monA_3B-69.in,3b44e46362d687aef60ae8bfb2b4cc51d6230cc45f5dede4a07ce1957e983197,027e440a228a69cc305f626118c6e1ce5ce1b43c245a06174ced729865134c68,DEF2-QZVPPD,rimp2-def2-QZVPPD,,0,1,3,0,10,0,42,132,75,287,not_applicable
01c_water_monB_3B-69,gscdb137,/clusterfs/mhg-data/yaoshen/GSCDB/qchem_inputs/01c_water_monB_3B-69.in,58ad0b795724c1f17f991cbe7fdece704540a129403d0d1e04628892221e9a77,e4bec46ae2ff769b6bdf4a6807664b888caa565d04ad9e0f682976c1fb8a33b7,DEF2-QZVPPD,rimp2-def2-QZVPPD,,0,1,3,0,10,0,42,132,75,287,not_applicable
01c_water_monC_3B-69,gscdb137,/clusterfs/mhg-data/yaoshen/GSCDB/qchem_inputs/01c_water_monC_3B-69.in,f859dc93de82e8767133ea3169477b143535839e62c6021c32a2bd26b860b2bb,8b6d5a34f9d4273f101ea3c898d1b240cf82f695444b72098a7cfc5b737e427c,DEF2-QZVPPD,rimp2-def2-QZVPPD,,0,1,3,0,10,0,42,132,75,287,not_applicable
01c_water_trim_3B-69,gscdb137,/clusterfs/mhg-data/yaoshen/GSCDB/qchem_inputs/01c_water_trim_3B-69.in,edcc1971578d43cf2b4808e77486093d12ee9c04d521d78047daf9d7d26d56ae,36322a2c553b26895758814cc291a7adf0576cbd094c5086cc6633f56dfa358a,DEF2-QZVPPD,rimp2-def2-QZVPPD,,0,1,9,0,30,0,126,396,225,861,not_applicable
02a_formaldehyde_dimAB_3B-69,gscdb137,/clusterfs/mhg-data/yaoshen/GSCDB/qchem_inputs/02a_formaldehyde_dimAB_3B-69.in,c40f3629612ac91f434b6350a7c9b26ea988c43b105da05e80ae01286b42361c,4d17621cc023e3a2ac55515d578a4a738f8464f14a5b483085f486f3b71cb134,DEF2-QZVPPD,rimp2-def2-QZVPPD,,0,1,8,0,32,0,122,390,224,888,not_applicable
02a_formaldehyde_dimAC_3B-69,gscdb137,/clusterfs/mhg-data/yaoshen/GSCDB/qchem_inputs/02a_formaldehyde_dimAC_3B-69.in,6efd79ea179569fd67a10847bd289a825d92efd49d998ed511634acdcc14e45c,310f776991016961b7987efa3f6a69e666e2e0f0fc575f7be53c7f18d1256190,DEF2-QZVPPD,rimp2-def2-QZVPPD,,0,1,8,0,32,0,122,390,224,888,not_applicable
02a_formaldehyde_dimBC_3B-69,gscdb137,/clusterfs/mhg-data/yaoshen/GSCDB/qchem_inputs/02a_formaldehyde_dimBC_3B-69.in,a4c1e13de615b825d27c1250d9d549defe4acdd1f26b385d28dee0f06e38bd6f,76bcb046b0608257b05f0d01c99197f6062a293924e0a1aeb6b764c2467663bc,DEF2-QZVPPD,rimp2-def2-QZVPPD,,0,1,8,0,32,0,122,390,224,888,not_applicable
02a_formaldehyde_monA_3B-69,gscdb137,/clusterfs/mhg-data/yaoshen/GSCDB/qchem_inputs/02a_formaldehyde_monA_3B-69.in,f4d7a553e24ededc8e3e9ce90c4122082ccab766bf5e1467c2b770308d482bc9,ef558a0587d3a57a6bf5dd1401d8def93016416649f5bdeb178b731b30a51de2,DEF2-QZVPPD,rimp2-def2-QZVPPD,,0,1,4,0,16,0,61,195,112,444,not_applicable
02a_formaldehyde_monB_3B-69,gscdb137,/clusterfs/mhg-data/yaoshen/GSCDB/qchem_inputs/02a_formaldehyde_monB_3B-69.in,afe878bc1273787f1a9965484ead99527227d1ff9a663b2c6f626970c0823428,d744d990ab18b32aa437115bb63ad607a1d2085471438cb3d248691e37410bab,DEF2-QZVPPD,rimp2-def2-QZVPPD,,0,1,4,0,16,0,61,195,112,444,not_applicable
02a_formaldehyde_monC_3B-69,gscdb137,/clusterfs/mhg-data/yaoshen/GSCDB/qchem_inputs/02a_formaldehyde_monC_3B-69.in,e11b73ba64e89c66df5091aa26e00bacdfc58993e8a50b0ac064d90dfb9fbebe,5ac95af9b326264edb95957ea785f66f63fb10e99e4661f3d81035f39b289726,DEF2-QZVPPD,rimp2-def2-QZVPPD,,0,1,4,0,16,0,61,195,112,444,not_applicable
02a_formaldehyde_trim_3B-69,gscdb137,/clusterfs/mhg-data/yaoshen/GSCDB/qchem_inputs/02a_formaldehyde_trim_3B-69.in,44f3ed9746f515c4a42bb81b2de67d1b8c4d3d2d51f632d5525d4d47f6a48f97,c4db5371ac4ecf647643da38cce5396e74ba02ee05d80fb34fcacb6bc97b3df9,DEF2-QZVPPD,rimp2-def2-QZVPPD,,0,1,12,0,48,0,183,585,336,1332,not_applicable
02b_formaldehyde_dimAB_3B-69,gscdb137,/clusterfs/mhg-data/yaoshen/GSCDB/qchem_inputs/02b_formaldehyde_dimAB_3B-69.in,5a64275b2e608ac7f34c493baef2d8288653320d7e999cbfe9f8d2cd65737635,39c55ea1fc7b751251f2cbd140ef215e086b2497bd7f3082d1ffaa51e8619b05,DEF2-QZVPPD,rimp2-def2-QZVPPD,,0,1,8,0,32,0,122,390,224,888,not_applicable
02b_formaldehyde_dimAC_3B-69,gscdb137,/clusterfs/mhg-data/yaoshen/GSCDB/qchem_inputs/02b_formaldehyde_dimAC_3B-69.in,c57d2dfdb433ab52ee1de68ce76c50c0a84bb544c54cd053b7e27b4074854df8,d4f27327f27dd296e2f1d1598a79f0fad530786f960322cb54a61f5cdf17ec19,DEF2-QZVPPD,rimp2-def2-QZVPPD,,0,1,8,0,32,0,122,390,224,888,not_applicable
02b_formaldehyde_dimBC_3B-69,gscdb137,/clusterfs/mhg-data/yaoshen/GSCDB/qchem_inputs/02b_formaldehyde_dimBC_3B-69.in,ebbec92469c25fe30210d3a11ea4e761b9211631296ae17b74d2f7397d65f377,857187ffcf826f242451efd9ae6603d74fa19d90eb58d948f748eba3908a7812,DEF2-QZVPPD,rimp2-def2-QZVPPD,,0,1,8,0,32,0,122,390,224,888,not_applicable
02b_formaldehyde_monA_3B-69,gscdb137,/clusterfs/mhg-data/yaoshen/GSCDB/qchem_inputs/02b_formaldehyde_monA_3B-69.in,68024876863c9f0387633efa1361433bd4e84d33107b6b73e3852d3ccdef5a45,ac2853a0988e0c43a080efe47fad91c1cb15ac52f4921388531ac5b9dd9e80a3,DEF2-QZVPPD,rimp2-def2-QZVPPD,,0,1,4,0,16,0,61,195,112,444,not_applicable
02b_formaldehyde_monB_3B-69,gscdb137,/clusterfs/mhg-data/yaoshen/GSCDB/qchem_inputs/02b_formaldehyde_monB_3B-69.in,a260c89f92822bd114f812a20774eafc84a4b9b468a249f861fb8c3ad74e202a,c233d4c0548c015c6aa3a97773870bd1dd636f34ac6c15364293f6472815b516,DEF2-QZVPPD,rimp2-def2-QZVPPD,,0,1,4,0,16,0,61,195,112,444,not_applicable
02b_formaldehyde_monC_3B-69,gscdb137,/clusterfs/mhg-data/yaoshen/GSCDB/qchem_inputs/02b_formaldehyde_monC_3B-69.in,6be7280aaeffaaa8b7207459d875506eac8eb811270fc42f3697cce0db11ca9c,a3930b0740cf0ebb2f90a814a2237215d396a352e9845f07cd027d0bae2b66df,DEF2-QZVPPD,rimp2-def2-QZVPPD,,0,1,4,0,16,0,61,195,112,444,not_applicable
02b_formaldehyde_trim_3B-69,gscdb137,/clusterfs/mhg-data/yaoshen/GSCDB/qchem_inputs/02b_formaldehyde_trim_3B-69.in,e9b771b6e212f6fd22015311faa9b364fcb50f9b621b07db32a77bc4b2b482dc,ea3134a80a073c6d79318aab89ddd44b08c31a7c65f703151631d489910e62dd,DEF2-QZVPPD,rimp2-def2-QZVPPD,,0,1,12,0,48,0,183,585,336,1332,not_applicable
02c_formaldehyde_dimAB_3B-69,gscdb137,/clusterfs/mhg-data/yaoshen/GSCDB/qchem_inputs/02c_formaldehyde_dimAB_3B-69.in,7bb0a6b4434dba68dd1f7d0001700dc7ecd367b47d6219251f57c93ba2d78247,5396477342a7ca9b9a974e652876f70bb82204376b3daa3270a587c41399e8c6,DEF2-QZVPPD,rimp2-def2-QZVPPD,,0,1,8,0,32,0,122,390,224,888,not_applicable
02c_formaldehyde_dimAC_3B-69,gscdb137,/clusterfs/mhg-data/yaoshen/GSCDB/qchem_inputs/02c_formaldehyde_dimAC_3B-69.in,9a881bb5390eddc1e7c42f0c1e5e2338d8e46ca02f485b9a363f35fd7a81612a,519234ed70b8cdd2cd4740763a17ac0724c4efd0502decb5ac6e7ecb04e18534,DEF2-QZVPPD,rimp2-def2-QZVPPD,,0,1,8,0,32,0,122,390,224,888,not_applicable
02c_formaldehyde_dimBC_3B-69,gscdb137,/clusterfs/mhg-data/yaoshen/GSCDB/qchem_inputs/02c_formaldehyde_dimBC_3B-69.in,0166146a1d40e6c98503603d8f2167ba80b47fbb37567ceeeb68e2a35e19d79d,8278557120149bc15af8135f41e230b06fe218c1c447fef86ee6f625178a7db9,DEF2-QZVPPD,rimp2-def2-QZVPPD,,0,1,8,0,32,0,122,390,224,888,not_applicable
02c_formaldehyde_monA_3B-69,gscdb137,/clusterfs/mhg-data/yaoshen/GSCDB/qchem_inputs/02c_formaldehyde_monA_3B-69.in,0b18b9078a14a25383570b678098e075a1eec54d1ab5da2674bfa6c98ee21ad8,7b71f28d2e9f6f8e9e451a24eec4dd98b9079de779219dc279d7b1bfd1ab0400,DEF2-QZVPPD,rimp2-def2-QZVPPD,,0,1,4,0,16,0,61,195,112,444,not_applicable
02c_formaldehyde_monB_3B-69,gscdb137,/clusterfs/mhg-data/yaoshen/GSCDB/qchem_inputs/02c_formaldehyde_monB_3B-69.in,de18cba89135f6bb9ab0e716fed0633f6a62b952fbf8433bf027df029c808fe2,d624e3b099f18628b1f4fb43d9c374be167451eacc89bfe5567cef8b7202358a,DEF2-QZVPPD,rimp2-def2-QZVPPD,,0,1,4,0,16,0,61,195,112,444,not_applicable
02c_formaldehyde_monC_3B-69,gscdb137,/clusterfs/mhg-data/yaoshen/GSCDB/qchem_inputs/02c_formaldehyde_monC_3B-69.in,6efcfb29991868bddbcf9c913f39ddf00e3a652aebb9f2c3c728b0cec0cc845c,47190ed6f73e82a12c7a074d883701836c48aab19ab7e62c40304ee4fc2a7544,DEF2-QZVPPD,rimp2-def2-QZVPPD,,0,1,4,0,16,0,61,195,112,444,not_applicable
02c_formaldehyde_trim_3B-69,gscdb137,/clusterfs/mhg-data/yaoshen/GSCDB/qchem_inputs/02c_formaldehyde_trim_3B-69.in,cbd6c698dc3a8d5694c0827cb73a1184e8ae4bbb133e4b69f74929463e26a8dd,2b62ad33499e6b8908cb01aed24e82f5ab5920f56050c02bf4083a57c3919905,DEF2-QZVPPD,rimp2-def2-QZVPPD,,0,1,12,0,48,0,183,585,336,1332,not_applicable
03_HCN-dimer_0p9_dim_A21x12,gscdb137,/clusterfs/mhg-data/yaoshen/GSCDB/qchem_inputs/03_HCN-dimer_0p9_dim_A21x12.in,31aa335378b5f497cb98d85f4dc9a3df2153664c0d5fc1dd4cd1ed62daacc9f4,da755b2c8a75966a5af9ae703dbf576c102351204f2178475c5ebd301c644978,DEF2-QZVPPD,rimp2-def2-QZVPPD,,0,1,6,0,28,0,98,318,186,758,not_applicable
03_HCN-dimer_1p0_dim_A21x12,gscdb137,/clusterfs/mhg-data/yaoshen/GSCDB/qchem_inputs/03_HCN-dimer_1p0_dim_A21x12.in,650387453ce444f5d9ecedc1d676a2177e158be360ba964cd2a3a0628b07461a,9b2b47f5afc4e1765832864baa288ef88b61bed2ee9398f16887ebb993810c54,DEF2-QZVPPD,rimp2-def2-QZVPPD,,0,1,6,0,28,0,98,318,186,758,not_applicable
03_HCN-dimer_1p1_dim_A21x12,gscdb137,/clusterfs/mhg-data/yaoshen/GSCDB/qchem_inputs/03_HCN-dimer_1p1_dim_A21x12.in,d0693202facd84842ea16ee7cb10b1836325bd1f18f59dd1a871da60e1481638,a754264a51fe93eab329d5001585aed3bd4b01a70bf46c35673a4a20ff42d1c1,DEF2-QZVPPD,rimp2-def2-QZVPPD,,0,1,6,0,28,0,98,318,186,758,not_applicable
03_HCN-dimer_1p2_dim_A21x12,gscdb137,/clusterfs/mhg-data/yaoshen/GSCDB/qchem_inputs/03_HCN-dimer_1p2_dim_A21x12.in,9146dcfd3c66adc1ebc75639ac7f15b9532a8ccfa324d25557ecb8e728f02efc,ddb9b6248394bf381a7129dad5cfa53e33f876ffbe711dff42c75fcc83ed7b87,DEF2-QZVPPD,rimp2-def2-QZVPPD,,0,1,6,0,28,0,98,318,186,758,not_applicable
03_HCN-dimer_1p4_dim_A21x12,gscdb137,/clusterfs/mhg-data/yaoshen/GSCDB/qchem_inputs/03_HCN-dimer_1p4_dim_A21x12.in,619fea0b27eb8b288c6762ef3debb4a8f22766e2b8ef61891aeebe41fe8b2959,40ee523e9f5056397968397cad2fe1617b11e54aa6f42b8054b99d9f25db87b6,DEF2-QZVPPD,rimp2-def2-QZVPPD,,0,1,6,0,28,0,98,318,186,758,not_applicable
03_HCN-dimer_1p6_dim_A21x12,gscdb137,/clusterfs/mhg-data/yaoshen/GSCDB/qchem_inputs/03_HCN-dimer_1p6_dim_A21x12.in,8d38bea8a5c8d4130d404fe232b3e2ea1a1fb4c0e8b43461a29443f83a9b817d,bd1942c0b566d898acaa7867083507c701dbe37558c7828500bc538e30fce429,DEF2-QZVPPD,rimp2-def2-QZVPPD,,0,1,6,0,28,0,98,318,186,758,not_applicable
03_HCN-dimer_2p0_dim_A21x12,gscdb137,/clusterfs/mhg-data/yaoshen/GSCDB/qchem_inputs/03_HCN-dimer_2p0_dim_A21x12.in,fa3ed94179e101fef3755d31f82d61cb73a7f2e2320c4ec7a817e6777cfdaafd,a6512ee0f66069ed561e4976d0ed85d713aa0c40dad31e838640a3ec5946a64b,DEF2-QZVPPD,rimp2-def2-QZVPPD,,0,1,6,0,28,0,98,318,186,758,not_applicable
03a_methanol_ethyne_dimAB_3B-69,gscdb137,/clusterfs/mhg-data/yaoshen/GSCDB/qchem_inputs/03a_methanol_ethyne_dimAB_3B-69.in,3139b0caa40d973ec75fdb42203f92c3b8178d4c563a71307a9b18798cf4968b,fcfbe559528623941e16cc5ad9ce7e215e13635861a6a1afe34e71c19a7c1172,DEF2-QZVPPD,rimp2-def2-QZVPPD,,0,1,12,0,36,0,166,522,300,1148,not_applicable
03a_methanol_ethyne_dimAC_3B-69,gscdb137,/clusterfs/mhg-data/yaoshen/GSCDB/qchem_inputs/03a_methanol_ethyne_dimAC_3B-69.in,b0c672bfdda938bf33175f821bf0e0073dc4feffd938f25870371a284ca4afbe,a594c659cde773a86e5ea501852ee1a1f0b04d81fa1c9d240ad653d8bb3e83db,DEF2-QZVPPD,rimp2-def2-QZVPPD,,0,1,12,0,36,0,166,522,300,1148,not_applicable
03a_methanol_ethyne_dimBC_3B-69,gscdb137,/clusterfs/mhg-data/yaoshen/GSCDB/qchem_inputs/03a_methanol_ethyne_dimBC_3B-69.in,3d63189095820b7dc6765a661341ea43a296ad826a135a34046222ea49ff1542,11b12f5712d98712b83cbecbb31c1e65e2c68fb88138f04a930cb751b8767511,DEF2-QZVPPD,rimp2-def2-QZVPPD,,0,1,12,0,36,0,166,522,300,1148,not_applicable
03a_methanol_ethyne_monA_3B-69,gscdb137,/clusterfs/mhg-data/yaoshen/GSCDB/qchem_inputs/03a_methanol_ethyne_monA_3B-69.in,65e45e4ccdd39289c2707fb833f31018b6a3ed39a4ea7bc08984533ddffe3de0,e4e33e1c1d2156f9d7b32c1ff9b2a3bfff2cc3bfa6f86cf7e46e0d38d69b3e37,DEF2-QZVPPD,rimp2-def2-QZVPPD,,0,1,6,0,18,0,83,261,150,574,not_applicable
03a_methanol_ethyne_monB_3B-69,gscdb137,/clusterfs/mhg-data/yaoshen/GSCDB/qchem_inputs/03a_methanol_ethyne_monB_3B-69.in,8719c15c7ef9f1b7c2ba2ae6c5e821e3d931c42eb4055e4d3c84d923b2c7fb31,67133291203acbd86453928b87604cc77d3937b002bcf3287750604c4c180f72,DEF2-QZVPPD,rimp2-def2-QZVPPD,,0,1,6,0,18,0,83,261,150,574,not_applicable
03a_methanol_ethyne_monC_3B-69,gscdb137,/clusterfs/mhg-data/yaoshen/GSCDB/qchem_inputs/03a_methanol_ethyne_monC_3B-69.in,3cb2ea72aa5e9680ae62980e331d477cc01992e4caa68a8383c11903fb978aab,1a70ac0265f3ac84580e4b1dd4506cd4edf5ac79daa0356eabebc2ddf7f4e995,DEF2-QZVPPD,rimp2-def2-QZVPPD,,0,1,6,0,18,0,83,261,150,574,not_applicable
03a_methanol_ethyne_trim_3B-69,gscdb137,/clusterfs/mhg-data/yaoshen/GSCDB/qchem_inputs/03a_methanol_ethyne_trim_3B-69.in,2b1f033f5e183d6f4383711bb857e72eba29f271626d5364af016afbc5ed21de,ecb634c3e7e724d0be69a30192c7090240601686836209bf1df25ef7bfb63e93,DEF2-QZVPPD,rimp2-def2-QZVPPD,,0,1,18,0,54,0,249,783,450,1722,not_applicable
